DateTime,AddedIPs,RemovedIPs
1596678969,190,212
1596680891,196,171
1596683773,312,232
1596685718,195,173
1596687612,176,220
1596689546,171,188
1596691488,166,149
1596693367,163,176
1596695288,172,823
1596697261,165,704
1596699129,150,159
1596701294,194,200
1596703220,205,681
1596705163,330,155
1596707050,351,158
1596708969,295,145
1596710920,321,196
1596713081,383,173
1596714992,289,432
1596716896,257,133
1596718854,253,187
1596720734,259,150
1596722683,229,195
1596724568,226,167
1596726530,232,190
1596728410,200,155
1596730331,178,198
1596732288,242,210
1596734172,201,167
1596736095,207,192
1596738041,218,179
1596739929,173,178
1596741849,327,233
1596743799,225,231
1596745687,191,220
1596747859,182,231
1596749782,166,221
1596751722,142,192
1596753612,178,227
1596755536,154,217
1596757487,143,218
1596759372,153,228
1596761304,153,229
1596763257,150,200
1596765130,232,191
1596767062,249,215
1596768999,168,223
1596770889,137,191
1596774015,537,298
1596775930,2019,182
1596777883,1036,173
1596779770,1145,178
1596781687,1040,187
1596783664,950,175
1596785533,1001,144
1596787699,1120,166
1596789610,966,163
1596791569,152,222
1596793449,127,284
1596795374,148,256
1596797318,146,297
1596799208,147,338
1596801126,133,276
1596803051,148,276
1596804966,170,285
1596806895,164,285
1596808824,146,269
1596810765,140,254
1596812658,124,299
1596814572,103,239
1596816522,88,228
1596818415,93,248
1596820333,111,260
1596822283,124,302
1596824184,98,265
1596826095,99,256
1596828039,309,257
1596829933,353,267
1596831854,120,211
1596833800,107,210
1596835688,91,163
1596838603,171,298
1596840492,118,185
1596842408,114,170
1596845309,184,286
1596847210,97,151
1596849167,99,144
1596851049,153,128
1596852977,101,249
1596854921,117,178
1596856829,102,126
1596858730,140,139
1596860684,115,745
1596862567,190,1658
1596864489,163,1099
1596866457,143,1200
1596868331,98,1126
1596870496,142,1016
1596872413,158,1150
1596874364,127,1092
1596876250,152,808
1596878172,120,196
1596880124,144,161
1596882016,164,181
1596883929,182,152
1596885878,180,179
1596887769,159,193
