DateTime,AddedIPs,RemovedIPs
1596435390,1,8
1596437291,0,1
1596439241,1,1
1596441131,1,1
1596443053,1,1
1596445006,0,1
1596449782,0,2
1596451687,1,0
1596453640,1,3
1596457450,1,2
1596459402,2,1
1596461288,0,3
1596464437,2,3
1596466328,1,0
1596468245,1,0
1596470207,1,0
1596472084,1,0
1596475962,0,1
1596477868,2,2
1596481717,1,0
1596483606,2,0
1596485529,1,2
1596491285,1,0
1596493238,1,0
1596495126,2,0
1596497047,1,1
1596499000,0,1
1596502849,0,1
1596504762,1,0
1596506928,1,1
1596513135,1,0
1596517259,1,1
1596521071,0,1
1596523067,1,0
1596526814,1,2
1596530683,1,1
1596532604,0,1
1596536441,1,0
1596538335,0,1
1596540250,0,1
1596542880,1,1
1596544971,1,0
1596547000,1,2
1596548897,0,1
1596550838,1,0
1596552726,2,1
1596554661,0,1
1596556598,2,1
1596558511,1,1
1596562362,1,0
1596564250,1,2
1596568160,1,1
1596570011,1,2
1596577690,0,1
1596579640,0,1
1596581527,0,2
1596583455,0,1
1596585401,2,0
1596591165,0,1
1596593057,2,1
1596598812,0,1
1596600732,1,0
1596604572,0,1
1596606498,1,0
1596610396,1,1
1596612283,1,0
1596614176,1,1
1596618115,2,1
1596619944,1,0
1596622152,0,1
1596624043,2,0
1596627854,3,0
1596629809,1,1
1596631692,1,1
1596633612,2,1
1596635561,0,1
1596637466,1,1
1596639370,1,2
1596641420,2,0
1596643245,2,1
1596645153,0,1
1596648974,1,1
1596651174,0,1
1596653051,1,0
1596655222,1,1
1596657135,0,1
1596662903,1,0
1596664914,1,0
1596668722,2,0
1596672498,1,1
1596674440,1,0
1596676365,2,0
1596678269,0,1
1596680174,0,1
1596684008,2,0
1596687884,0,1
1596693692,0,1
1596695528,0,1
1596699614,0,2
1596701561,1,0
1596703489,0,1
1596705376,1,2
1596707321,1,0
1596709212,0,2
1596713084,1,1
1596714995,0,3
1596716921,2,1
1596718884,0,2
1596720735,2,1
1596722691,1,0
1596724569,2,1
1596726531,0,3
1596728413,2,0
1596730331,1,2
1596732290,1,0
1596734173,0,1
1596738041,2,1
1596741850,0,1
1596743800,1,0
1596747877,0,1
1596749784,2,0
1596751723,0,1
1596755536,0,2
1596757488,1,0
1596759374,5,2
1596761306,0,1
1596763259,0,1
1596767065,1,0
1596769000,1,0
1596770890,0,2
1596776914,1,0
1596778813,1,0
1596780768,3,0
1596788413,1,1
1596790330,1,0
1596792280,1,1
1596794196,2,1
1596796100,1,0
1596799936,0,1
1596802126,3,2
1596804043,2,0
1596805932,1,1
1596807885,0,1
1596809784,0,2
1596815538,1,2
1596817449,0,1
1596819403,2,0
1596823256,1,1
1596825159,1,0
1596830921,2,1
1596834729,1,0
1596836696,0,1
1596838604,1,0
1596840498,0,1
1596842410,1,0
1596844377,1,4
1596846298,2,2
1596848170,1,0
1596850090,2,0
1596852094,1,0
1596853940,0,1
1596855852,1,1
1596861616,1,0
1596863560,0,1
1596865454,1,2
1596867373,1,3
1596873128,1,0
1596875083,1,1
1596876972,0,2
1596878932,2,2
1596880941,1,1
1596882998,1,0
1596884890,2,0
1596886808,2,0
1596888763,0,3
1596890647,0,2
1596892572,2,1
1596894518,1,0
1596896406,2,0
1596898330,3,0
1596902169,1,1
1596904086,1,0
1596906065,1,2
1596907937,2,0
1596909860,0,1
1596911797,0,1
1596915615,1,1
1596917564,2,1
1596919454,1,0
1596921388,3,1
1596925213,1,1
1596929085,1,1
1596930974,0,1
1596933135,1,1
1596935107,0,3
1596937001,1,0
1596938898,3,1
1596940816,1,0
1596948524,0,1
1596950415,3,0
1596952333,2,2
1596961217,3,1
1596963128,1,1
1596965076,3,1
1596966966,0,1
1596968886,0,2
1596970863,0,3
1596972731,0,1
1596974652,0,1
1596976606,1,0
1596978490,0,2
1596980411,0,1
1596982359,1,1
1596984256,0,4
1596986170,2,1
1596988120,2,1
1596990017,2,1
1596991930,0,1
1596993876,2,1
1596995771,0,1
1596997690,1,0
1597000571,1,0
1597002520,2,2
1597004408,0,1
1597006327,1,1
1597008280,2,3
1597012088,0,1
1597014995,3,1
1597016927,1,0
1597018808,2,0
1597020728,1,1
1597022681,1,0
1597024578,1,1
1597026492,2,2
1597029374,2,0
1597037155,2,3
1597038999,2,1
1597042893,1,0
1597046656,0,1
1597048600,1,3
1597050500,0,2
1597052423,1,1
1597054362,2,0
1597056252,2,0
1597058173,1,0
1597063941,1,1
1597065884,1,0
1597069688,1,1
1597072573,3,2
1597074513,1,1
1597076433,2,2
1597078328,2,0
1597080270,1,2
1597084108,2,1
1597086071,1,1
1597087958,3,1
1597089860,1,1
1597091770,1,0
1597095632,2,2
1597099479,2,1
1597101368,1,2
1597103294,2,2
1597105236,2,2
1597107136,0,2
1597109053,1,1
1597110995,1,1
1597112919,0,3
1597114850,2,3
1597116760,1,0
1597122522,2,1
1597124409,2,3
1597126577,1,0
1597130455,2,1
1597134252,1,0
1597136199,1,0
1597138094,2,2
1597140099,1,0
1597141963,1,4
1597143854,2,0
1597145774,1,1
1597151531,1,1
1597153480,1,1
1597155506,0,1
1597157347,0,2
1597159216,2,0
1597161127,1,2
1597163084,1,2
1597164969,1,2
1597166952,0,1
1597170006,3,3
1597171925,1,1
1597173874,1,4
1597175772,2,1
1597177691,1,1
1597179670,3,0
1597181535,3,1
1597183460,1,1
1597185395,0,1
1597187295,0,2
1597189217,0,1
1597191169,0,2
1597193050,1,0
1597195209,3,1
1597199081,1,0
1597200973,0,1
1597202906,1,1
1597204868,1,0
1597208677,0,1
1597210597,0,3
1597216358,1,2
1597218270,1,0
1597220167,2,0
1597222121,1,2
1597224010,1,2
1597225929,0,2
1597227884,2,0
1597229769,1,3
1597235623,1,0
1597239370,2,3
1597243210,1,0
1597245131,3,2
1597247080,0,1
1597249045,2,0
1597250935,1,3
1597254775,1,1
1597256655,0,1
1597258618,2,1
1597260491,1,1
1597262438,1,1
1597264360,1,1
1597266283,1,2
1597268169,1,4
1597270138,2,0
1597272011,1,0
1597273933,1,1
1597275917,2,0
1597277778,1,0
1597279699,0,1
1597281637,1,5
1597285453,2,1
1597289288,1,1
1597291240,0,1
1597293157,2,0
1597297209,1,0
1597299153,1,0
1597302969,0,1
1597304888,0,1
1597306838,1,2
1597308727,0,1
1597310681,2,1
1597312621,2,1
1597314504,2,2
1597317366,1,1
1597319288,1,1
1597321264,0,1
1597323124,1,0
1597325058,0,1
1597326999,0,1
1597328886,0,1
1597330849,2,3
1597332756,0,1
1597334650,0,2
1597336569,1,1
1597338521,1,2
1597340412,1,0
1597342328,1,0
1597344283,0,1
1597346183,0,1
1597348103,0,1
1597350010,0,1
1597351955,1,0
1597354120,0,2
1597356967,3,2
1597358911,4,1
1597360805,1,1
1597362729,2,2
1597364680,0,1
1597366566,0,1
1597371610,4,1
1597373531,1,1
1597375483,0,1
1597379286,1,2
1597383125,3,0
1597385325,0,1
1597389154,1,0
1597392965,2,1
1597394917,0,1
1597396805,0,1
1597398727,0,1
1597400677,1,3
1597402566,1,1
1597404728,2,0
1597406683,0,1
1597410517,1,2
1597414328,1,0
1597416279,0,2
1597418167,1,0
1597420117,2,0
1597422008,1,0
1597423925,1,2
1597425883,1,1
1597427768,1,0
1597429689,1,0
1597433534,1,0
1597439292,1,1
1597441210,1,0
1597443197,0,2
1597445048,1,4
1597446968,2,1
1597448916,0,2
1597450807,2,0
1597454677,1,0
1597456568,1,3
1597458515,0,1
1597460443,0,1
1597462327,2,0
1597464275,1,0
1597468362,2,1
1597470249,0,1
1597472195,1,1
1597474103,1,1
1597477955,0,2
1597481768,1,0
1597483685,1,0
1597486565,1,1
1597488485,1,1
1597490435,0,3
1597492326,1,0
1597496214,0,1
1597498085,6,0
1597502193,2,1
1597504088,1,2
1597506006,0,3
1597507960,0,1
1597509857,1,1
1597511768,2,0
1597513713,1,1
1597515608,1,1
1597518142,1,0
1597520054,2,1
1597522132,1,1
1597524033,1,0
1597525929,0,1
1597527853,0,2
1597529795,1,0
1597531687,0,1
1597533636,0,1
1597537452,0,2
1597541289,0,1
1597543226,0,1
1597545157,3,0
1597547048,0,1
1597548977,0,1
1597550919,1,1
1597552816,0,2
1597554730,1,0
1597556660,2,0
1597558571,3,1
1597560549,0,1
1597562418,1,0
1597566278,2,0
1597568181,1,1
1597570089,0,1
1597572089,2,0
1597573932,3,1
1597575879,1,1
1597577767,1,1
1597581642,1,0
1597583533,2,2
1597585513,0,4
1597587369,1,0
1597589287,0,3
1597591275,1,0
1597593126,1,0
1597596997,0,1
1597598890,0,3
1597602032,0,1
1597603952,1,1
1597605845,2,1
1597607793,0,2
1597609687,2,0
1597612567,7,1
1597614782,3,0
1597618586,1,0
1597622472,1,0
1597624330,1,0
1597626260,2,0
1597628193,2,0
1597631079,1,1
1597632971,1,1
1597637765,1,1
1597641607,0,1
1597643544,1,3
1597645485,0,3
1597647365,1,0
1597649286,1,1
1597653131,1,2
1597655049,1,0
1597656995,1,0
1597658894,1,2
