DateTime,AddedIPs,RemovedIPs
1596214568,1,0
1596222495,0,1
1596224408,2,2
1596226370,1,17
1596228253,1,0
1596230201,2,0
1596234009,0,1
1596235821,1,1
1596237885,1,0
1596239772,1,3
1596241685,1,1
1596244807,1,0
1596246805,2,1
1596248684,2,2
1596250572,0,1
1596252490,1,0
1596254483,1,0
1596256333,1,2
1596258497,0,2
1596260411,0,1
1596262607,1,0
1596268326,1,0
1596270280,1,1
1596278920,1,1
1596280808,1,1
1596282731,1,0
1596286568,0,2
1596290526,1,2
1596292472,1,1
1596294526,3,0
1596298332,1,1
1596300283,0,1
1596304087,2,0
1596306037,1,0
1596309881,1,0
1596311767,0,3
1596313686,0,1
1596315719,2,1
1596317562,0,1
1596319494,1,0
1596321456,2,0
1596323323,0,1
1596325248,1,1
1596327140,1,1
1596329053,1,1
1596331006,0,1
1596332892,0,2
1596334825,1,2
1596336764,2,0
1596338652,1,1
1596340604,0,1
1596342488,1,1
1596345644,1,0
1596347527,0,1
1596353530,0,1
1596355692,0,1
1596357608,3,0
1596359563,1,0
1596361449,1,0
1596363371,1,0
1596365320,1,1
1596367209,0,1
1596369139,0,1
1596374886,1,0
1596376844,2,1
1596378780,1,1
1596380650,1,3
1596382569,1,0
1596384542,1,1
1596388336,2,0
1596390282,0,2
1596392174,0,1
1596394090,1,0
1596396036,0,1
1596397926,1,0
1596401844,0,2
1596406571,0,1
1596408489,0,2
1596410437,0,1
1596412346,1,1
1596416200,0,1
1596420993,3,0
1596422893,1,1
1596424839,0,2
1596426733,0,1
1596430601,1,1
1596434437,1,0
1596438266,1,0
1596444010,0,3
1596445928,0,1
1596447882,1,0
1596449783,2,1
1596451687,0,1
1596453640,1,0
1596459402,0,1
1596461288,1,1
1596463316,0,2
1596465164,0,1
1596467127,0,1
1596468971,0,1
1596470931,1,1
1596474730,0,2
1596476700,2,0
1596478605,1,0
1596480495,2,1
1596482441,2,0
1596484332,1,1
1596488204,1,0
1596494904,11,0
1596496857,2,1
1596498736,1,1
1596502603,2,0
1596504488,1,0
1596507367,3,3
1596509206,1,1
1596511242,1,0
1596515316,1,0
1596517291,0,1
1596521078,1,1
1596524928,1,1
1596528730,1,0
1596530684,1,0
1596532605,1,0
1596534492,0,1
1596536441,0,2
1596538335,0,1
1596542881,1,0
1596547001,1,0
1596548897,0,1
1596550838,2,0
1596556598,1,1
1596558512,1,0
1596560485,1,0
1596564251,1,3
1596566169,0,2
1596568160,1,1
1596570011,1,1
1596572009,3,1
1596573882,4,1
1596575775,2,0
1596581527,0,11
1596583455,1,2
1596585401,0,1
1596587296,1,0
1596590174,0,3
1596592091,1,3
1596594058,1,0
1596595932,0,1
1596597850,0,1
1596599800,1,0
1596601688,0,1
1596607451,0,1
1596609368,1,0
1596611295,1,1
1596613213,2,0
1596615161,3,1
1596617049,0,1
1596618977,0,1
1596620923,1,0
1596623049,1,0
1596626919,1,0
1596629809,1,1
1596633613,2,1
1596637466,1,2
1596641421,0,1
1596644205,1,1
1596646098,0,1
1596649972,1,0
1596651881,1,1
1596655695,1,1
1596658807,1,5
1596660724,0,3
1596662680,1,2
1596668508,0,1
1596674441,1,1
1596678270,0,1
1596682125,0,1
1596685933,0,1
1596695529,1,0
1596697700,0,2
1596699615,0,2
1596701562,1,3
1596707322,0,1
1596709212,0,1
1596713084,0,1
1596714996,0,1
1596716922,1,0
1596718918,1,1
1596720735,1,1
1596722697,1,1
1596728413,1,0
1596730332,1,0
1596732290,2,1
1596736096,0,1
1596738042,0,1
1596739930,1,0
1596741850,1,1
1596743801,2,1
1596745688,2,0
1596747907,0,1
1596751723,1,0
1596753614,1,0
1596757490,1,0
1596761307,0,1
1596769001,1,0
1596778813,6,0
1596782654,3,1
1596784570,1,0
1596788413,1,1
1596794197,1,0
1596796100,1,0
1596800198,2,0
1596802126,3,0
1596804043,0,1
1596805932,0,2
1596809784,1,1
1596811696,1,0
1596815538,0,2
1596817450,0,2
1596821289,1,0
1596825160,2,1
1596828971,1,3
1596830921,0,2
1596838604,1,1
1596840498,0,1
1596844377,0,1
1596846299,2,0
1596848170,1,0
1596850090,1,0
1596852104,1,0
1596853940,1,0
1596855853,1,1
1596857802,1,0
1596861617,1,0
1596863561,1,0
1596865454,2,6
1596869338,0,3
1596871209,0,1
1596873128,1,0
