DateTime,AddedIPs,RemovedIPs
1596684008,6,4
1596685932,4,6
1596687883,6,1
1596689769,0,2
1596691689,2,4
1596693669,5,5
1596695528,3,1
1596697699,4,6
1596699614,0,5
1596701561,7,6
1596703485,6,5
1596705376,3,3
1596707321,2,4
1596709210,2,6
1596711129,7,2
1596713083,73,6
1596714994,6,10
1596716897,6,5
1596718869,3,5
1596720734,4,3
1596722687,4,7
1596724569,7,9
1596726531,3,6
1596728412,4,4
1596730331,5,4
1596732289,6,14
1596734173,2,5
1596736095,5,3
1596738041,7,5
1596739929,8,3
1596741849,5,3
1596743799,5,8
1596745688,9,5
1596747865,5,8
1596749783,6,8
1596751722,4,6
1596753612,3,4
1596755536,0,5
1596757488,5,4
1596759373,11,5
1596761305,2,3
1596763258,2,1
1596765131,2,1
1596767064,5,4
1596769000,4,4
1596770889,2,9
1596774016,4,7
1596775930,1,0
1596777884,8,1
1596779797,11,6
1596781688,4,3
1596783681,8,4
1596785534,12,0
1596787699,7,6
1596789611,2,7
1596791569,8,2
1596793449,2,4
1596795379,8,2
1596797318,3,5
1596799209,4,72
1596801126,5,6
1596803052,11,6
1596804966,5,5
1596806921,6,4
1596808834,3,4
1596810765,6,7
1596812659,1,3
1596814573,3,3
1596816522,6,5
1596818415,3,5
1596820334,7,2
1596822284,6,4
1596824207,6,5
1596826095,5,6
1596828040,3,6
1596829933,5,4
1596831854,7,9
1596833800,8,5
1596835688,3,3
1596838604,9,8
1596840497,5,3
1596842409,5,0
1596844376,4,10
1596846298,12,6
1596848169,3,3
1596850089,7,3
1596852062,4,2
1596853939,11,6
1596855851,7,5
1596857801,2,1
1596859689,6,3
1596861616,4,0
1596863560,4,5
1596865453,11,11
1596867372,6,6
1596869337,3,7
1596871207,8,8
1596873127,11,9
1596875082,7,7
1596876971,5,5
1596878932,3,6
1596880879,2,3
1596882731,4,4
1596884655,13,2
1596886600,5,6
1596888493,6,8
1596890408,3,6
1596892368,10,8
1596894255,4,4
1596896196,10,4
1596898122,12,5
1596900034,6,2
1596901932,8,4
1596903894,7,5
1596905770,4,8
1596907689,8,2
1596909652,10,8
1596911527,8,4
1596913705,12,8
1596915614,8,5
1596917564,7,5
1596919453,7,7
1596921388,8,4
1596923323,5,4
1596925212,4,7
1596927132,6,4
1596929084,9,5
1596930973,7,6
1596933134,7,11
1596935101,1,4
1596937000,4,5
1596938898,7,7
1596940815,7,8
1596942763,1,5
1596944653,0,2
1596946575,3,8
1596948523,5,2
1596950414,8,3
1596952333,5,14
1596954287,1,3
1596956173,4,2
1596958093,2,12
1596960970,5,5
1596962923,2,7
1596964809,3,4
1596966729,3,0
1596968686,1,7
1596970569,4,20
1596972730,6,4
1596974651,2,6
1596976606,5,4
1596978490,2,11
1596980409,3,6
1596982358,1,7
1596984255,2,13
1596986169,8,7
1596988120,4,9
1596990016,4,8
1596991929,3,5
1596993876,5,7
1596995770,4,8
1596997689,4,6
1597000571,7,14
1597002519,5,10
1597004407,2,3
1597006326,4,8
1597008279,4,10
1597010169,4,2
1597012087,0,7
1597014994,10,9
1597016927,5,8
1597018807,3,5
1597020727,2,4
1597022680,1,3
1597024569,2,5
1597026491,3,7
1597028461,3,2
1597030340,1,2
1597032252,2,2
1597034200,4,4
1597036106,12,6
1597038024,6,9
1597039958,5,1
1597041866,1,1
1597043771,2,5
1597045719,2,2
