DateTime,AddedIPs,RemovedIPs
1594563658,0,1
1594567486,1,0
1594571324,1,1
1594581157,0,1
1594588808,0,3
1594590736,0,3
1594594566,2,1
1594596843,1,0
1594598678,2,0
1594602601,3,0
1594604411,1,0
1594606332,1,0
1594610173,0,2
1594612088,2,0
1594614039,1,1
1594615931,0,1
1594617868,0,3
1594623680,2,2
1594625529,1,0
1594627502,1,1
1594629396,0,1
1594631319,0,1
1594633230,2,1
1594635161,2,1
1594637050,1,0
1594638976,0,1
1594650490,1,0
1594654370,0,1
1594658168,0,1
1594667771,2,0
1594675461,1,0
1594677371,2,0
1594681230,0,3
1594685085,0,2
1594686969,2,0
1594688924,0,3
1594690833,0,1
1594692772,1,1
1594696730,1,0
1594698762,0,3
1594706495,2,0
1594710523,0,2
1594712578,0,2
1594714575,2,0
1594720330,0,2
1594722415,0,2
1594724339,0,1
1594736176,0,1
1594754685,1,2
1594762440,0,2
1594764346,0,1
1594774124,0,2
1594779885,0,1
1594783687,0,1
1594792570,0,2
1594800383,0,1
1594802205,0,1
1594809855,1,0
1594828093,1,0
1594835874,56,0
1594839758,0,1
1594843725,2,0
1594896730,0,1
1594915498,1,1
1594921216,0,36
1594923144,0,20
1594929997,0,2
1594961289,1,0
1594986519,7,0
1594988412,4,0
1594992283,1,0
1595001899,0,1
1595005704,1,0
1595047690,0,1
1595059358,3,0
1595071213,1,0
1595073131,0,7
1595075085,0,4
1595078891,0,1
1595085615,1,0
1595087530,1,0
1595093298,0,1
1595132655,2,0
1595134621,1,0
1595146110,0,3
1595157610,0,1
1595167400,2,0
1595173237,0,2
1595192596,1,0
1595198415,1,0
1595219531,0,2
1595221466,0,1
1595233000,1,0
1595253202,0,2
1595258920,1,0
1595279056,0,1
1595283168,1,0
1595285054,2,1
1595298514,2,0
1595319882,0,1
1595321788,1,0
1595326812,1,0
1595339528,20,0
1595345539,0,1
1595347458,1,0
1595359007,1,0
1595368599,0,1
1595372463,1,2
1595385887,8,2
1595407718,0,1
1595411531,2,0
1595413480,0,1
1595423377,1,0
1595425212,12,0
1595427163,0,20
1595431018,3,0
1595432891,1,0
1595434809,1,1
1595445373,0,1
1595451133,1,0
1595460013,0,1
1595471802,0,2
1595473701,0,6
1595491293,13,0
1595498899,0,2
1595500822,3,0
1595508526,0,1
1595510414,0,7
1595512375,0,5
1595516172,0,2
1595518093,0,1
1595521213,0,2
1595523131,1,0
1595528888,1,0
1595530963,3,0
1595534889,1,0
1595536808,0,1
1595567785,1,0
1595577370,0,13
1595586281,0,3
1595599700,1,0
1595605482,1,0
1595607438,1,0
1595609332,0,1
1595615178,0,1
1595617300,0,3
1595622008,0,1
1595632573,1,0
1595640282,1,0
1595644092,1,0
1595652015,1,0
1595655883,0,1
1595659726,2,0
1595677218,1,0
1595686841,2,1
1595688737,1,0
1595690653,1,1
1595694582,9,1
1595697407,7,0
1595706976,1,0
1595708891,2,0
1595712008,5,0
1595713958,3,0
1595715882,6,0
1595717767,4,0
1595719929,4,1
1595721859,5,0
1595723800,2,0
1595725688,2,0
1595727612,0,1
1595729562,5,1
1595731452,3,0
1595733376,1,0
1595735325,1,0
1595737223,1,0
1595739130,5,1
1595741089,2,0
1595742969,1,0
1595744905,4,0
1595748007,1,2
1595749929,2,0
1595751884,1,0
1595753766,1,0
1595755685,3,0
1595758817,3,0
1595760730,2,0
1595762683,3,0
1595764577,0,1
1595766518,6,0
1595770363,2,0
1595772547,2,1
1595774411,2,2
1595776332,1,0
1595778287,0,1
1595780173,1,5
1595782094,2,10
1595784041,0,1
1595785937,1,0
1595787885,6,0
1595789804,2,0
1595791685,3,0
1595793638,2,1
1595795565,0,2
1595798445,0,5
1595800331,1,3
1595802284,1,6
1595804201,0,4
1595806093,0,2
1595809455,6,8
1595811372,0,3
1595816448,0,7
1595818336,0,1
1595820304,1,2
1595822175,0,1
1595824115,0,1
1595826151,0,4
1595828223,1,2
1595830093,0,3
1595832011,1,3
1595837779,0,3
1595841612,0,2
1595843529,0,4
1595845480,0,1
1595847367,0,2
1595849315,0,3
1595852173,0,4
1595854096,0,2
1595856044,0,1
1595857927,0,1
1595859855,0,2
1595861795,0,2
1595863686,0,1
1595866823,1,1
1595868732,0,2
1595872570,0,2
1595874554,0,7
1595878339,0,3
1595880159,1,2
1595886015,0,1
1595887992,0,1
1595895617,0,6
1595905355,0,1
1595915049,1,1
1595918930,1,1
1595953928,0,1
1595967402,0,1
1595978885,6,0
1595995291,114,0
1595997312,75,0
1596010848,1,0
1596046606,1,0
1596052361,1,0
1596060122,1,0
1596065773,0,6
1596067723,1,0
1596069613,1,0
1596081159,0,28
1596083053,0,163
1596098428,0,1
1596108258,1,0
1596114100,1,0
1596119813,1,0
1596129706,1,0
1596131533,0,1
1596137288,0,1
1596141169,1,0
1596145211,0,1
1596152923,1,1
1596154810,0,1
1596194647,0,1
1596200487,0,1
1596206187,0,1
1596215767,0,1
1596223521,2,0
1596225376,1,0
1596227300,1,1
1596230201,1,0
1596237886,1,0
1596239773,0,1
1596241686,1,0
1596309882,0,2
1596311767,0,1
1596313686,0,1
1596315736,0,1
1596325249,0,1
1596327141,0,1
1596334333,1,0
1596336253,2,0
1596340088,1,0
1596342046,1,0
1596347781,1,0
1596352571,1,0
1596356408,1,0
1596360284,1,0
1596416201,1,0
1596420993,0,1
1596422893,0,2
1596424839,1,0
1596426734,0,1
1596428655,0,1
1596435390,0,1
1596439242,0,1
1596441132,0,1
1596446889,0,1
1596451688,1,0
1596453641,14,0
1596455529,1,0
1596468972,1,0
1596493970,1,0
1596503769,0,1
1596511243,0,1
1596524928,1,0
1596526815,1,0
1596536442,0,1
1596538336,0,3
1596540251,0,11
1596542882,0,1
1596554662,0,1
1596558512,2,0
1596561638,1,0
1596565451,1,0
1596567407,1,0
1596576970,1,0
1596580830,1,1
1596604836,1,0
1596608653,3,0
1596610896,0,1
1596614652,0,1
1596637002,1,0
1596640807,1,0
1596652327,1,0
1596656408,1,0
1596662172,1,0
1596669880,1,0
1596671773,1,0
1596675730,1,0
1596677797,1,0
1596681613,2,0
1596687371,1,0
1596695084,1,11
1596710701,2,0
1596714524,9,0
1596716408,2,0
1596722186,0,1
1596727961,0,1
1596729877,1,0
1596731770,1,0
1596739478,0,1
1596743289,0,1
1596747149,0,1
1596756759,1,1
1596758653,0,1
1596760569,1,1
1596764411,0,1
1596768283,1,2
1596770166,1,0
1596772089,1,0
1596774017,0,1
1596775931,1,0
1596781689,0,1
1596785535,1,0
1596795408,1,0
1596797320,0,2
1596799210,1,0
1596801127,1,11
1596816523,0,1
1596818417,0,1
1596824208,1,0
1596842411,1,1
1596846299,1,1
1596855137,0,2
1596858967,0,1
1596863769,0,1
1596871493,0,1
1596878173,1,0
1596882017,0,1
1596883930,1,0
1596885880,0,1
1596887770,0,1
1596903607,1,0
1596909370,0,1
1596915126,5,0
1596928571,0,1
1596932409,0,1
1596940331,1,0
1596944196,1,0
1596948011,1,0
1596953772,1,0
1596957610,1,0
1596963368,0,1
1596968171,1,0
1596970118,0,1
1596983528,1,0
1596989290,0,1
1596993162,1,0
1597000813,0,5
1597006568,1,0
1597010451,1,0
1597024122,1,0
1597026016,0,1
1597031788,0,1
1597033690,0,1
1597039477,0,1
1597043300,0,1
1597049051,4,0
1597052922,0,1
1597064531,1,0
1597066595,2,0
1597070415,0,1
1597080039,0,1
1597090569,4,0
1597092492,0,1
1597094432,2,0
1597096326,1,1
1597100194,1,0
1597107853,1,0
1597109767,0,1
1597113612,1,0
1597128999,1,0
1597130887,1,0
1597134758,0,4
1597138586,2,0
1597152036,0,3
1597168331,1,0
1597176131,0,4
1597177935,1,0
1597180096,0,2
1597182014,0,1
1597185850,0,1
1597189720,1,0
1597195480,0,1
1597197368,1,0
1597199293,1,0
1597201325,0,1
1597203138,1,0
1597216566,0,1
1597218539,0,1
1597224278,0,2
1597255273,0,1
1597264813,0,1
1597274436,0,1
1597284167,0,1
1597285990,0,1
1597287854,0,1
1597290495,16,0
1597292435,2,0
1597317367,15,0
1597321266,1,0
1597330884,1,0
1597332757,1,0
1597336570,6,0
1597338522,1,0
1597350011,10,0
1597351956,1,0
1597367565,6,0
