DateTime,Entries,UniqueIPs
1596682599,2161,2161
1596685451,2168,2168
1596687372,2160,2160
1596689323,2160,2160
1596691210,2159,2159
1596693128,2162,2162
1596695086,2153,2153
1596696973,2143,2143
1596698887,2141,2141
1596702012,1801,1801
1596703931,1506,1506
1596705930,1503,1503
1596707780,1508,1508
1596709696,1520,1520
1596712585,1521,1521
1596714526,1270,1270
1596716409,1260,1260
1596718335,1255,1255
1596720252,1172,1172
1596722189,1173,1173
1596724118,1253,1253
1596726103,1267,1267
1596727962,1260,1260
1596729922,1251,1251
1596731772,1251,1251
1596733724,1255,1255
1596735610,1245,1245
1596737534,1241,1241
1596739479,1235,1235
1596741375,1234,1234
1596743290,1232,1232
1596745247,1228,1228
1596747150,1233,1233
1596749055,1243,1243
1596751001,1242,1242
1596752893,1236,1236
1596754864,1240,1240
1596756760,1229,1229
1596758655,1229,1229
1596760570,1225,1225
1596762519,1224,1224
1596764413,1225,1225
1596766332,1220,1220
1596768284,1211,1211
1596770167,1207,1207
1596772090,1205,1205
1596774019,1200,1200
1596775932,2178,2178
1596777887,3564,3564
1596779812,5047,5047
1596781690,6357,6357
1596784806,8177,8177
1596786726,9628,9628
1596788701,10927,10927
1596790568,11258,11258
1596792491,11255,11255
1596795410,11250,11250
1596797321,11230,11230
1596799212,11231,11231
1596801129,11227,11227
1596803054,11231,11231
1596804969,11230,11230
1596806930,11235,11235
1596808902,11240,11240
1596810767,11163,11163
1596812661,11167,11167
1596814574,11164,11164
1596816524,11162,11162
1596818417,11163,11163
1596820336,11160,11160
1596822285,11164,11164
1596824209,11166,11166
1596826097,11169,11169
1596828041,11383,11383
1596829935,11660,11660
1596831856,11656,11656
1596833802,11656,11656
1596835690,11645,11645
1596837666,11656,11656
1596839563,11652,11652
1596841495,11650,11650
1596843400,11656,11656
1596845313,11660,11660
1596847211,11657,11657
1596849168,11658,11658
1596851050,11703,11703
1596852978,11709,11709
1596854923,11712,11712
1596856833,11711,11711
1596858732,11709,11709
1596860686,11711,11711
1596862569,10590,10590
1596864491,9217,9217
1596866507,7737,7737
1596868332,6415,6415
1596871210,4810,4810
1596873129,3385,3385
1596875084,2116,2116
1596876973,1771,1771
1596878933,1774,1774
1596880999,1777,1777
1596882999,1781,1781
1596884891,1789,1789
1596886809,1795,1795
1596888766,1794,1794
1596890649,1795,1795
1596892573,1796,1796
1596894524,1798,1798
1596896407,1794,1794
1596898331,1789,1789
1596900297,1793,1793
1596902173,1797,1797
1596904088,1799,1799
1596906127,1808,1808
1596907938,1809,1809
1596909869,1810,1810
1596911798,1803,1803
1596913707,1809,1809
1596915616,1199,1199
1596917566,1205,1205
1596919455,1212,1212
1596921389,1224,1224
1596923325,1221,1221
1596925214,1227,1227
1596927161,1229,1229
1596929086,1227,1227
1596930976,1245,1245
1596933136,1245,1245
1596935111,1252,1252
1596937002,1244,1244
1596938899,1184,1184
1596940817,1176,1176
1596942765,1182,1182
1596944655,1179,1179
1596946577,1230,1230
1596948525,1188,1188
1596950420,1190,1190
1596952334,1206,1206
1596954294,1205,1205
1596956175,1202,1202
1596958094,1204,1204
1596960099,1195,1195
1596961936,1186,1186
1596963860,1185,1185
1596965799,1188,1188
1596967694,1185,1185
1596969612,1183,1183
1596971564,1180,1180
1596973450,1183,1183
1596975379,1176,1176
1596977322,1177,1177
1596979209,1179,1179
1596981029,1178,1178
1596982837,1175,1175
1596984726,1168,1168
1596986691,1192,1192
1596988566,1194,1194
1596990485,1190,1190
1596993369,1199,1199
1596995323,1198,1198
1596997206,1197,1197
1596999132,1198,1198
1597001081,1196,1196
1597002972,1195,1195
1597004891,1193,1193
1597006881,1192,1192
1597008728,1245,1245
1597010698,1243,1243
1597012608,1249,1249
1597014491,1255,1255
1597016416,1273,1273
1597018366,1275,1275
1597020251,1283,1283
1597022172,1278,1278
1597024123,1278,1278
1597026016,1282,1282
1597027941,1279,1279
1597029882,1274,1274
1597031790,1275,1275
1597033690,1223,1223
1597035676,1215,1215
1597037529,1226,1226
1597039513,1219,1219
1597041405,1213,1213
1597043302,1215,1215
1597045211,1209,1209
1597047157,1208,1208
1597049052,1211,1211
1597050975,1208,1208
1597052922,1213,1213
1597054832,1208,1208
1597056733,1208,1208
1597058678,1213,1213
1597060575,1205,1205
1597062489,1200,1200
1597064545,1206,1206
1597066597,1286,1286
1597068518,1276,1276
1597070416,1278,1278
1597072361,1250,1250
1597074275,1243,1243
1597076178,1244,1244
1597078093,1241,1241
1597080040,1240,1240
1597081934,1242,1242
1597083852,1241,1241
1597085792,1240,1240
1597087688,1244,1244
1597090570,1229,1229
1597092493,1228,1228
1597094434,1228,1228
1597096339,1220,1220
1597098254,1213,1213
1597100195,1202,1202
1597102090,1184,1184
1597104044,1170,1170
1597105955,1155,1155
1597107856,1150,1150
1597109769,1155,1155
1597111715,1153,1153
1597113614,1158,1158
1597115531,1162,1162
1597117478,1160,1160
1597119373,1160,1160
1597121293,1165,1165
1597123234,1162,1162
1597125131,1154,1154
1597127072,1158,1158
1597129000,1155,1155
1597130888,1405,1405
1597133770,1412,1412
1597135686,1458,1458
1597137638,1449,1449
1597139529,1441,1441
1597141455,1433,1433
1597143418,1436,1436
1597145289,1442,1442
1597147245,1450,1450
1597149166,1466,1466
1597151052,1470,1470
1597152970,1389,1389
1597154917,1394,1394
1597156810,1399,1399
1597158757,1413,1413
1597160652,1413,1413
1597162570,1410,1410
1597164523,1413,1413
1597166439,1412,1412
1597168354,1406,1406
1597170306,1417,1417
1597172171,1417,1417
1597174090,1415,1415
1597176136,1437,1437
1597178194,1429,1429
1597180096,1432,1432
1597182014,1452,1452
1597183966,1455,1455
1597185850,1470,1470
1597187774,1473,1473
1597189721,1475,1475
1597191613,1477,1477
1597193529,1477,1477
1597195481,1480,1480
1597197370,1485,1485
1597199293,1489,1489
1597201353,1494,1494
1597203394,1499,1499
1597205287,1568,1568
1597207208,1564,1564
1597209156,1564,1564
1597211052,1562,1562
1597212965,1608,1608
1597214913,1610,1610
