DateTime,AddedIPs,RemovedIPs
1596685452,28,17
1596687373,18,42
1596689323,21,33
1596691210,17,16
1596693145,18,29
1596695087,15,18
1596696974,20,8
1596698888,14,6
1596702012,29,10
1596703934,26,15
1596705932,13,15
1596707785,16,10
1596709696,12,13
1596712586,14,29
1596714526,9,5
1596716420,7,10
1596718335,9,14
1596720252,8,6
1596722190,5,14
1596724118,5,19
1596726113,5,5
1596727962,3,9
1596729924,3,9
1596731773,7,9
1596733725,9,4
1596735611,7,7
1596737534,8,1
1596739480,2,17
1596741376,3,6
1596743290,2,7
1596745247,4,7
1596747150,1,6
1596749055,3,8
1596751002,5,12
1596752893,2,10
1596754880,5,3
1596756777,7,3
1596758655,7,6
1596760571,1,34
1596762520,5,13
1596764413,7,7
1596766332,3,9
1596768284,7,16
1596770167,13,12
1596772090,11,19
1596774020,6,27
1596775932,14,19
1596777887,11,13
1596779816,10,19
1596781691,14,17
1596784806,13,29
1596786727,14,16
1596788701,12,25
1596790568,7,29
1596792492,12,15
1596795410,30,31
1596797321,20,12
1596799212,13,12
1596801129,13,15
1596803054,15,19
1596804970,13,12
1596806931,12,11
1596808918,14,5
1596810767,13,5
1596812662,7,5
1596814575,17,2
1596816524,8,3
1596818418,15,6
1596820336,11,9
1596822286,16,7
1596824209,13,4
1596826097,12,2
1596828042,14,4
1596829935,7,3
1596831856,16,4
1596833802,8,0
1596835691,10,3
1596837678,5,3
1596839564,4,1
1596841501,3,6
1596843400,7,6
1596845314,4,4
1596847212,3,1
1596849169,3,7
1596851051,6,6
1596852979,6,2
1596854923,29,11
1596856834,9,10
1596858732,9,12
1596860686,9,3
1596862569,5,16
1596864491,10,10
1596867607,14,11
1596869532,8,7
1596871494,6,8
1596873369,5,8
1596875288,7,13
1596878173,8,10
1596880126,5,18
1596882018,5,19
1596883932,4,15
1596885881,8,14
1596887772,12,13
1596889690,7,10
1596891742,11,11
1596893915,17,15
1596895961,5,12
1596897848,7,13
1596899779,9,13
1596901725,8,15
1596903608,14,15
1596905530,9,14
1596907477,11,14
1596909371,11,8
1596911295,6,12
1596913315,4,11
1596915127,5,12
1596917053,11,9
1596918996,10,11
1596920913,12,14
1596922812,12,11
1596924759,13,4
1596926649,7,3
1596928572,10,7
1596930520,5,3
1596932412,11,5
1596934333,8,6
1596936280,9,8
1596938166,9,6
1596940332,5,28
1596942251,7,6
1596944197,15,15
1596946094,7,11
1596948015,11,13
1596949960,14,9
1596951851,14,11
1596953773,17,9
1596955722,7,9
1596957610,7,6
1596959528,7,4
1596961486,9,7
1596963370,9,7
1596965289,10,5
1596968172,11,9
1596970119,4,4
1596972006,8,7
1596973928,5,9
1596975876,11,7
1596977770,7,10
1596979687,7,16
1596981760,3,8
1596983798,5,7
1596985689,5,10
1596987611,6,5
1596989558,9,14
1596991458,13,11
1596993369,13,9
1596995323,2,8
1596997206,14,9
1596999133,6,9
1597001081,6,4
1597002972,10,9
1597004891,8,8
1597006893,13,13
1597008729,7,11
1597010698,9,8
1597012612,7,15
1597014491,9,6
1597016416,10,9
1597018367,8,8
1597020251,8,10
1597022173,8,10
1597024123,8,8
1597026017,11,6
1597027942,9,7
1597029882,6,14
1597031790,8,6
1597033691,14,7
1597035681,13,17
1597037530,16,12
1597039516,10,15
1597041405,11,13
1597043302,11,7
1597045211,17,8
1597047157,20,3
1597049052,13,15
1597050976,10,10
1597052923,4,5
1597054832,13,7
1597056733,8,3
1597058678,11,8
1597060576,9,5
1597062489,14,10
1597064547,11,10
1597066598,8,7
1597068519,8,4
1597070416,16,2
1597072362,12,6
1597074275,24,5
1597076178,16,8
1597078094,22,12
1597080040,27,10
1597081934,20,1
1597083853,24,9
1597085793,18,8
1597087688,18,7
1597090570,16,15
1597092493,5,10
1597094434,9,5
1597096339,5,6
1597098254,5,14
1597100195,5,12
1597102090,2,7
1597104047,9,6
1597105956,7,3
1597107857,5,8
1597109769,1,9
1597111715,7,6
1597113615,7,7
1597115531,3,6
1597117478,8,9
1597119374,3,12
1597121293,8,11
1597123235,11,19
1597125132,12,10
1597127073,12,14
1597129000,14,7
1597130888,10,9
1597133771,19,32
