DateTime,AddedIPs,RemovedIPs
1595330411,0,1
1595336175,1,1
1595338087,1,1
1595344092,2,0
1595359513,0,1
1595363285,1,0
1595366434,1,0
1595370257,1,1
1595372197,1,0
1595383968,0,2
1595389706,2,0
1595395213,1,0
1595406746,1,0
1595414412,1,0
1595416363,2,0
1595422120,0,1
1595424013,0,1
1595425938,1,0
1595429770,0,1
1595431734,0,1
1595435527,2,0
1595437541,1,0
1595441534,1,0
1595447294,1,0
1595449220,0,1
1595451134,1,0
1595453086,0,1
1595454978,1,0
1595456928,1,1
1595460014,0,1
1595473703,1,0
1595475660,0,2
1595477590,1,0
1595481625,2,1
1595493215,0,1
1595500824,0,1
1595502789,0,2
1595504685,1,0
1595512378,0,1
1595514290,1,0
1595521214,1,0
1595523153,0,2
1595525082,1,1
1595526970,1,1
1595533005,1,1
1595536812,0,1
1595540666,0,1
1595542819,1,1
1595550489,1,0
1595555773,2,0
1595561799,1,1
1595563970,0,1
1595565850,1,0
1595567787,0,2
1595571689,1,0
1595585092,1,0
1595590817,0,1
1595600421,0,1
1595602334,1,0
1595606172,0,1
1595612199,2,1
1595614105,0,1
1595617960,0,1
1595629482,0,1
1595636411,1,1
1595640284,0,1
1595642171,1,1
1595644095,1,0
1595648169,0,1
1595650090,1,0
1595652022,1,1
1595655886,1,0
1595657771,1,0
1595659728,0,1
1595669316,1,0
1595671354,0,1
1595677221,2,0
1595681059,1,0
1595688739,0,1
1595696465,1,0
1595698366,1,2
1595704106,1,0
1595721371,1,1
1595723588,1,0
1595729299,0,1
1595731222,0,1
1595736995,0,2
1595740814,1,0
1595742738,1,1
1595744693,1,1
1595746582,1,0
1595753562,2,0
1595755495,0,1
1595763132,0,2
1595767248,0,1
1595774896,1,0
1595780654,1,0
1595782605,0,1
1595784490,1,0
1595786524,0,1
1595790538,0,1
1595792418,1,0
1595805887,1,0
1595807771,0,1
1595809720,1,1
1595826997,0,1
1595828944,0,1
1595830817,0,1
1595832732,0,1
1595838488,0,2
1595850042,2,0
1595853885,3,0
1595859641,2,0
1595861537,0,1
1595865381,0,1
1595870204,1,0
1595872126,1,1
1595877887,0,1
1595891775,0,1
1595895620,0,1
1595906419,1,0
1595908328,2,0
1595916981,1,0
1595922759,1,0
1595936433,2,2
1595940266,0,3
1595944205,2,1
1595946337,0,1
1595950089,1,0
1595955140,1,0
1595957090,0,1
1595958971,0,1
1595966889,1,0
1595970743,1,0
1595994014,0,2
1595995931,0,1
1595997890,2,0
1595999802,1,0
1596003643,0,1
1596005545,1,0
1596009421,0,1
1596017114,1,0
1596021502,0,1
1596023363,0,1
1596029086,1,1
1596030985,0,1
1596035091,0,1
1596037009,1,0
1596040845,0,1
1596046608,1,0
1596050414,1,0
1596052363,0,1
1596058129,0,1
1596060184,1,0
1596066007,1,0
1596075613,2,0
1596079452,1,0
1596083286,0,2
1596086174,0,1
1596091949,1,1
1596097698,1,0
1596103476,0,1
1596107322,1,0
1596111136,1,0
1596114983,0,1
1596124603,1,1
1596126495,1,0
1596131781,2,1
1596135674,0,1
1596143306,1,0
1596147164,0,1
1596150974,1,0
1596152926,1,1
1596162495,0,2
1596164519,1,1
1596176202,1,0
1596178089,0,1
1596183851,0,1
1596194650,0,1
1596196604,1,0
1596198491,0,1
1596200557,1,0
1596208155,1,0
1596211970,0,1
1596213866,0,1
1596217724,0,2
1596223524,1,0
1596229350,0,1
1596237261,0,1
1596239323,0,1
1596250912,0,1
1596254895,1,0
1596262609,0,1
1596277212,1,0
1596281082,1,0
1596282967,1,1
1596284891,1,0
1596287770,0,1
1596291609,5,0
1596293530,1,0
1596295453,1,1
1596309183,0,1
1596311051,1,0
1596312970,1,0
1596316807,2,0
1596322604,1,0
1596331234,1,0
1596336972,1,0
1596342047,1,1
1596343931,2,0
1596362174,0,1
1596366991,2,1
1596368894,0,1
1596370851,0,1
1596378516,1,5
1596380449,0,2
1596397928,0,1
1596399850,0,1
1596401849,0,2
1596407631,1,0
1596409504,0,1
1596417140,0,1
1596422896,1,1
1596428657,0,1
1596430604,0,2
1596443056,1,0
1596452675,0,2
1596458415,1,0
1596460342,1,0
1596464173,0,1
1596477629,1,0
1596481466,1,0
1596492972,0,1
1596494906,1,0
1596496858,1,0
1596500664,1,0
1596509235,0,1
1596513139,2,0
1596515320,1,0
1596519366,1,0
1596521354,1,0
1596527081,1,0
1596528969,1,1
1596532869,1,0
1596534729,1,0
1596542886,1,0
1596544978,0,1
1596547047,0,1
1596556601,1,0
1596562366,1,0
1596564270,1,1
1596566173,2,0
1596568164,1,1
1596581530,2,1
1596583458,0,1
1596587299,1,1
1596598089,0,1
1596600988,1,1
1596602891,0,1
1596606728,0,2
1596612999,0,1
1596614891,1,1
1596616807,2,0
1596618760,0,1
1596620653,0,1
1596628362,0,1
1596642758,1,1
1596648522,0,1
1596650537,0,1
1596652601,0,2
1596654559,0,1
1596656409,1,0
1596658360,1,0
1596667935,0,2
1596671787,1,0
1596673689,0,1
1596681614,1,0
1596685453,0,1
1596691211,1,0
1596695087,2,0
1596700944,1,1
1596703001,0,2
1596708762,1,0
1596712660,1,0
1596716447,1,0
1596718336,1,0
1596720253,1,0
1596724118,1,0
1596727237,1,0
1596729128,1,1
1596733004,1,0
1596736861,1,0
1596740708,1,0
1596742568,0,1
1596744520,0,1
1596746407,1,0
1596748330,1,0
1596752173,1,0
1596754089,1,0
1596759852,1,1
1596766574,0,1
1596774490,2,0
1596777606,0,1
1596781481,1,2
1596783367,1,0
1596787277,0,1
1596789132,1,0
1596791072,1,0
1596794896,2,1
1596796807,1,0
1596798761,0,1
1596804497,0,2
1596806562,0,1
1596808601,1,0
1596810485,0,1
1596812458,1,0
1596814355,0,1
1596816251,0,1
1596820124,0,1
1596822011,1,1
1596823928,1,0
1596825880,0,1
1596829693,1,0
1596831636,1,1
1596833528,1,0
1596835448,0,1
1596839299,0,1
1596841260,3,1
1596846998,0,1
1596852761,2,0
1596860407,0,1
1596862334,0,1
1596866168,1,0
1596868088,1,1
1596870159,0,1
1596874086,0,1
1596876010,1,1
1596877982,1,0
1596879851,1,1
1596882019,0,2
1596889691,1,0
1596891759,1,0
1596893915,0,1
1596897848,0,1
1596903609,1,0
1596909371,0,2
1596911295,1,0
1596916326,0,1
1596918281,0,1
1596920166,0,1
1596927881,1,3
1596931690,1,0
1596939375,0,2
1596947080,1,0
1596948968,2,0
1596950888,1,0
1596952878,0,2
1596954746,1,0
1596958597,1,0
1596962407,0,1
1596964361,0,1
1596966257,0,1
1596975877,0,1
1596977771,2,1
1596987612,2,0
1596989559,0,1
1596997207,0,1
1597006918,1,0
1597008729,1,0
1597012613,1,1
1597014492,2,0
1597016417,0,1
1597029884,1,0
1597033692,0,1
1597035693,0,2
1597037531,0,1
1597041406,2,1
1597045212,1,1
1597064551,1,2
1597066599,1,0
1597074276,0,2
1597076179,1,0
1597083854,1,0
1597085793,1,0
1597087689,1,0
1597092494,0,1
1597094435,2,1
1597100197,0,3
1597113615,1,0
1597117479,0,1
1597121294,1,0
1597123235,2,0
1597125132,1,0
1597127074,1,2
1597130889,0,1
1597137639,1,0
1597151061,0,1
1597152971,1,1
1597162571,1,1
1597170306,1,1
1597172173,1,1
1597174091,1,1
1597180123,0,2
1597199295,1,0
1597201394,0,1
1597205289,1,0
1597207210,0,1
1597209157,1,1
1597211053,0,2
1597212966,0,1
1597214914,1,0
1597224491,0,1
1597228336,4,0
1597238183,0,1
1597243930,1,0
1597245860,1,0
1597249934,0,1
1597254009,2,0
1597256174,1,1
