DateTime,AddedIPs,RemovedIPs
1596654561,2,4
1596656411,2,1
1596658362,3,2
1596662175,1,3
1596664124,0,2
1596666013,3,4
1596667937,1,4
1596669900,3,3
1596671788,3,3
1596673690,4,1
1596675791,2,4
1596677800,1,2
1596679694,1,4
1596681616,1,3
1596683561,0,2
1596685454,4,2
1596687374,2,2
1596689325,2,5
1596693147,0,1
1596695089,5,1
1596696976,0,2
1596698889,0,2
1596700961,1,2
1596703002,2,2
1596704896,1,0
1596706834,5,1
1596708763,2,0
1596710704,1,6
1596712671,1,3
1596714528,1,2
1596716447,1,1
1596718337,0,1
1596720255,2,0
1596722201,3,2
1596724120,2,1
1596726162,3,6
1596727963,3,2
1596729927,2,2
1596731774,2,1
1596733726,0,6
1596735611,2,3
1596737536,1,4
1596739481,2,3
1596741378,0,3
1596743291,1,4
1596745248,1,0
1596747152,0,1
1596749057,1,1
1596751003,1,2
1596752896,1,1
1596754939,2,1
1596756780,2,4
1596758656,1,3
1596760572,0,3
1596762521,0,2
1596764414,2,2
1596768286,1,1
1596770169,1,0
1596772146,1,4
1596774022,1,3
1596775934,0,1
1596777889,2,0
1596779819,0,1
1596781692,3,4
1596785798,1,0
1596787704,1,1
1596789616,1,2
1596791572,1,1
1596793453,3,5
1596795411,3,2
1596797323,1,2
1596801130,2,1
1596803057,5,1
1596804974,2,0
1596806934,2,2
1596808960,2,4
1596810770,3,3
1596812665,3,1
1596814580,2,1
1596816527,1,2
1596818421,1,4
1596820337,6,0
1596822287,6,3
1596824210,2,0
1596826098,3,2
1596828043,1,1
1596829937,4,0
1596831858,0,1
1596833804,3,0
1596835693,3,1
1596838606,4,2
1596840500,2,0
1596842412,3,3
1596844379,3,2
1596846300,2,0
1596848173,1,0
1596850091,2,2
1596852140,2,0
1596853943,4,0
1596855855,1,1
1596857804,1,2
1596859691,1,1
1596861618,1,0
1596863563,0,1
1596865456,4,1
1596867377,2,2
1596869343,3,1
1596871212,2,0
1596873131,3,2
1596875085,4,1
1596876974,1,0
1596878935,1,1
1596881010,0,4
1596883000,0,3
1596884893,2,0
1596886810,1,1
1596888767,1,5
1596890650,0,2
1596892574,9,2
1596894525,2,3
1596896409,3,1
1596898342,3,3
1596900298,3,3
1596902176,0,2
1596904090,4,0
1596906146,6,6
1596908199,0,5
1596910119,3,4
1596912008,2,2
1596913959,1,1
1596915854,0,3
1596917772,2,1
1596919720,3,2
1596921607,2,1
1596923540,3,5
1596925480,4,4
1596927369,3,1
1596929315,1,3
1596932169,8,4
1596934148,0,1
1596936009,0,1
1596937927,2,3
1596939911,3,2
1596941780,0,3
1596943687,2,1
1596946578,6,1
1596948527,2,1
1596952336,1,4
1596954296,5,4
1596956176,2,1
1596958096,3,3
1596960172,1,2
1596962197,2,4
1596964093,3,2
1596967960,4,0
1596969855,1,0
1596971792,1,1
1596973720,2,1
1596975608,2,1
1596977531,2,1
1596979485,2,9
1596981368,8,1
1596983290,4,4
1596986172,6,3
1596988122,3,2
1596990019,1,3
1596991932,3,7
1596993878,5,0
1596995773,3,3
1596997693,6,1
1597000573,2,2
1597002522,1,1
1597004411,0,1
1597006329,3,4
1597008282,4,2
1597010172,5,3
1597012091,3,3
1597014997,2,3
1597016929,4,3
1597018811,2,6
1597020731,6,0
1597022684,2,0
1597024581,1,2
1597026500,2,3
1597028489,3,0
1597030342,2,3
1597032255,1,3
1597034202,3,3
1597036110,2,1
1597038032,3,1
1597039960,0,3
1597041868,3,3
1597043773,2,2
1597045721,2,2
1597047610,1,3
1597049528,3,3
1597051496,2,1
1597053369,2,3
1597055287,2,1
1597058174,3,2
1597060127,1,2
1597062021,5,2
1597063943,4,2
1597065885,3,2
1597067775,3,7
1597069690,3,4
1597072575,2,6
1597074516,4,3
1597076435,3,1
1597078330,2,3
1597080271,2,5
1597082196,3,3
1597084110,6,6
1597086985,3,3
1597088896,2,1
1597090837,1,0
1597092730,3,3
1597094688,2,4
1597096597,1,5
1597098490,4,3
1597100434,1,2
1597102475,2,2
1597104533,1,4
1597106411,1,4
1597108334,0,4
1597112172,3,3
1597114093,1,1
1597116042,2,3
1597117930,1,1
1597119853,1,2
1597121819,3,3
1597123695,1,4
1597126578,2,0
1597128514,4,4
1597130457,0,3
1597132330,0,1
1597134253,2,2
1597136201,5,2
1597138096,4,2
1597140147,3,2
1597141965,4,2
1597143856,2,2
1597145776,1,1
1597147725,2,4
1597149611,3,5
1597151532,0,2
1597153482,1,3
1597155508,2,4
1597157351,4,3
1597159217,1,1
1597161128,3,4
1597163086,0,2
1597164971,4,2
1597166953,4,2
1597170008,3,6
1597171928,0,6
1597173877,3,0
1597175775,2,2
1597177694,2,2
1597179689,0,4
1597181536,1,0
1597183472,3,1
1597185396,3,3
1597187296,3,3
1597189218,2,0
1597191171,2,2
1597193051,2,0
1597195211,1,0
1597197131,2,0
1597199084,3,3
1597200976,3,2
1597202908,1,1
1597204909,0,1
1597206733,2,2
1597208696,2,2
1597210598,2,1
1597212498,1,2
1597214412,2,3
1597216359,2,1
1597218272,3,0
1597220169,0,2
1597222122,4,5
1597224024,2,3
1597225931,3,1
1597227886,6,7
1597229771,4,1
1597231694,2,1
1597233682,1,3
1597235629,2,3
1597237469,4,0
1597239371,1,1
1597241322,1,2
1597243211,4,4
1597245132,5,1
1597247081,0,3
1597249046,1,0
1597250936,2,4
1597252840,3,4
1597254776,4,2
1597256657,1,1
1597258620,5,1
1597260493,2,3
1597262504,1,3
1597264363,4,1
1597266287,2,0
1597268171,3,1
1597270157,5,3
1597272013,1,3
1597273934,1,3
1597275920,1,2
1597277780,0,2
1597279701,4,2
1597281638,2,1
1597283531,0,2
1597285455,1,3
1597287399,5,3
1597290279,2,1
1597292168,4,1
1597294088,1,3
1597296035,4,2
1597297928,4,0
1597299852,3,3
1597301800,3,0
1597303687,4,3
1597305683,2,2
1597307558,0,3
1597309455,2,1
1597311370,2,4
1597313323,1,5
1597315209,2,5
1597317133,4,3
1597319082,2,0
1597320971,0,3
1597322889,1,3
1597324838,2,1
1597326729,1,1
1597328661,4,5
1597330598,0,3
1597332500,4,2
1597334486,2,0
1597336359,4,2
1597338183,2,2
1597340170,3,6
1597342117,2,0
1597344009,2,5
1597346298,2,1
1597348105,3,3
1597350021,1,3
1597351956,4,2
1597354123,4,3
1597356123,1,4
1597357959,4,2
1597359894,2,2
1597361796,4,0
1597363693,3,1
1597365614,3,3
