DateTime,AddedIPs,RemovedIPs
1596572016,4,2
1596573887,18,2
1596575781,2,2
1596577721,0,1
1596579644,1,2
1596581531,2,1
1596583459,2,2
1596585405,0,2
1596587300,0,2
1596590446,0,2
1596592331,4,14
1596594254,2,1
1596596205,2,16
1596598090,1,4
1596600989,2,2
1596602891,2,1
1596604840,1,2
1596606729,1,5
1596608654,1,1
1596610956,102,2
1596613000,2,0
1596614892,2,1
1596616808,1,3
1596618761,0,1
1596620654,1,0
1596622648,2,0
1596624515,0,2
1596626469,1,1
1596628363,0,1
1596632289,2,0
1596634122,1,2
1596637004,1,3
1596638896,3,0
1596640810,5,1
1596642760,2,1
1596644655,1,0
1596646574,2,2
1596648525,1,1
1596650625,1,0
1596652603,2,1
1596654560,3,1
1596656411,3,1
1596658362,0,1
1596660256,2,17
1596662174,0,1
1596664124,1,1
1596666013,2,1
1596667936,3,3
1596669899,1,2
1596679693,3,2
1596681615,1,1
1596683561,2,0
1596685454,1,1
1596687374,2,0
1596689324,0,3
1596691212,1,1
1596693147,3,1
1596695088,10,1
1596696976,0,133
1596698889,0,2
1596700959,1,6
1596703002,2,1
1596704895,2,0
1596706833,0,2
1596708763,2,2
1596710704,1,1
1596712671,1,0
1596714527,1,1
1596718337,0,1
1596720254,2,1
1596722199,3,2
1596724119,3,2
1596726149,2,3
1596727963,0,3
1596729926,0,2
1596731774,2,2
1596733725,1,2
1596737536,0,3
1596739481,2,0
1596741378,0,5
1596743291,12,3
1596745248,1,0
1596747152,1,1
1596749056,1,0
1596751003,2,0
1596752896,0,2
1596754931,0,5
1596760571,0,2
1596762520,1,1
1596764414,2,1
1596766333,1,2
1596768285,1,1
1596770169,2,2
1596772121,2,2
1596774021,0,1
1596775934,1,0
1596777888,3,1
1596779818,1,8
1596781692,1,5
1596785798,2,0
1596787704,0,1
1596789615,1,2
1596791571,0,1
1596795411,1,2
1596797322,3,1
1596799214,1,1
1596801130,3,0
1596803056,1,1
1596804973,4,0
1596806933,6,2
1596808958,2,3
1596810770,2,2
1596812664,1,1
1596814576,1,0
1596816527,2,0
1596818420,1,2
1596820337,1,1
1596826098,0,2
1596828042,4,1
1596829936,5,11
1596831857,1,1
1596833804,1,0
1596835692,0,1
1596838606,1,2
1596842411,2,0
1596844378,1,0
1596848172,2,0
1596850091,0,2
1596852129,5,2
1596855854,1,2
1596857803,1,2
1596859691,18,1
1596861618,2,0
1596863563,3,4
1596865456,1,1
1596867377,0,1
1596871212,1,0
1596873130,2,2
1596875085,0,1
1596876974,1,0
1596878934,1,0
1596883000,1,2
1596884893,0,3
1596886810,1,2
1596888767,2,2
1596890650,4,2
1596892574,0,6
1596894525,0,2
1596896408,1,4
1596900298,0,1
1596902175,4,1
1596904089,1,2
1596906143,4,1
1596908198,0,1
1596912008,3,0
1596913959,7,3
1596915853,5,3
1596917772,1,1
1596919719,3,1
1596921606,2,1
1596923540,2,1
1596925480,3,0
1596929314,0,2
1596932168,5,1
1596934148,0,1
1596936009,1,1
1596937926,1,3
1596939908,1,2
1596941778,0,1
1596943686,1,1
1596946578,1,19
1596948526,0,1
1596950422,0,4
1596952335,3,0
1596954296,1,0
1596956176,0,1
1596960164,2,2
1596964093,2,2
1596966009,1,0
1596969855,0,1
1596971791,8,1
1596973720,1,0
1596975608,1,3
1596977530,0,2
1596979484,2,0
1596983290,2,0
1596986172,1,0
1596988122,0,3
1596990018,2,2
1596991932,0,2
1596993878,2,2
1596995773,2,0
1596997693,2,3
1597000573,2,7
1597002522,0,5
1597004410,1,1
1597006329,0,3
1597008281,1,2
1597010172,0,2
1597012091,1,3
1597014097,2,0
