DateTime,AddedIPs,RemovedIPs
1596363892,0,1
1596369866,0,1
1596373732,1,0
1596377555,1,1
1596379492,2,0
1596381377,0,1
1596387139,1,0
1596391019,4,1
1596394991,0,1
1596396970,1,0
1596400816,0,2
1596402743,2,4
1596404701,2,1
1596406573,3,0
1596408492,2,0
1596410440,1,0
1596412352,1,0
1596414257,0,1
1596420999,1,0
1596424845,0,1
1596432497,1,0
1596434520,0,1
1596445951,1,0
1596451691,1,0
1596459433,0,1
1596463409,2,1
1596465397,0,1
1596467347,1,0
1596471135,1,0
1596473084,1,1
1596474979,1,0
1596477134,1,3
1596479053,0,1
1596481013,1,0
1596484987,0,1
1596488921,2,2
1596492974,0,5
1596494907,1,2
1596496860,0,1
1596498741,1,1
1596507373,0,1
1596517381,0,1
1596523211,1,0
1596525141,3,0
1596528971,3,0
1596532874,1,1
1596534731,1,0
1596536652,1,1
1596540487,1,0
1596548908,0,1
1596550845,0,1
1596552733,1,1
1596556604,0,1
1596560546,2,2
1596562368,0,1
1596564289,2,0
1596566175,2,0
1596568166,1,1
1596570017,2,0
1596572016,2,0
1596573888,0,1
1596581532,0,1
1596585406,0,1
1596587301,1,0
1596604574,1,0
1596610398,2,1
1596612285,0,3
1596614178,1,0
1596616102,1,3
1596618142,1,0
1596619947,0,1
1596622154,1,2
1596624046,2,0
1596627856,1,1
1596631695,1,0
1596635564,1,0
1596639373,1,1
1596644411,2,0
1596646363,1,2
1596648252,1,0
1596650195,2,1
1596652091,1,2
1596654561,1,2
1596656411,2,2
1596658363,0,1
1596660257,3,0
1596664125,2,0
1596667938,1,0
1596669900,1,0
1596671788,1,0
1596673691,1,1
1596675805,1,0
1596677801,2,0
1596683562,1,0
1596687374,1,0
1596691213,2,1
1596696977,0,2
1596700963,0,2
1596703002,1,0
1596704897,0,1
1596706834,1,1
1596710704,0,2
1596714529,1,1
1596718345,0,1
1596722202,0,1
1596726191,0,2
1596728197,1,1
1596730125,0,1
1596732029,1,1
1596733935,0,1
1596735882,1,2
1596739692,0,2
1596741639,4,1
1596743531,2,1
1596745453,2,3
1596747450,4,1
1596749287,2,2
1596751264,3,0
1596753160,0,1
1596755054,1,0
1596756971,0,2
1596760812,0,1
1596762731,0,1
1596764684,0,2
1596766575,2,0
1596770652,1,1
1596772603,0,2
1596774491,2,0
1596776486,1,0
1596778332,1,2
1596780253,1,0
1596782202,1,0
1596784099,1,0
1596786010,2,0
1596787962,1,0
1596789849,1,1
1596793715,0,1
1596801370,1,1
1596803336,2,0
1596810040,2,0
1596811929,1,0
1596815800,1,0
1596817689,1,0
1596819676,0,1
1596821556,2,1
1596823729,2,0
1596825630,1,0
1596827555,0,3
1596829480,1,3
1596831374,0,1
1596833330,1,5
1596835239,0,2
1596837128,0,3
1596840999,0,1
1596852762,0,2
1596858521,1,1
1596860408,1,2
1596862335,0,1
1596864285,1,1
1596866170,1,1
1596868090,0,1
1596870184,1,1
1596872201,1,2
1596874087,2,1
1596876012,2,1
1596879852,1,0
1596883934,2,0
1596887774,0,1
1596889692,1,1
1596895962,0,1
1596897850,1,2
1596901726,0,1
1596903610,1,0
1596905531,1,0
1596907478,0,1
1596909372,0,2
1596911296,1,2
1596916327,0,1
1596920168,1,1
1596922087,2,0
1596927883,2,0
1596929803,1,0
1596933626,2,0
1596937454,2,0
1596939378,2,0
1596943226,2,0
1596945128,0,1
1596947081,0,1
1596948969,2,0
1596950916,0,1
1596952911,3,1
1596956652,3,1
1596958598,0,1
1596960494,3,2
1596962408,0,2
1596964362,1,0
1596966258,3,1
1596968174,2,0
1596970120,2,2
1596972008,2,0
1596973930,3,0
1596975878,1,0
1596983800,1,1
1596985691,4,0
1596989559,0,2
1596991459,3,0
1596993370,0,1
1596995324,2,0
1596997209,1,1
1597001084,1,0
1597002973,1,0
1597004893,1,0
1597006952,0,1
1597008994,2,2
1597010889,1,0
1597012821,1,0
1597014758,2,2
1597016648,1,0
1597018572,5,0
1597020520,1,2
1597022413,0,2
1597026277,2,2
1597030343,1,2
1597032255,2,0
1597036111,2,2
1597038033,0,2
1597039961,2,0
1597041869,0,2
1597043774,3,1
1597045722,2,0
1597047610,1,3
1597051497,5,4
1597053369,0,2
1597055287,1,3
1597058175,3,2
1597060128,1,3
1597062022,2,1
1597063944,1,1
1597067776,2,0
1597069691,0,1
1597072576,2,5
1597074516,1,0
1597076436,2,1
1597078331,1,2
1597080271,2,0
1597082196,2,2
1597084110,2,1
1597086985,0,1
1597088897,0,1
1597090838,2,1
1597092730,1,0
1597094689,1,2
1597096598,0,1
1597098490,0,1
1597100463,2,2
1597102501,0,1
1597104533,0,3
1597106412,0,3
1597112173,0,2
1597114093,3,0
1597116042,1,0
1597117931,1,3
1597119854,3,0
1597121819,2,1
1597123695,0,2
1597126579,1,2
1597128515,1,0
1597130457,0,3
1597132331,1,2
1597134254,2,1
1597138097,1,5
1597140164,0,1
1597141965,2,0
1597143857,3,3
1597145788,0,1
1597147725,0,1
1597149611,0,3
1597151533,2,0
1597155508,2,2
1597157352,1,2
1597159218,0,1
1597161128,1,3
1597163087,1,0
1597164971,0,1
1597166954,1,3
1597168955,3,1
1597171002,1,2
1597172890,2,0
1597174824,4,0
1597176784,1,2
1597178648,0,1
1597180567,2,1
1597182535,2,0
1597186327,1,2
1597192087,2,0
1597195952,3,0
1597199795,0,1
1597201699,0,2
1597203612,1,2
1597205563,2,1
1597207451,0,2
1597209372,0,2
1597211316,1,0
1597213244,2,1
1597215131,0,1
1597217080,2,0
1597218976,2,1
1597220895,4,2
1597224735,0,1
1597228598,0,3
1597230496,0,2
1597232569,2,0
1597238448,0,2
1597240329,2,0
1597242252,5,2
1597244196,0,1
1597246115,2,0
1597249936,4,1
1597252096,1,0
1597254011,4,1
1597256175,2,4
1597258105,5,0
1597260057,2,4
1597261940,3,1
1597263852,3,0
1597265807,3,0
1597267691,0,2
1597269766,1,2
1597271767,3,1
1597273716,2,0
1597275612,2,0
1597277532,2,2
1597279477,1,0
1597281366,1,1
1597283286,2,2
1597285234,1,0
1597287144,2,0
1597289073,1,1
1597290996,2,0
1597292889,1,2
1597298653,4,1
1597300572,1,2
1597302521,0,2
1597304412,2,1
1597306330,2,3
1597308277,1,1
1597310170,1,0
1597314059,3,0
1597317875,3,2
1597319826,1,0
1597321692,3,0
1597324649,1,0
1597326493,2,1
1597328438,2,3
1597330334,3,2
1597332254,1,2
1597334203,2,0
1597336098,0,4
1597338189,3,1
1597340171,0,4
1597342117,5,2
1597344010,2,5
1597345814,2,1
1597347644,4,4
1597349535,4,2
1597351456,0,4
1597353459,2,1
1597355294,0,1
1597357269,2,2
1597359227,3,3
1597361089,0,1
1597362975,1,3
1597366943,3,2
1597368998,0,1
1597370895,3,2
1597374977,3,2
1597376918,3,2
1597378807,2,2
1597380728,2,0
1597384570,1,4
1597386489,2,1
1597389382,2,1
1597391319,4,1
1597393208,0,4
1597395136,1,0
1597397079,2,1
1597400889,2,3
1597404729,0,4
1597406684,2,0
1597408571,2,3
1597410519,2,1
1597412412,1,2
1597414329,2,2
1597416280,4,1
1597418168,0,2
1597420119,3,3
1597423926,2,3
1597425884,1,0
