DateTime,AddedIPs,RemovedIPs
1596689549,22,20
1596691491,18,23
1596693371,24,33
1596695291,18,19
1596697357,24,18
1596699399,17,12
1596701296,20,15
1596703225,34,21
1596705166,17,19
1596707068,21,17
1596708973,12,15
1596710964,17,35
1596713087,88,18
1596714997,19,16
1596716924,15,14
1596718942,12,17
1596720967,13,15
1596722889,13,22
1596724846,12,23
1596726982,8,11
1596728900,10,18
1596730841,11,12
1596732737,10,21
1596734654,13,13
1596736611,12,4
1596738490,15,21
1596740454,10,10
1596742358,9,16
1596744252,17,14
1596746207,12,8
1596748121,7,14
1596750015,12,18
1596751936,7,14
1596753882,12,13
1596755774,8,7
1596757693,15,8
1596759638,13,36
1596761528,10,17
1596763453,8,14
1596765404,8,13
1596767320,9,16
1596769268,24,18
1596771164,9,29
1596773123,15,25
1596775001,735,29
1596776916,22,13
1596778814,21,20
1596780769,17,18
1596782655,14,25
1596784572,16,19
1596786520,25,16
1596788415,20,27
1596790332,13,39
1596792281,17,20
1596794198,24,26
1596796101,25,16
1596798175,22,18
1596800200,18,88
1596802129,29,21
1596804046,24,25
1596805934,13,13
1596807890,20,14
1596809786,18,13
1596811699,12,8
1596813642,17,5
1596815540,16,7
1596817453,17,13
1596819407,20,7
1596821297,16,13
1596823359,23,7
1596825161,19,10
1596827077,14,7
1596828973,13,10
1596830923,17,9
1596832823,16,8
1596834732,12,4
1596836699,16,9
1596838607,12,8
1596840501,7,11
1596842413,12,6
1596844379,6,15
1596846301,16,13
1596848173,10,10
1596850092,12,10
1596852164,9,6
1596854197,38,14
1596856088,10,20
1596858007,13,10
1596859960,17,10
1596861849,8,754
1596863771,13,15
1596865721,28,20
1596867610,14,14
1596869535,11,13
1596871497,15,21
1596873372,9,13
1596875289,12,19
1596877276,12,11
1596879128,9,18
1596881012,10,21
1596883001,20,24
1596884895,10,14
1596886811,15,23
1596888769,16,26
1596890650,14,17
1596892575,24,19
1596894526,17,17
1596896409,14,16
1596898342,23,17
1596900299,13,23
1596902181,20,14
1596904091,18,24
1596906151,18,24
1596908199,17,12
1596910120,18,19
1596912009,21,13
1596913960,12,19
1596915855,23,15
1596917773,11,17
1596919722,21,18
1596921608,21,14
1596923541,12,11
1596925481,20,13
1596927370,12,7
1596929315,22,10
1596931280,8,9
1596933137,19,22
1596935112,10,9
1596937003,13,11
1596938901,15,9
1596940819,12,35
1596942767,8,14
1596944657,14,15
1596946579,8,18
1596948527,17,14
1596950422,23,15
1596952336,25,28
1596954298,14,15
1596956177,10,10
1596958097,11,16
1596960179,9,7
1596962198,15,15
1596964094,11,12
1596966011,15,7
1596967961,12,14
1596969856,7,27
1596971795,15,11
1596973721,6,15
1596975609,9,15
1596977532,17,13
1596979486,10,28
1596981369,3,17
1596983291,6,16
1596985289,11,26
1596987127,10,16
1596989049,14,18
1596991001,11,19
1596992890,19,14
1596994809,13,19
1596996762,14,15
1596998652,15,19
1597000574,10,15
1597002523,14,21
1597004412,12,10
1597006330,17,20
1597008283,11,22
1597010173,16,14
1597012092,11,25
1597014135,16,10
1597016198,17,22
1597018099,12,11
1597020013,10,15
1597021964,15,13
1597024126,10,15
1597026020,15,11
1597027945,10,12
1597029887,9,14
1597031794,11,8
1597033694,16,9
1597035699,28,24
1597037533,20,19
1597039541,16,22
1597041408,16,15
1597043306,12,11
1597045214,18,10
1597047160,27,8
1597049055,21,18
1597050978,15,20
1597052926,7,10
1597054853,21,9
1597056735,12,5
1597058681,16,16
1597060580,15,6
1597062491,15,12
1597064560,13,16
1597066631,11,9
1597068521,20,5
1597070420,30,5
1597072366,23,16
1597074278,31,6
1597076181,20,13
1597078096,29,15
1597080042,32,14
1597081936,28,9
1597083856,33,13
1597085796,23,12
1597087690,26,13
1597090572,23,18
1597092495,11,13
1597094436,17,10
1597096341,13,14
1597098257,8,16
1597100198,12,21
1597102092,11,11
1597104058,16,6
1597105958,12,10
1597107864,11,11
1597109773,5,13
1597111717,15,12
1597113617,16,9
1597115534,9,10
1597117481,21,10
1597119376,10,14
1597121296,11,27
1597123237,18,21
1597125134,15,15
1597127076,13,19
1597129004,20,12
1597130890,14,10
1597133773,26,37
1597135689,23,17
1597137641,19,13
1597139532,19,11
1597141458,18,19
1597143421,23,14
1597145292,14,11
1597147306,10,16
1597149170,19,11
1597151069,13,13
1597152972,18,10
1597154919,15,26
1597156813,13,25
1597158759,15,19
1597160654,9,30
1597162573,19,15
1597164525,10,28
1597166442,8,33
1597168356,10,26
1597170309,5,36
1597172176,10,27
1597174093,10,27
1597176152,16,11
1597178198,13,15
1597180128,14,11
1597182017,16,10
1597183969,14,14
1597185853,7,12
1597187778,9,9
1597189738,12,11
1597191619,9,16
1597193543,13,9
1597195486,15,10
1597197376,23,8
1597199297,19,15
1597201403,17,12
1597203400,26,18
1597205290,24,4
1597207215,16,12
1597209159,15,15
1597211055,20,16
1597212968,17,10
1597214915,12,23
1597216810,12,16
1597218728,17,16
1597220679,19,17
1597222570,10,20
1597224493,15,14
1597226571,14,18
1597228600,15,19
1597230497,16,27
1597232598,14,12
1597234642,12,13
1597236487,12,14
1597238450,18,22
1597240330,15,21
1597242252,10,15
1597244196,15,16
1597246115,14,5
1597248049,18,9
1597249938,22,19
1597252096,15,8
1597254011,14,12
1597256177,19,13
1597258106,19,12
1597260058,17,13
1597261962,19,14
1597263853,7,13
1597265808,16,11
1597267692,23,18
1597269795,12,17
1597271768,13,8
1597273716,14,8
1597275613,26,10
1597277533,15,13
1597279482,15,13
1597281367,15,17
1597283287,9,13
1597285235,5,28
1597287144,26,9
1597289075,6,28
1597290997,10,21
1597292889,10,9
1597294860,11,14
1597296762,16,15
1597298655,20,22
1597300573,9,15
1597302522,12,15
1597304412,14,10
1597306330,21,15
1597308279,14,18
1597310170,13,15
1597312091,17,17
1597314060,18,15
1597315953,11,15
1597317876,12,12
1597319827,12,12
1597321693,11,17
1597324650,23,21
1597326496,6,15
1597328439,14,5
1597330335,12,9
1597332256,11,14
1597334204,18,15
1597336100,12,22
1597338192,15,18
1597340172,19,9
1597342119,16,17
1597344010,5,18
1597345817,30,21
1597347644,76,10
1597349535,22,14
1597351456,15,9
1597353468,128,24
1597355295,60,17
1597357270,22,15
1597359250,12,11
1597361091,13,20
1597362976,13,19
1597364896,14,18
1597366968,12,14
1597369000,13,16
1597370896,9,9
1597373089,11,28
1597374978,8,7
1597376919,10,9
1597378811,8,6
1597380729,11,8
1597382680,16,18
1597384572,12,23
1597386490,9,8
1597389382,19,18
1597391320,12,14
1597393209,16,19
1597395137,16,16
1597397080,15,8
1597398969,15,19
1597400891,12,8
1597402927,14,10
1597404731,19,11
1597406684,11,11
1597408572,9,16
1597410522,18,15
1597412413,8,10
1597414330,13,11
1597416281,7,16
1597418169,8,10
1597420120,8,11
1597422010,45,14
1597423927,25,14
1597425885,10,17
1597427770,9,14
1597429691,8,9
1597431740,17,6
1597433797,35,98
1597435707,19,22
1597437612,16,19
1597439559,2,76
1597441451,5,113
1597443617,5,21
1597445553,7,12
1597447489,8,17
1597449379,5,22
1597451296,4,17
1597453356,5,10
1597455206,5,11
1597457148,7,10
1597459003,4,12
1597460897,8,10
1597462872,12,10
1597464737,15,11
1597466656,10,15
1597468634,1,14
1597470490,4,13
1597472450,3,12
1597474363,9,15
1597476261,6,12
1597478186,5,20
1597480132,11,17
1597482115,18,13
1597483982,10,14
1597485883,16,17
1597487778,11,20
1597489721,15,15
1597491620,9,20
1597493538,11,18
1597495488,11,14
1597497374,22,12
1597499332,12,14
1597501253,11,17
1597503135,19,8
1597505086,12,7
1597507005,12,17
1597508890,13,33
1597510928,10,20
