DateTime,AddedIPs,RemovedIPs
1596685456,93,53
1596687375,67,69
1596689326,60,65
1596691223,67,51
1596693149,71,63
1596695092,84,71
1596696988,70,201
1596698891,65,69
1596700965,73,75
1596703004,67,52
1596704910,217,54
1596706836,268,65
1596708765,173,49
1596710707,203,54
1596712717,191,48
1596714530,178,66
1596716449,167,38
1596718346,160,54
1596720257,179,52
1596722212,162,67
1596724122,91,53
1596726221,176,67
1596728198,133,74
1596730126,107,63
1596732030,129,69
1596733957,107,60
1596735883,128,77
1596737773,121,69
1596739694,101,62
1596741640,97,96
1596743533,111,89
1596745455,92,98
1596747455,95,73
1596749289,56,79
1596751297,65,84
1596753162,49,128
1596755056,72,104
1596756973,67,84
1596758934,54,94
1596760814,57,76
1596762733,65,65
1596764685,57,82
1596766576,43,90
1596768735,70,86
1596770653,44,90
1596772604,59,75
1596774492,48,53
1596776502,48,68
1596778333,64,67
1596780255,67,64
1596782205,69,57
1596784100,51,82
1596786011,103,62
1596787963,62,59
1596789849,71,71
1596791768,65,159
1596793716,63,176
1596795612,56,138
1596797530,63,222
1596799483,70,163
1596801370,59,166
1596803337,84,167
1596805291,92,192
1596807190,79,211
1596809056,63,159
1596810975,72,121
1596812924,31,234
1596814818,26,157
1596816730,11,146
1596818682,19,172
1596820571,46,165
1596822503,27,218
1596824450,22,196
1596826328,24,171
1596828252,20,181
1596830198,26,171
1596832087,20,130
1596834088,20,126
1596835962,19,84
1596837874,18,116
1596839767,32,92
1596841973,32,118
1596843861,22,93
1596845792,15,109
1596847722,16,61
1596849610,21,61
1596851531,23,50
1596853480,26,55
1596855414,16,59
1596857287,16,51
1596860170,44,84
1596862126,16,54
1596864009,18,62
1596865931,25,77
1596867884,24,84
1596869770,14,56
1596871696,44,64
1596874570,50,112
1596876518,34,80
1596878405,26,78
1596880355,27,70
1596882277,22,64
1596884180,23,60
1596886112,25,89
1596889218,40,156
1596891130,30,134
1596893082,32,122
1596894967,21,128
1596896894,28,74
1596899800,47,35
1596901727,27,29
1596903611,30,18
1596905532,31,17
1596907479,21,48
1596909373,24,21
1596911297,29,21
1596913360,29,19
1596915396,40,25
1596917299,19,29
1596919232,24,18
1596921181,26,17
1596923052,23,19
1596924978,25,29
1596926920,36,33
1596928807,39,26
1596930745,31,18
