DateTime,Entries,UniqueIPs
1596685456,4519,4519
1596687375,4517,4517
1596689326,4512,4512
1596691223,4528,4528
1596693149,4536,4536
1596695092,4549,4549
1596696988,4418,4418
1596698891,4414,4414
1596700965,4412,4412
1596703004,4427,4427
1596704910,4590,4590
1596706836,4793,4793
1596708765,4917,4917
1596710707,5066,5066
1596712717,5209,5209
1596714530,5321,5321
1596716449,5450,5450
1596718346,5556,5556
1596720257,5683,5683
1596722212,5778,5778
1596724122,5816,5816
1596726221,5925,5925
1596728198,5984,5984
1596730126,6028,6028
1596732030,6088,6088
1596733957,6135,6135
1596735883,6186,6186
1596737773,6238,6238
1596739694,6277,6277
1596741640,6278,6278
1596743533,6300,6300
1596745455,6294,6294
1596747455,6316,6316
1596749289,6293,6293
1596751297,6274,6274
1596753162,6195,6195
1596755056,6163,6163
1596756973,6146,6146
1596758934,6106,6106
1596760814,6087,6087
1596762733,6087,6087
1596764685,6062,6062
1596766576,6015,6015
1596768735,5999,5999
1596770653,5953,5953
1596772604,5937,5937
1596774492,5932,5932
1596776502,5912,5912
1596778333,5909,5909
1596780255,5912,5912
1596782205,5924,5924
1596784100,5893,5893
1596786011,5934,5934
1596787963,5937,5937
1596789849,5937,5937
1596791768,5843,5843
1596793716,5730,5730
1596795612,5648,5648
1596797530,5489,5489
1596799483,5396,5396
1596801370,5289,5289
1596803337,5206,5206
1596805291,5106,5106
1596807190,4974,4974
1596809056,4878,4878
1596810975,4829,4829
1596812924,4626,4626
1596814818,4495,4495
1596816730,4360,4360
1596818682,4207,4207
1596820571,4088,4088
1596822503,3897,3897
1596824450,3723,3723
1596826328,3576,3576
1596828252,3415,3415
1596830198,3270,3270
1596832087,3160,3160
1596834088,3054,3054
1596835962,2989,2989
1596837874,2891,2891
1596839767,2831,2831
1596841973,2745,2745
1596843861,2674,2674
1596845792,2580,2580
1596847722,2535,2535
1596849610,2495,2495
1596851531,2468,2468
1596853480,2439,2439
1596855414,2396,2396
1596857287,2361,2361
1596860170,2321,2321
1596862126,2283,2283
1596864009,2239,2239
1596865931,2187,2187
1596867884,2127,2127
1596869770,2085,2085
1596871696,2065,2065
1596874570,2003,2003
1596876518,1957,1957
1596878405,1905,1905
1596880355,1862,1862
1596882277,1820,1820
1596884180,1783,1783
1596886112,1719,1719
1596889218,1603,1603
1596891130,1499,1499
1596893082,1409,1409
1596894967,1302,1302
1596896894,1256,1256
1596899800,1268,1268
1596901727,1266,1266
1596903611,1278,1278
1596905532,1292,1292
1596907479,1265,1265
1596909373,1268,1268
1596911297,1276,1276
1596913360,1286,1286
1596915396,1301,1301
1596917299,1291,1291
1596919232,1297,1297
1596921181,1306,1306
1596923052,1310,1310
1596924978,1306,1306
1596926920,1309,1309
1596928807,1322,1322
1596930745,1335,1335
1596932680,1342,1342
1596934578,1357,1357
1596936492,1360,1360
1596938572,1356,1356
1596940599,1363,1363
1596942491,1377,1377
1596944415,1386,1386
1596946358,1382,1382
1596948249,1394,1394
1596950173,1404,1404
1596952120,1450,1450
1596954008,1457,1457
1596955927,1469,1469
1596957893,1469,1469
1596959769,1443,1443
1596961939,1447,1447
1596963918,1466,1466
1596965802,1472,1472
1596967696,1470,1470
1596969613,1484,1484
1596971567,1502,1502
1596973452,1526,1526
1596975382,1545,1545
1596977324,1539,1539
1596979212,1543,1543
1596981032,1569,1569
1596982840,1580,1580
1596984729,1582,1582
1596986693,1588,1588
1596988568,1612,1612
1596990487,1616,1616
1596992449,1622,1622
1596994334,1623,1623
1596996250,1643,1643
1596998196,1644,1644
1597000092,1630,1630
1597002007,1632,1632
1597003959,1635,1635
1597005851,1642,1642
1597007772,1642,1642
1597009720,1643,1643
1597011608,1638,1638
1597013531,1659,1659
1597015479,1646,1646
