DateTime,AddedIPs,RemovedIPs
1596675855,1,5
1596677811,1,3
1596679697,0,3
1596681619,2,2
1596683564,0,3
1596685459,1,2
1596687377,1,1
1596689328,2,1
1596691225,2,0
1596693151,1,1
1596695094,1,0
1596696992,0,1
1596698893,2,0
1596700966,2,2
1596703005,1,4
1596704914,1,4
1596706841,3,1
1596708767,0,1
1596710710,4,0
1596712771,2,1
1596714767,2,0
1596716710,3,2
1596718568,2,3
1596720521,0,3
1596723404,3,3
1596725292,0,2
1596727239,2,1
1596729142,1,1
1596731053,0,2
1596733006,1,0
1596734888,0,2
1596736930,1,0
1596738783,0,2
1596740735,2,1
1596742571,2,8
1596744522,0,3
1596746410,1,2
1596748333,6,4
1596750281,0,2
1596752176,0,3
1596754092,5,5
1596756044,0,4
1596757933,1,2
1596759853,1,1
1596761800,1,2
1596763690,1,1
1596765634,0,3
1596767557,0,3
1596769451,2,0
1596771371,1,1
1596773567,0,2
1596775472,1,2
1596777368,2,1
1596779324,1,0
1596781209,1,2
1596783130,8,1
1596785079,2,2
1596786969,0,3
1596788916,0,1
1596791768,5,5
1596793716,0,2
1596795613,3,1
1596797531,3,3
1596799483,1,2
1596801371,2,2
1596803337,3,1
1596805335,1,3
1596807190,0,3
1596809058,1,0
1596810975,1,0
1596812925,0,2
1596816731,2,3
1596818682,1,0
1596820571,4,2
1596822503,1,0
1596824450,2,0
1596826328,1,0
1596828252,2,0
1596830199,3,1
1596832088,1,4
1596834102,1,6
1596835963,1,0
1596837876,1,0
1596839768,2,5
1596841974,2,0
1596843861,1,1
1596845793,1,1
1596847723,2,0
1596849611,0,1
1596851531,3,0
1596853480,2,1
1596855416,2,0
1596857288,4,3
1596861128,1,1
1596863054,1,1
1596864999,1,0
1596866894,1,2
1596868832,0,5
1596870758,2,2
1596872652,0,1
1596874570,2,1
1596876519,2,2
1596878406,0,1
1596880356,2,1
1596882278,3,4
1596884181,1,1
1596886112,0,3
1596888102,0,4
1596889931,2,2
1596891769,1,1
1596893918,1,0
1596895965,2,1
1596897852,1,0
1596899802,3,0
1596901729,2,1
1596903612,1,1
1596905533,3,2
1596907480,2,2
1596909374,1,2
1596911298,1,2
1596913393,1,0
1596915397,1,3
1596917300,1,1
1596919233,0,2
1596921183,1,1
1596923053,3,1
1596924978,1,0
1596926921,1,2
1596928808,5,3
1596930746,3,1
1596932681,3,1
1596934583,2,1
1596936493,5,1
1596938603,3,2
1596940600,1,3
1596942492,3,0
1596944416,2,4
1596946359,3,0
1596948250,2,0
1596950174,2,2
1596952121,4,0
1596955929,3,0
1596957894,3,1
1596959770,4,0
1596961940,0,5
1596963920,2,0
1596965803,3,1
1596967697,1,1
1596969615,3,1
1596971568,5,0
1596973453,6,0
1596975383,4,0
1596977325,4,1
1596979213,5,1
1596981033,3,1
1596982841,0,3
1596984730,6,3
1596986694,5,3
1596988569,6,1
1596990489,13,1
1596993372,1,2
1596995325,3,5
1596997212,2,2
1596999138,3,2
1597001085,2,3
1597002975,1,4
1597004895,1,1
1597006970,1,2
1597008997,2,1
1597010891,1,2
1597012823,2,1
1597014760,4,2
1597016651,3,5
1597018575,2,0
1597020522,3,4
1597022416,7,6
1597024331,2,3
1597026279,2,2
1597028180,7,2
1597030347,0,3
1597032259,4,3
1597034205,15,2
1597036113,4,3
1597038035,4,0
1597039963,2,5
1597041873,17,2
1597043776,14,3
1597045724,4,2
1597047613,2,2
1597049531,1,0
1597051503,6,4
1597053372,2,2
1597055289,0,3
1597057297,2,1
1597059157,3,7
1597061056,4,4
1597063001,3,5
1597064898,2,5
1597066810,3,4
1597068763,4,1
1597070652,5,5
1597072578,19,4
1597074518,3,2
1597076438,4,1
1597078333,3,0
1597080273,2,2
1597082198,14,1
1597084113,4,1
1597086142,2,4
1597087962,1,0
1597089881,5,1
1597091772,3,1
1597093722,10,1
1597095636,3,2
1597097536,1,1
1597099530,4,2
1597101372,1,4
1597103298,6,2
1597105240,1,2
1597107139,1,2
1597109056,4,7
1597110999,3,3
1597112923,4,2
1597114961,3,11
1597116763,2,2
1597118675,3,3
1597120573,1,15
1597122524,4,5
1597124413,7,3
1597126581,1,4
1597128517,1,20
1597130460,3,14
1597132333,2,4
1597134257,2,2
1597136204,1,1
1597138099,0,6
1597140250,2,2
1597142168,1,0
1597144124,4,5
1597146013,3,1
1597147935,5,4
1597149884,3,2
1597151768,0,2
1597153691,3,3
1597155512,4,2
