DateTime,AddedIPs,RemovedIPs
1596656423,100,49
1596658368,124,74
1596660269,89,52
1596662179,77,61
1596664128,106,54
1596666018,90,46
1596667951,144,56
1596669919,80,56
1596671802,106,51
1596673694,71,59
1596675866,101,67
1596677813,88,54
1596679699,94,41
1596681620,79,47
1596683565,74,33
1596685462,66,37
1596687378,45,54
1596689329,40,45
1596691226,44,38
1596693152,51,35
1596695096,49,46
1596696994,45,61
1596698894,48,46
1596700968,59,57
1596703006,39,30
1596704916,195,29
1596706842,243,45
1596708768,156,32
1596710712,176,31
1596712773,152,28
1596714769,167,39
1596716715,161,22
1596718573,140,36
1596720525,173,28
1596723405,149,64
1596725296,112,34
1596727243,133,51
1596729143,105,61
1596731054,99,30
1596733010,88,40
1596734892,110,52
1596737000,115,62
1596738986,99,53
1596740920,81,48
1596742815,84,71
1596744732,81,78
1596746679,79,65
1596748571,44,56
1596750496,40,78
1596752440,37,78
1596754330,41,104
1596756276,57,55
1596758200,39,78
1596760090,41,48
1596763001,58,99
1596764891,31,60
1596766841,36,69
1596768736,37,64
1596770654,27,67
1596772605,32,50
1596774494,35,35
1596776518,35,44
1596778333,42,49
1596780257,50,37
1596782206,43,40
1596784102,31,51
1596786012,52,47
1596787963,34,43
1596789850,45,49
1596791770,42,141
1596793718,46,152
1596795614,39,123
1596797532,35,164
1596799485,44,156
1596801375,42,137
1596803339,67,159
1596805382,51,187
1596807192,50,188
1596809060,36,128
1596810977,3,102
1596812927,3,192
1596814820,2,145
1596816732,0,127
1596818684,1,155
1596820573,1,148
1596822505,2,200
1596824452,1,190
1596826330,0,154
1596828254,2,160
1596830202,2,153
1596832090,1,106
1596834111,0,104
1596835965,0,63
1596837878,1,100
1596839772,0,78
1596841975,1,93
1596843863,1,78
1596845795,1,88
1596847725,2,49
1596849612,0,39
1596851533,2,37
1596853482,1,38
1596855417,3,37
1596857292,2,28
1596859289,1,43
1596861129,1,36
1596863055,1,35
1596865000,0,44
1596866895,2,63
1596868834,1,43
1596870759,1,31
1596872654,1,49
1596874571,2,39
1596876523,1,47
1596878408,1,52
1596880357,0,51
1596882279,1,47
1596884182,1,37
1596886134,1,65
1596888153,1,78
1596890201,4,107
1596892112,0,87
1596893949,2,93
1596895967,4,53
1596897853,3,3
1596899803,6,2
1596901730,3,2
1596903616,3,1
