DateTime,AddedIPs,RemovedIPs
1594598716,1,1
1594600578,0,2
1594602609,0,1
1594610181,1,0
1594612107,1,0
1594615950,0,1
1594623876,1,0
1594627716,1,0
1594633460,1,0
1594635379,0,1
1594639216,0,1
1594643085,0,1
1594645003,2,1
1594649081,0,1
1594664441,1,0
1594668259,0,1
1594670216,0,1
1594680769,1,0
1594682685,1,2
1594684580,1,2
1594686520,0,1
1594692781,0,1
1594696739,0,1
1594698768,0,1
1594708503,1,0
1594714603,0,1
1594716532,0,1
1594726840,1,0
1594732841,0,3
1594744608,1,0
1594752252,1,0
1594761758,0,1
1594763564,0,3
1594765454,2,0
1594767370,0,3
1594769522,2,3
1594773635,1,1
1594783236,2,0
1594785135,1,0
1594793446,0,1
1594795252,1,0
1594811025,0,1
1594813060,0,1
1594816832,1,0
1594830498,0,1
1594833612,1,0
1594835532,1,0
1594837487,1,0
1594839420,0,1
1594849212,1,0
1594854988,0,1
1594856938,0,1
1594859066,0,1
1594868660,0,1
1594870573,0,1
1594882097,1,1
1594884287,1,0
1594891212,1,0
1594895090,1,1
1594898891,1,0
1594900967,1,0
1594902975,1,0
1594906860,1,0
1594915008,1,0
1594916900,1,0
1594918942,1,1
1594920762,0,1
1594922672,0,1
1594936591,0,1
1594942369,1,0
1594947133,1,0
1594964686,0,1
1594968495,0,1
1594974288,0,1
1594976204,3,0
1594978095,1,0
1594981265,0,2
1594985087,0,1
1594988892,1,1
1594993020,0,1
1594994909,1,0
1595000657,0,1
1595004523,1,1
1595006419,1,0
1595012170,1,0
1595023708,0,1
1595025667,0,1
1595027564,1,1
1595029459,1,0
1595031408,1,0
1595033335,0,1
1595035216,1,0
1595058254,1,0
1595062228,0,3
1595064281,0,1
1595076022,0,1
1595085620,1,0
1595087537,2,0
1595089494,0,2
1595097657,0,1
1595103404,0,1
1595105299,1,0
1595112975,0,1
1595117809,1,0
1595119699,0,1
1595121622,0,1
1595139163,1,0
1595144917,0,1
1595158380,1,0
1595171969,1,0
1595173963,0,1
1595175886,1,1
1595179694,1,0
1595185976,0,1
1595189787,1,0
1595191730,1,1
1595199377,2,0
1595203733,0,1
1595215218,1,0
1595217138,1,0
1595227253,0,1
1595236870,1,0
1595240684,1,0
1595246648,1,0
1595260122,0,1
1595262022,1,0
1595263988,2,0
1595265881,0,2
1595269722,1,0
1595275382,0,1
1595277372,1,0
1595283173,1,1
1595286978,0,2
1595302599,0,2
1595304504,1,0
1595306455,1,0
1595310257,0,1
1595323833,0,1
1595333564,1,1
1595335453,0,1
1595343138,1,0
1595345123,1,0
1595348892,0,1
1595351817,1,3
1595353720,0,2
1595355614,0,1
1595363290,1,0
1595365450,1,1
1595367375,0,1
1595373136,1,0
1595391455,0,1
1595393326,1,1
1595399143,1,0
1595407016,1,0
1595408896,2,0
1595410813,2,0
1595412770,3,0
1595414655,2,0
1595418535,1,0
1595420423,0,1
1595430215,0,1
1595432176,1,0
1595438216,0,1
1595440117,0,1
1595447802,2,0
1595451699,0,1
1595455638,1,0
1595463175,1,0
1595480619,0,1
1595484507,0,1
1595486416,1,0
1595490521,0,1
1595492413,3,0
1595494364,0,3
1595496284,0,1
1595498172,0,3
1595500379,1,2
1595502325,1,0
1595511863,1,0
1595517650,0,1
1595521555,0,1
1595533232,1,2
1595542823,2,0
1595548627,1,1
1595550492,2,0
1595560824,1,0
1595574316,0,1
1595580018,0,1
1595585669,3,0
1595587730,1,0
1595589640,0,1
1595591545,2,0
1595597294,0,1
1595599361,0,1
1595605210,0,1
1595607163,1,1
1595618685,1,0
1595620570,0,1
1595630414,1,1
1595632364,1,0
1595636201,0,1
1595638122,0,1
1595640011,1,0
1595647716,0,1
1595658510,1,0
1595668106,2,0
1595670012,1,1
1595671967,0,3
1595677725,0,2
1595689344,0,1
1595693551,0,1
1595699325,0,2
1595705089,1,1
1595718762,1,0
1595720651,1,0
1595728332,0,1
1595730297,1,0
1595732176,0,1
1595744695,0,1
1595748508,1,0
1595752608,0,1
1595754510,0,2
1595764161,1,0
1595791455,0,2
1595801090,1,0
1595803220,1,0
1595805170,2,1
1595807056,1,1
1595816722,1,0
1595818580,1,0
1595830364,1,0
1595843771,1,0
1595849773,1,1
1595855536,1,0
1595868971,1,2
1595880772,1,0
1595882655,1,0
1595888422,1,1
1595890345,0,2
1595892291,0,2
1595898176,0,1
1595902111,0,1
1595904018,0,1
1595905968,0,1
1595907854,1,0
1595925404,1,0
1595927288,1,0
1595929208,0,1
1595931167,2,0
1595936926,1,1
1595938830,1,1
1595940764,1,0
1595952503,2,0
1595958278,0,1
1595960224,2,0
1595964014,0,1
1595965996,1,0
1595967877,0,2
1595977728,2,1
1595993051,1,0
1595995003,2,1
1596004597,1,0
1596006529,1,0
1596010333,0,1
1596012299,0,1
1596014172,0,1
1596016091,1,1
1596021889,0,2
1596035539,1,0
1596043210,0,1
1596047060,0,1
1596052913,0,1
1596058600,1,0
1596062418,0,1
1596064352,1,2
1596077780,1,0
1596079725,0,2
1596081851,0,2
1596093378,0,1
1596101071,0,2
1596122688,0,1
1596137103,1,0
1596140894,1,0
1596145007,0,1
1596148817,1,0
1596150769,0,1
1596158413,1,0
1596160331,0,1
1596220608,1,0
1596222500,0,1
1596228257,0,1
1596230204,1,0
1596235827,0,1
1596239777,1,0
1596244814,1,0
1596254584,1,0
1596272174,1,0
1596307223,0,1
1596313004,0,1
1596316814,1,1
1596325688,0,1
1596329564,1,1
1596341058,1,1
1596352811,0,1
1596358572,0,1
1596374178,1,0
1596383808,1,1
1596403455,0,1
1596411158,2,0
1596414968,0,1
1596424569,1,0
1596428438,0,1
1596434198,1,0
1596447613,1,0
1596449529,1,0
1596457240,1,0
1596461085,0,1
1596468057,4,0
1596469949,0,1
1596471879,1,0
1596473804,1,0
1596477723,1,0
1596481476,1,0
1596492977,1,0
1596494910,1,0
1596496881,0,2
1596502629,2,0
1596511257,1,1
1596519392,0,1
1596530915,0,1
1596534736,0,1
1596536658,0,1
1596542902,1,0
1596552771,0,1
1596554677,1,0
1596558522,0,3
1596562394,1,1
1596564296,0,1
1596566185,1,0
1596568172,0,1
1596575788,1,0
1596579652,0,1
1596585412,1,0
1596599083,1,1
1596601024,0,2
1596608659,0,1
1596610962,0,1
1596618777,0,1
1596628367,1,0
1596630258,1,1
1596644668,0,1
1596648530,0,1
1596652609,1,1
1596662180,2,0
1596669919,0,1
1596673695,2,0
1596683565,5,0
1596685462,0,1
1596704916,1,0
1596714769,0,1
1596720525,2,0
1596731054,2,0
1596738987,0,1
1596748572,0,2
1596756276,1,0
1596760090,0,1
1596762066,1,0
1596769729,0,5
1596791770,0,1
1596803339,0,1
1596805399,1,0
1596807369,0,1
1596816995,0,3
1596826598,0,1
1596840013,4,0
1596841976,2,0
1596843863,0,1
1596847725,1,0
1596849613,0,1
1596860415,1,0
1596870198,1,0
1596891771,1,1
1596907482,1,0
1596919235,1,0
1596926926,0,3
1596928812,0,2
1596938611,1,0
1596950176,1,0
1596955930,1,1
1596961944,1,0
1596967702,2,0
1596969616,2,0
1596977326,0,1
1596984731,1,0
1596986695,1,0
1596993611,1,0
1596995527,1,1
1597005128,0,1
1597008998,1,0
1597016652,1,0
1597024332,0,1
1597038036,0,1
1597041876,0,1
1597047614,2,0
1597049532,2,0
1597051504,1,0
1597053372,1,1
1597055290,0,2
1597064899,3,0
1597066810,2,0
1597070653,0,1
1597072578,1,1
1597078334,0,1
1597080274,1,0
1597082199,0,1
1597091773,1,1
1597101373,1,1
1597120812,0,1
1597134259,0,2
1597136216,0,2
1597138100,0,1
1597146014,1,0
1597147938,0,1
1597149886,1,1
1597151770,0,4
1597161132,0,1
1597163093,1,1
1597166960,0,1
1597171007,0,1
1597172894,2,0
1597174827,1,1
1597178653,0,1
1597180581,1,0
1597184415,0,1
1597194153,1,0
1597203616,1,0
1597207455,0,2
1597220897,1,0
1597232735,1,1
1597236491,0,1
1597238462,0,1
1597246119,1,0
1597250938,0,1
1597256660,1,0
1597258622,1,1
1597260495,1,0
1597272494,1,0
1597280203,0,1
1597290015,0,1
1597307292,1,1
1597310174,1,1
1597317883,1,0
1597330338,1,0
1597342123,0,1
1597345892,0,2
1597349799,0,1
1597359772,1,0
1597365408,0,1
1597384602,0,1
1597388602,1,0
1597390598,1,0
1597394430,0,1
1597402130,0,1
1597404014,1,0
1597414847,2,0
1597416784,0,1
1597418697,0,1
1597420600,1,0
1597434522,1,0
1597442202,1,0
1597444089,1,0
1597446117,0,1
1597472918,1,0
1597476731,0,1
1597490170,0,1
1597492093,0,1
1597499776,0,1
1597507470,0,1
1597528357,0,1
1597532174,0,1
1597536972,1,0
1597538891,1,0
1597544665,0,1
1597551635,1,0
1597559290,0,1
1597566998,0,1
1597573017,1,1
1597574902,1,0
1597576819,1,0
1597598172,1,0
1597602261,1,0
1597610180,1,0
1597617860,1,0
1597621726,1,1
1597629387,0,1
1597633528,1,0
1597635399,1,0
1597639225,0,1
1597644971,1,0
1597658647,0,1
