DateTime,AddedIPs,RemovedIPs
1596683566,3,1
1596685463,2,1
1596687379,2,2
1596689330,2,1
1596691227,2,1
1596693154,2,0
1596695096,2,0
1596696994,1,0
1596698895,2,2
1596700970,1,1
1596703007,6,2
1596704916,4,1
1596706843,3,1
1596708769,3,3
1596710713,8,0
1596712773,4,1
1596714769,9,4
1596716716,5,2
1596718574,5,3
1596720526,3,5
1596722484,6,0
1596724340,2,1
1596726228,4,3
1596728199,1,0
1596730128,2,0
1596732031,2,2
1596733958,1,1
1596735884,3,0
1596737775,5,0
1596739695,3,1
1596741642,3,0
1596743534,1,3
1596745456,4,0
1596747457,5,0
1596749290,2,0
1596751326,3,2
1596753163,2,1
1596755057,6,1
1596756974,0,1
1596758935,3,1
1596760814,2,0
1596762733,1,1
1596764686,1,0
1596766577,2,4
1596768737,5,1
1596770655,4,4
1596772605,6,3
1596774494,1,3
1596776528,0,3
1596778334,3,0
1596780270,2,0
1596782207,2,2
1596784103,2,3
1596786012,9,1
1596787964,9,2
1596789851,7,0
1596791771,3,2
1596793719,2,1
1596795615,4,2
1596797533,7,6
1596799485,3,1
1596801376,2,7
1596803339,3,4
1596805411,13,4
1596807369,4,2
1596809322,6,7
1596811238,3,3
1596813133,5,0
1596815083,5,2
1596816996,1,0
1596818894,2,1
1596820837,4,2
1596822727,6,2
1596824652,0,3
1596826598,3,3
1596828490,3,1
1596830557,6,2
1596832361,2,4
1596834256,5,4
1596836199,2,4
1596838121,4,4
1596840014,4,3
1596841976,3,3
1596843864,2,2
1596845797,2,2
1596847726,2,3
1596849613,6,1
1596851533,5,1
1596853483,6,4
1596855418,5,4
1596857293,3,4
1596860415,2,7
1596862337,1,1
1596864287,1,6
1596866172,5,3
1596868092,1,4
1596870200,3,2
1596872203,7,9
1596874088,6,8
1596876014,5,6
1596877984,3,6
1596879855,5,4
1596882048,4,3
1596883936,3,6
1596885885,4,2
1596887777,4,5
1596889694,5,2
1596891771,2,13
1596893952,2,5
1596895967,3,6
1596897854,3,3
1596899803,5,3
1596901730,3,6
1596903617,0,1
1596905535,5,1
1596907482,2,7
1596909376,3,4
1596911323,6,0
1596913412,2,6
1596915399,6,3
1596917302,3,5
1596919235,5,3
1596921188,2,4
1596923055,5,0
1596924980,2,5
1596926927,6,2
1596928813,5,3
1596930747,6,2
1596932683,3,3
1596934585,6,3
1596936498,7,5
1596938612,4,6
1596940602,3,8
1596942494,7,1
1596944418,7,5
1596946361,0,2
1596948254,3,1
1596950176,5,0
1596952123,7,4
1596954032,3,3
1596955930,3,2
1596957896,11,2
1596959771,6,7
1596961945,6,5
1596963923,6,5
1596965804,3,3
1596967702,8,2
1596969617,5,2
1596971570,8,6
1596973456,10,2
1596975385,8,2
1596977327,5,4
1596979218,12,2
1596981035,16,2
1596982843,6,5
1596984732,13,4
1596986696,13,2
1596988571,11,2
1596990492,1,3
1596993612,18,6
1596995527,7,1
1596997481,3,6
1596999385,7,3
1597001289,3,3
1597004415,13,6
1597006331,4,1
1597008284,4,2
1597010174,4,7
1597012093,7,4
1597014155,16,5
1597016199,10,11
1597018100,7,4
1597020016,10,4
1597021970,3,7
1597024127,12,8
1597026024,10,2
1597027947,5,9
1597029897,3,5
1597031804,9,5
1597033695,3,3
1597035704,15,2
1597037534,8,10
1597039554,4,4
1597041410,4,5
1597043311,14,5
1597045216,9,11
1597047162,12,4
1597049057,6,5
1597050980,6,7
1597052927,4,4
1597054855,12,9
1597056737,11,3
1597058684,4,11
1597060590,10,8
1597062493,9,5
1597064563,11,8
1597066633,11,16
1597068523,6,11
1597070423,9,5
1597072367,15,15
1597074280,10,9
1597076186,11,6
1597078100,17,7
1597080044,7,10
1597081938,16,7
1597083859,9,2
1597085801,10,7
1597087692,16,2
1597090573,18,11
1597092497,13,4
1597094440,18,5
1597096344,13,5
1597098260,8,6
1597100200,22,18
1597102094,14,6
1597104064,8,10
1597105959,8,5
1597107868,8,6
1597109784,14,7
1597111719,9,9
