DateTime,AddedIPs,RemovedIPs
1596683566,3,10
1596685463,4,5
1596687379,4,4
1596689330,3,1
1596691227,3,2
1596693154,5,13
1596695097,4,6
1596696995,9,3
1596698895,3,10
1596700970,3,1
1596703007,7,4
1596704917,6,6
1596706843,3,3
1596708769,4,3
1596710713,2,6
1596712774,4,6
1596714770,6,3
1596716717,5,3
1596718575,5,3
1596720527,1,4
1596723406,5,11
1596725298,4,0
1596727244,2,1
1596729144,1,4
1596731055,5,1
1596733011,2,8
1596734894,4,3
1596737027,4,4
1596738987,1,4
1596740920,6,3
1596742816,5,7
1596744733,3,3
1596746680,3,4
1596748572,4,2
1596750497,4,7
1596752441,4,3
1596754332,5,4
1596756276,5,3
1596758225,1,4
1596760091,5,3
1596763002,8,6
1596764892,5,2
1596766842,1,3
1596768738,6,1
1596770655,2,4
1596772606,4,5
1596774494,2,1
1596776538,4,5
1596778599,5,4
1596780493,3,1
1596782427,6,5
1596784360,7,9
1596786253,1,2
1596788181,4,5
1596790118,15,9
1596792007,9,2
1596793931,2,4
1596795880,4,2
1596797777,7,1
1596799689,5,7
1596801700,3,6
1596803777,3,4
1596805733,8,3
1596807608,4,2
1596809531,4,2
1596811494,9,6
1596813373,4,2
1596815291,9,1
1596817241,4,5
1596819132,2,1
1596821051,7,5
1596822999,4,3
1596824890,1,1
1596826872,4,6
1596828759,4,7
1596830656,2,1
1596832591,1,5
1596834523,0,3
1596836411,3,4
1596838329,3,5
1596840278,5,3
1596842170,1,6
1596844123,3,0
1596846010,2,5
1596847928,4,5
1596849878,2,4
1596851771,1,4
1596853945,8,1
1596855856,3,4
1596857807,2,3
1596859692,5,5
1596861620,5,3
1596863564,1,4
1596865459,4,5
1596867381,2,5
1596869351,3,2
1596871214,6,8
1596873132,3,2
1596875088,6,4
1596876975,11,17
1596878937,8,5
1596881015,4,2
1596883019,5,6
1596884897,6,6
1596886812,5,3
1596888772,7,5
1596890652,5,4
1596892576,6,9
1596894527,5,7
1596896412,4,4
1596898344,10,7
1596900300,6,3
1596902185,4,10
1596904093,6,3
1596906158,4,4
1596908201,9,6
1596910123,4,2
1596912011,4,2
1596913961,8,3
1596915856,6,3
1596917776,1,1
1596919755,7,2
1596921610,5,1
1596923543,4,4
1596925482,1,3
1596927371,7,4
1596929317,2,2
1596931321,2,3
1596933138,5,4
1596935115,1,1
1596937006,6,4
1596938919,1,2
1596940821,2,6
1596942769,3,0
1596944658,11,6
1596946580,5,3
1596948531,4,7
1596950424,4,2
1596952337,4,3
1596954299,4,3
1596956178,9,3
1596958098,5,7
1596960181,6,2
1596962199,6,8
1596964099,5,9
1596966013,7,8
1596967962,1,2
1596969857,13,5
1596971809,7,8
1596973722,8,7
1596975610,4,4
1596977533,5,4
1596979502,3,4
1596981371,1,5
1596983292,2,7
1596985314,8,9
1596987128,8,4
1596989052,2,4
1596991006,7,5
1596992891,3,7
1596994811,3,9
1596996764,0,3
1596998657,8,3
1597000575,5,7
1597002525,8,7
1597004415,4,2
1597006332,4,6
1597008284,6,4
1597010175,4,4
1597012094,2,3
1597014157,7,6
1597016199,9,1
1597018101,6,3
1597020016,3,4
1597021970,11,4
1597024127,7,3
1597026024,3,0
1597027947,6,5
1597029897,3,5
1597031804,5,8
1597033696,4,5
1597035712,8,5
1597037535,4,4
1597039555,8,1
1597041410,6,4
1597043311,4,12
1597045217,9,3
1597047162,2,8
1597049058,5,8
1597050980,4,7
1597052928,6,3
1597054855,6,5
1597056737,6,10
1597058684,5,7
1597060590,4,9
1597062493,5,3
1597064563,11,5
1597066633,6,3
1597068523,4,2
1597070423,10,4
1597072368,8,5
1597074280,7,7
1597076186,6,5
1597078101,2,5
1597080044,9,3
1597081938,7,3
1597083859,4,2
1597085801,4,9
1597087692,2,4
1597090574,7,8
1597092497,4,4
1597094440,7,6
1597096345,8,5
1597098260,4,2
1597100200,8,7
1597102094,2,6
1597104067,7,9
1597105960,6,3
1597107868,5,6
1597109784,7,8
1597111720,7,4
1597113620,6,3
1597115539,4,5
1597117484,5,6
1597119378,3,2
1597121299,9,8
1597123239,7,4
1597125138,6,4
1597127079,2,12
1597129008,4,3
1597130893,11,10
1597132876,5,0
1597134761,4,6
1597136675,5,6
1597138590,9,6
1597140553,7,8
1597142411,5,4
1597144336,8,4
1597146285,3,5
1597148172,8,4
1597150090,9,15
1597152040,4,2
1597153933,1,5
1597155885,1,8
1597157772,6,6
1597159691,2,8
1597161749,4,3
1597163796,6,6
1597165696,3,4
1597167612,3,9
1597169560,4,6
1597171453,4,4
1597173370,2,2
1597175351,3,3
1597177210,1,6
1597179130,5,4
1597181080,6,5
1597182974,3,9
1597184887,5,3
1597186933,4,9
1597188735,3,3
1597190653,3,6
1597192598,3,5
1597194498,4,4
1597196412,6,7
1597198360,3,7
1597200285,5,7
1597202172,8,3
1597204120,3,6
1597206036,8,5
1597207933,7,11
1597209881,7,5
1597211771,3,4
1597213711,8,4
1597215759,11,9
1597217803,3,9
1597219697,9,3
1597221619,6,7
1597223600,12,5
1597225501,8,9
1597227371,8,7
1597229325,3,6
1597231217,10,7
1597233287,9,4
1597235179,4,11
1597237012,6,6
1597238892,4,4
1597241774,12,2
1597243693,7,2
1597245642,5,5
1597247552,7,2
1597249504,6,4
1597251374,8,7
1597253294,5,3
1597255355,7,2
1597257167,8,3
1597259075,1,3
1597260975,4,3
1597262928,5,1
1597264816,3,3
1597266734,4,5
1597268683,9,5
1597270576,3,4
1597272495,7,10
1597274439,2,2
1597276339,3,2
1597278263,6,2
1597280203,4,5
1597282119,4,8
1597284200,7,1
1597286174,2,3
1597288121,6,11
1597290016,6,4
1597291929,3,4
1597293879,6,11
1597295777,2,6
1597297692,8,3
1597299647,3,9
1597301535,6,7
1597303456,9,8
1597305416,3,6
1597307293,5,6
1597310174,13,14
1597312095,8,7
1597314068,9,10
1597315957,8,2
1597317883,4,11
1597319831,1,7
1597321696,7,5
1597324654,11,9
1597326510,2,8
1597328443,9,7
1597330338,6,5
1597332261,7,5
1597334207,5,7
1597336103,4,7
1597338197,11,9
1597340176,12,4
1597342123,5,5
1597344015,10,8
1597345900,5,3
1597347855,5,6
1597349799,8,2
1597351690,11,4
1597353698,5,4
1597355562,6,9
1597357454,4,4
1597359772,5,7
1597361579,4,3
1597363461,3,3
1597365408,9,5
1597367377,6,3
1597369233,5,6
1597371162,5,6
1597373093,13,2
1597374983,7,4
1597376924,9,5
1597378816,4,5
1597380735,3,5
1597382684,4,4
1597384602,4,6
1597386495,9,4
1597388603,8,11
1597390598,9,7
1597392493,5,3
1597394431,9,6
1597396362,6,11
1597398251,19,7
1597400168,27,6
1597402130,6,10
1597404014,10,4
1597405966,4,1
1597407879,6,4
1597409801,3,7
1597411690,6,6
1597414848,8,9
1597416785,7,6
1597418698,9,6
1597420601,3,7
1597422508,8,5
1597424559,9,8
1597426609,13,12
1597428766,7,8
1597430658,3,10
1597432586,3,4
1597434523,7,5
1597436410,9,8
1597438331,68,10
1597440303,4,5
1597442204,3,6
1597444089,7,5
1597446120,6,3
1597447935,4,4
1597449855,7,3
1597451813,6,9
1597453698,4,5
1597455643,6,6
1597457536,6,5
1597459456,4,13
1597461397,3,9
1597463291,6,9
1597465215,2,4
1597467168,7,5
1597469053,5,4
1597470971,6,3
1597472919,2,7
1597474925,7,9
1597476731,4,9
1597478686,8,5
1597480576,6,8
1597482531,7,5
1597484417,7,8
1597486334,7,36
1597488284,7,9
1597490171,3,9
1597492095,4,7
1597494047,6,7
1597495932,6,2
1597497880,4,6
1597499778,6,4
1597501695,4,8
1597503712,6,4
1597505532,5,9
1597507471,1,3
1597509401,5,12
1597511298,1,5
1597513211,5,14
1597515160,4,6
1597517322,5,3
1597519237,8,3
1597521223,7,8
1597523321,6,7
1597526195,11,67
1597528358,2,3
1597530291,4,7
1597532174,6,5
1597534093,5,5
1597536972,5,10
1597538892,6,4
1597540860,8,5
1597542737,2,6
1597544665,0,6
1597546599,6,5
1597548504,5,5
1597551635,2,5
1597553535,3,8
1597555501,6,6
1597557371,6,6
1597559291,4,2
1597561304,8,8
1597563129,8,4
1597565078,3,8
1597566998,3,6
1597568901,2,6
1597570818,4,7
1597573017,7,8
1597574903,6,6
1597576820,5,5
1597578819,4,4
1597580684,6,5
1597582597,3,7
1597584524,7,4
1597586618,4,6
1597588570,2,6
1597590536,3,5
1597592419,4,4
1597594250,3,2
1597596290,4,4
1597598173,4,3
1597600343,2,4
1597602262,5,3
1597604236,4,6
1597606113,9,11
1597608239,1,6
1597610180,7,9
1597612165,4,6
1597614017,3,2
1597615966,4,3
1597617861,4,4
1597619814,7,4
1597621727,6,5
1597623619,3,4
1597625540,4,5
1597627505,2,6
1597629388,4,4
1597631299,4,2
1597633536,2,5
1597635400,5,5
1597637292,5,1
1597639226,6,4
1597641165,5,2
1597643055,4,7
1597644972,5,4
1597646918,6,5
1597648855,6,7
1597650731,8,2
1597652710,9,2
1597654576,12,5
1597656496,4,4
1597658684,9,5
