DateTime,AddedIPs,RemovedIPs
1596613074,1,2
1596616815,2,1
1596618777,1,1
1596620669,0,1
1596622654,2,0
1596624524,2,1
1596626486,1,1
1596628368,2,0
1596630259,2,1
1596637009,2,1
1596638913,1,1
1596640818,2,0
1596644669,0,2
1596646590,1,1
1596648539,1,1
1596650770,0,1
1596654567,1,9
1596656425,1,25
1596658369,2,16
1596660270,1,6
1596662181,1,4
1596664130,1,1
1596666019,0,3
1596667952,0,2
1596669925,1,2
1596671809,1,2
1596673696,2,2
1596675895,1,2
1596677814,1,1
1596679700,1,0
1596681621,0,2
1596683566,1,1
1596685463,0,4
1596687379,1,5
1596691227,4,2
1596693154,2,2
1596695097,1,2
1596696995,2,2
1596698895,3,0
1596700971,3,1
1596703008,1,1
1596704917,1,2
1596706844,1,0
1596708769,2,2
1596710714,2,2
1596712774,3,1
1596714770,2,2
1596716717,1,2
1596720527,5,0
1596723406,3,2
1596725298,1,1
1596727245,0,2
1596731055,2,0
1596733012,1,1
1596734894,0,1
1596737035,2,0
1596740921,7,1
1596742817,0,1
1596744734,2,2
1596746680,0,1
1596748573,3,1
1596750497,1,1
1596752442,1,0
1596754332,1,0
1596756277,1,1
1596758226,4,1
1596760092,8,2
1596763002,5,1
1596764893,13,2
1596766842,3,0
1596768738,1,0
1596770655,1,1
1596772606,1,0
1596774494,2,1
1596776543,2,2
1596778599,1,2
1596780493,0,2
1596782427,1,3
1596784360,0,2
1596786254,0,2
1596788181,1,3
1596792008,0,1
1596793931,2,2
1596795880,8,2
1596797777,3,2
1596799689,2,2
1596801711,7,2
1596803777,1,1
1596805733,0,1
1596807608,2,6
1596809532,1,1
1596811494,0,1
1596813373,1,0
1596815292,1,0
1596817241,1,2
1596819133,2,1
1596822999,1,2
1596824891,3,0
1596826885,0,7
1596828760,2,0
1596830657,2,1
1596832591,1,1
1596834523,0,1
1596836411,2,3
1596840279,1,2
1596842171,2,1
1596844124,2,4
1596846011,20,4
1596847928,4,9
1596849879,3,1
1596851771,3,12
1596853945,3,3
1596855856,2,2
1596857808,2,0
1596859693,4,1
1596861620,0,2
1596863565,3,2
1596865459,1,1
1596867381,0,1
1596869351,1,0
1596871214,1,0
1596873133,2,1
1596875088,1,0
1596876976,1,0
1596878938,1,0
1596881016,0,2
1596883020,1,8
1596884897,3,5
1596886813,1,7
1596890652,1,1
1596892576,0,2
1596894527,2,0
1596896412,0,1
1596898345,2,1
1596900300,1,0
1596902186,1,1
1596904093,2,1
1596906159,1,2
1596908201,3,1
1596910123,2,2
1596912011,2,1
1596913962,3,1
1596915856,0,1
1596917776,0,3
1596921610,1,1
1596923544,4,1
1596925482,0,1
1596927371,1,0
1596929317,1,3
1596931327,6,18
1596933139,0,5
1596935116,1,5
1596937006,1,0
1596938919,2,4
1596940822,5,2
1596942770,2,2
1596944659,0,2
1596946580,2,4
1596948532,1,1
1596950424,1,3
1596952338,1,0
1596954299,2,1
1596956179,3,0
1596958098,2,1
1596960182,2,2
1596962199,1,1
1596964099,0,1
1596966014,5,1
1596967962,1,0
1596969857,5,3
1596971809,1,1
1596973722,2,1
1596977533,0,1
1596979503,0,1
1596981372,0,1
1596983292,2,1
1596985316,0,2
1596987128,5,0
1596989054,0,2
1596991006,2,1
1596992892,0,1
1596994811,3,3
1596996764,1,2
1596998657,2,3
1597000575,1,2
1597002525,3,0
1597004415,4,0
1597006332,1,0
1597008285,0,2
1597010175,7,3
1597012094,2,0
