DateTime,Entries,UniqueIPs
1596691238,1870,1870
1596693156,1870,1870
1596695099,1868,1868
1596696997,1864,1864
1596698897,1882,1882
1596700973,1876,1876
1596703009,1855,1855
1596704919,1854,1854
1596706845,1851,1851
1596708771,1849,1849
1596710715,1851,1851
1596712776,1844,1844
1596714771,1856,1856
1596716729,1849,1849
1596718589,1815,1815
1596720528,1799,1799
1596722525,1790,1790
1596724342,1785,1785
1596726232,1768,1768
1596728202,1764,1764
1596730129,1748,1748
1596732032,1736,1736
1596733959,1737,1737
1596735886,1750,1750
1596737777,1755,1755
1596739696,1739,1739
1596741643,1738,1738
1596743536,1717,1717
1596745457,1695,1695
1596747458,1698,1698
1596749291,1683,1683
1596751365,1659,1659
1596753373,1638,1638
1596755320,1625,1625
1596757229,1634,1634
1596759134,1594,1594
1596761083,1557,1557
1596763003,1531,1531
1596764893,1525,1525
1596766843,1526,1526
1596768739,1538,1538
1596770656,1523,1523
1596772607,1510,1510
1596774496,1497,1497
1596776550,1483,1483
1596778600,1482,1482
1596780495,1462,1462
1596782429,1443,1443
1596784362,1417,1417
1596786255,1388,1388
1596788183,1394,1394
1596790120,1386,1386
1596792009,1390,1390
1596793932,1371,1371
1596795882,1369,1369
1596797779,1348,1348
1596799690,1350,1350
1596801779,1326,1326
1596803779,1319,1319
1596805735,1302,1302
1596807609,1291,1291
1596809533,1302,1302
1596811496,1312,1312
1596813374,1325,1325
1596815293,1320,1320
1596817248,1317,1317
1596819134,1327,1327
1596821053,1313,1313
1596823001,1297,1297
1596824892,1299,1299
1596828046,1316,1316
1596829939,1323,1323
1596831860,1313,1313
1596833806,1302,1302
1596835695,1309,1309
1596837735,1311,1311
1596839567,1326,1326
1596841516,1333,1333
1596843402,1329,1329
1596845316,1345,1345
1596847214,1362,1362
1596849172,1371,1371
1596851054,1361,1361
1596853009,1371,1371
1596854926,1371,1371
1596856836,1373,1373
1596858734,1381,1381
1596860688,1386,1386
1596862571,1394,1394
1596864494,1397,1397
1596866567,1401,1401
1596868599,1409,1409
1596870501,1419,1419
1596872418,1426,1426
1596874367,1431,1431
1596876252,1437,1437
1596878175,1430,1430
1596880129,1443,1443
1596882057,1447,1447
1596883937,1456,1456
1596885886,1461,1461
1596887778,1483,1483
1596889695,1501,1501
1596891772,1497,1497
1596893953,1520,1520
1596895968,1528,1528
1596897855,1532,1532
1596899804,1533,1533
1596901731,1549,1549
1596903618,1576,1576
1596905536,1565,1565
1596907483,1560,1560
1596909376,1539,1539
1596911324,1547,1547
1596913414,1548,1548
1596915400,1565,1565
1596917303,1573,1573
1596919236,1583,1583
1596921189,1607,1607
1596923056,1603,1603
1596924981,1621,1621
1596926928,1625,1625
1596928815,1618,1618
1596930748,1596,1596
1596932683,1599,1599
1596934586,1588,1588
1596936499,1606,1606
1596938613,1629,1629
1596940603,1618,1618
1596942495,1607,1607
1596944419,1604,1604
1596946362,1609,1609
1596948255,1620,1620
1596950177,1637,1637
1596952123,1640,1640
1596954033,1655,1655
1596955931,1652,1652
1596957896,1661,1661
1596959772,1678,1678
1596961946,1675,1675
1596963925,1685,1685
1596965805,1695,1695
1596967703,1699,1699
1596969618,1688,1688
1596971571,1690,1690
1596973456,1684,1684
1596975385,1668,1668
1596977328,1655,1655
1596979219,1671,1671
1596981036,1683,1683
1596982844,1677,1677
1596984733,1668,1668
1596986697,1665,1665
1596988572,1668,1668
1596990493,1664,1664
1596993612,1683,1683
1596995528,1701,1701
1596997482,1701,1701
1596999385,1709,1709
1597001290,1712,1712
1597003312,1717,1717
1597005129,1748,1748
1597006973,1740,1740
1597008999,1745,1745
1597010893,1744,1744
1597012826,1745,1745
1597014763,1766,1766
1597016664,1814,1814
1597018577,1821,1821
1597020524,1835,1835
1597022418,1852,1852
1597024333,1836,1836
1597026280,1831,1831
1597028183,1830,1830
1597030349,1820,1820
1597032264,1813,1813
1597034208,1797,1797
1597036116,1762,1762
1597038037,1748,1748
1597039965,1736,1736
1597041878,1726,1726
1597043778,1708,1708
1597045726,1688,1688
1597047615,1686,1686
1597049533,1674,1674
1597051505,1663,1663
1597053374,1633,1633
1597055291,1640,1640
1597057321,1623,1623
1597059159,1624,1624
1597061060,1631,1631
