DateTime,AddedIPs,RemovedIPs
1596691237,71,85
1596693155,75,84
1596695098,63,484
1596696996,79,740
1596698896,68,79
1596700972,81,93
1596703008,93,100
1596704918,83,85
1596706844,83,70
1596708770,98,90
1596710714,79,96
1596712775,85,103
1596714771,91,87
1596716729,80,98
1596718588,70,84
1596720528,66,79
1596722507,55,104
1596724341,51,84
1596726230,51,103
1596728200,64,76
1596730129,57,110
1596732032,84,109
1596733959,74,101
1596735885,71,103
1596737777,62,94
1596739696,73,104
1596741643,125,107
1596743535,111,123
1596745457,69,116
1596747458,80,134
1596749291,60,91
1596751351,77,104
1596753164,101,86
1596755058,91,92
1596756975,57,108
1596758947,72,124
1596760815,63,109
1596762734,68,118
1596764687,76,117
1596766578,173,110
1596768739,92,129
1596770656,79,82
1596772607,71,80
1596774495,333,91
1596776548,702,97
1596778600,71,103
1596780494,41,94
1596782428,64,111
1596784361,66,75
1596786254,69,96
1596788182,75,72
1596790120,57,89
1596792008,78,80
1596793932,56,90
1596795881,65,97
1596797778,67,92
1596799690,69,98
1596801752,59,126
1596803778,55,110
1596805734,85,73
1596807609,65,84
1596809533,72,95
1596811495,91,74
1596813374,61,97
1596815293,80,83
1596817242,76,86
1596819134,55,97
1596821052,70,75
1596823000,77,91
1596824891,68,70
1596826903,109,71
1596828761,76,101
1596830660,77,96
1596832592,99,93
1596834524,83,65
1596836412,86,89
1596838329,94,96
1596840280,79,86
1596842172,95,86
1596844134,109,93
1596846011,95,75
1596847929,74,67
1596849880,94,67
1596851772,83,114
1596853946,73,126
1596855857,92,116
1596857809,125,75
1596859693,85,65
1596861621,103,802
1596863585,172,375
1596865460,105,67
1596867382,107,76
1596869352,93,71
1596871215,93,63
1596873133,98,84
1596875089,87,71
1596876976,97,79
1596878938,95,102
1596881016,113,67
1596883021,152,90
1596884898,125,64
1596886813,138,72
1596888773,114,58
1596890653,114,55
1596892577,113,74
1596894528,97,67
1596896414,93,80
1596898346,87,77
1596900301,91,62
1596902197,83,52
1596904094,91,62
1596906160,70,69
1596908202,363,90
1596910124,100,53
1596912012,85,62
1596913962,87,66
1596915857,77,62
1596917777,86,62
1596919756,92,79
1596921611,82,48
1596923544,87,70
1596925504,77,70
1596927372,75,82
1596929318,78,90
1596931345,77,87
1596933395,87,59
1596935568,99,70
1596937455,70,81
1596939381,75,80
1596941323,69,78
1596943228,43,53
1596945130,85,81
1596947083,79,74
1596948971,75,88
1596950917,72,75
1596952953,63,96
1596955017,84,66
1596956894,69,81
1596958813,62,64
1596960764,59,63
1596962649,72,70
1596964585,46,70
1596966521,76,80
1596968433,77,63
1596970326,58,70
1596972315,79,94
1596974197,73,84
1596976095,67,84
1596978115,84,104
1596979937,61,61
1596981824,64,64
1596983802,60,79
1596985696,69,82
1596987637,80,90
1596989561,89,111
1596991461,115,111
1596993374,83,349
1596995327,83,141
1596997213,1176,100
1596999140,1402,77
1597001087,1172,67
1597002976,107,62
1597004896,94,71
1597006972,74,70
1597008999,91,81
1597010892,51,70
1597012825,105,68
1597014762,66,64
1597016664,71,54
1597018576,61,69
1597020524,69,57
1597022417,57,51
1597024333,65,50
1597026280,61,64
1597028182,229,37
1597030348,865,45
1597032263,54,44
1597034207,60,46
1597036115,48,50
1597038037,42,48
1597039965,30,44
1597041877,45,46
1597043778,38,54
1597045726,38,47
1597047615,31,38
1597049533,43,51
1597051505,681,45
1597053373,1006,53
1597055291,1249,50
1597057320,1523,46
1597059159,1564,54
1597061058,1625,39
1597063003,1296,40
1597064901,27,37
1597066812,34,31
1597068765,25,33
1597070654,50,34
1597072579,327,40
1597074520,296,43
1597076440,44,46
1597078335,34,64
1597080275,38,48
1597082200,35,40
1597084135,48,43
1597086144,32,62
1597087966,40,51
1597089884,38,40
1597091775,40,58
1597093724,50,47
1597095638,35,53
1597097537,46,51
1597099532,50,57
1597101374,40,66
1597103300,59,64
1597105252,808,50
1597107142,895,38
1597109058,363,41
1597111001,48,41
1597112925,43,55
1597114978,46,234
1597116970,65,545
1597118929,48,61
1597120815,59,47
1597122731,46,50
1597124692,39,36
1597126584,38,41
1597128520,34,30
1597130465,38,45
1597132336,19,331
1597134260,20,1051
1597136217,34,1320
1597138101,25,898
1597140281,25,876
1597142172,84,1207
1597144127,72,1351
1597146015,70,1546
1597147939,59,1489
1597149887,45,871
1597151771,65,47
1597153693,74,56
1597155514,65,49
1597157369,62,58
1597159222,51,687
1597161133,36,145
1597163094,53,48
1597165005,62,41
1597166961,118,38
1597169003,59,46
1597171008,68,65
1597172895,77,46
1597174828,61,43
1597176788,228,56
1597178654,300,50
1597180582,118,45
1597182540,60,59
1597184416,68,48
1597186331,115,49
1597188286,72,45
1597190186,60,46
1597192091,72,55
1597194155,56,49
1597195957,48,36
1597197801,50,59
1597199806,53,65
1597201703,48,52
1597203617,36,81
1597205571,61,52
1597207456,87,54
1597209377,56,41
1597211332,52,46
1597213257,41,47
1597215146,60,42
1597217084,41,45
1597218983,66,30
1597220898,52,25
1597222951,49,39
1597225003,52,19
1597226901,34,26
1597228820,46,39
1597230782,38,52
1597232755,35,40
1597234708,38,50
1597236727,46,57
1597238654,36,42
1597240604,45,47
1597242488,43,41
1597244454,47,52
1597246358,33,36
1597248528,48,41
1597250456,88,30
1597252362,46,39
1597254365,42,118
1597256190,62,35
1597258110,48,53
1597260104,75,44
1597261976,57,47
1597263858,49,174
1597265815,59,219
1597267696,67,49
1597269856,55,56
1597271772,69,110
1597273720,42,55
1597275617,54,58
1597277538,59,65
1597279486,78,49
1597281371,61,45
1597283291,64,43
1597285239,32,41
1597287149,43,43
1597289097,60,34
1597291001,57,53
1597292895,256,60
1597294975,829,56
1597296972,47,40
1597298922,37,33
1597300883,41,61
1597302810,58,37
1597304677,47,50
1597306571,43,31
1597308497,56,46
1597310439,42,47
1597312334,44,37
1597314255,36,46
1597316200,45,34
1597318088,34,33
1597320072,44,41
1597321958,35,46
1597323858,43,32
1597325770,41,37
1597327722,45,39
1597329617,42,34
1597331791,57,39
1597333695,189,37
1597335683,75,79
1597337545,81,81
1597339454,61,37
1597341412,87,35
1597343319,91,68
1597345262,61,38
1597347207,41,39
1597349084,43,1104
1597350977,26,1457
1597352958,44,1232
1597354838,59,73
1597356743,63,59
1597358679,366,91
1597360572,116,52
1597362518,49,71
1597364413,37,58
1597366331,36,64
1597368280,39,75
1597370171,52,51
1597372094,35,35
1597374160,47,55
1597375969,37,77
1597378100,66,65
1597380031,48,779
1597381967,408,822
1597383895,50,57
1597385775,51,62
1597387738,49,58
1597389646,72,65
1597391532,53,61
1597393487,51,60
1597395373,34,58
1597397542,45,62
1597399546,70,70
1597401404,45,48
1597403315,265,58
1597405218,489,53
1597407174,63,49
1597409105,49,43
1597410978,42,56
1597412897,44,52
1597414850,48,46
1597416787,44,50
1597418699,50,336
1597420602,51,177
1597422509,46,191
1597424561,53,163
1597426610,62,154
1597428767,68,165
1597430660,64,71
1597432587,79,75
1597434525,58,59
1597436411,57,60
1597438341,59,57
1597440304,67,53
1597442205,50,65
1597444091,44,63
1597446121,56,121
1597447946,75,64
1597449857,63,63
1597451814,70,58
1597453699,52,61
1597455644,55,70
1597457538,61,52
1597459457,55,53
1597461398,56,52
1597463292,55,51
1597465216,64,80
1597467189,70,52
1597469054,55,428
1597470973,53,58
1597472920,54,39
1597474959,60,70
1597476974,77,67
1597478891,67,56
1597480838,66,128
1597482754,66,42
1597484679,64,61
1597486584,190,71
1597488489,68,55
1597490441,68,733
1597492330,35,69
1597494258,54,54
1597496219,52,55
1597498090,66,41
1597500197,59,55
1597502201,49,59
1597504092,49,51
1597506011,41,53
1597507963,40,52
1597509862,60,54
1597511773,50,59
1597513719,55,49
1597515613,48,59
1597518161,80,77
1597520066,71,85
1597522140,67,76
1597524045,72,53
1597525937,79,56
1597527864,53,53
1597529806,64,45
1597531699,75,47
1597533644,63,50
1597535544,62,53
1597537464,65,49
1597539429,53,53
1597541301,34,48
1597543369,34,89
1597545385,36,65
1597547316,47,59
1597549210,50,54
1597551133,37,76
1597553084,56,71
1597554985,31,63
1597556917,29,71
1597558811,44,57
1597560732,1266,59
1597562679,31,71
1597564568,22,74
1597566492,34,82
1597568532,413,65
1597570333,454,90
1597572181,158,74
1597574171,140,95
1597576095,78,72
1597578043,98,62
1597579943,324,66
1597581856,287,48
1597583802,127,65
1597585979,126,82
1597587868,89,47
1597589839,172,44
1597591720,219,43
1597593788,147,60
1597595589,99,52
1597597467,85,52
1597599374,98,53
1597601323,158,53
1597603213,142,53
1597605172,85,62
