DateTime,Entries,UniqueIPs
1596691237,11324,11324
1596693155,11315,11315
1596695098,10894,10894
1596696996,10233,10233
1596698896,10222,10222
1596700972,10210,10210
1596703008,10203,10203
1596704918,10201,10201
1596706844,10214,10214
1596708770,10222,10222
1596710714,10205,10205
1596712775,10187,10187
1596714771,10191,10191
1596716729,10173,10173
1596718588,10159,10159
1596720528,10146,10146
1596722507,10097,10097
1596724341,10064,10064
1596726230,10012,10012
1596728200,10000,10000
1596730129,9947,9947
1596732032,9922,9922
1596733959,9895,9895
1596735885,9863,9863
1596737777,9831,9831
1596739696,9800,9800
1596741643,9818,9818
1596743535,9806,9806
1596745457,9759,9759
1596747458,9705,9705
1596749291,9674,9674
1596751351,9647,9647
1596753164,9662,9662
1596755058,9661,9661
1596756975,9610,9610
1596758947,9558,9558
1596760815,9512,9512
1596762734,9462,9462
1596764687,9421,9421
1596766578,9484,9484
1596768739,9447,9447
1596770656,9444,9444
1596772607,9435,9435
1596774495,9677,9677
1596776548,10282,10282
1596778600,10250,10250
1596780494,10197,10197
1596782428,10150,10150
1596784361,10141,10141
1596786254,10114,10114
1596788182,10117,10117
1596790120,10085,10085
1596792008,10083,10083
1596793932,10049,10049
1596795881,10017,10017
1596797778,9992,9992
1596799690,9963,9963
1596801752,9896,9896
1596803778,9841,9841
1596805734,9853,9853
1596807609,9834,9834
1596809533,9811,9811
1596811495,9828,9828
1596813374,9792,9792
1596815293,9789,9789
1596817242,9779,9779
1596819134,9737,9737
1596821052,9732,9732
1596823000,9718,9718
1596824891,9716,9716
1596826903,9754,9754
1596828761,9729,9729
1596830660,9710,9710
1596832592,9716,9716
1596834524,9734,9734
1596836412,9731,9731
1596838329,9729,9729
1596840280,9722,9722
1596842172,9731,9731
1596844134,9747,9747
1596846011,9767,9767
1596847929,9774,9774
1596849880,9801,9801
1596851772,9770,9770
1596853946,9717,9717
1596855857,9693,9693
1596857809,9743,9743
1596859693,9763,9763
1596861621,9064,9064
1596863585,8861,8861
1596865460,8899,8899
1596867382,8930,8930
1596869352,8952,8952
1596871215,8982,8982
1596873133,8996,8996
1596875089,9012,9012
