DateTime,AddedIPs,RemovedIPs
1596687381,91,89
1596689333,58,107
1596691239,80,92
1596693156,94,85
1596695099,78,108
1596696997,80,87
1596698897,76,75
1596700974,70,99
1596703010,84,90
1596704919,83,75
1596706847,76,85
1596708771,84,74
1596710716,73,79
1596712776,78,80
1596714772,86,76
1596716730,67,100
1596718591,67,64
1596720530,49,87
1596723643,77,135
1596725561,48,76
1596727451,53,54
1596729401,55,63
1596731291,89,74
1596734437,96,105
1596736328,44,62
1596738275,57,69
1596740204,77,75
1596742092,120,94
1596744181,94,102
1596746209,62,98
1596748123,58,82
1596750017,37,73
1596751939,74,88
1596753884,107,90
1596755777,69,80
1596757695,50,102
1596759640,48,100
1596761530,71,99
1596763456,74,79
1596765407,141,96
1596767322,137,103
1596769336,80,69
1596771168,81,85
1596773126,62,91
1596775003,82,69
1596776918,63,88
1596778830,43,97
1596780771,50,114
1596782657,58,81
1596784574,61,90
1596786522,75,84
1596788417,71,92
1596790334,69,88
1596792283,65,87
1596794200,53,81
1596796103,53,80
1596798263,48,108
1596800202,68,93
1596802148,50,113
1596804051,44,61
1596805936,66,87
1596807895,47,85
1596809788,51,67
1596811702,102,54
1596813643,67,76
1596815542,60,64
1596817455,71,71
1596819409,46,77
1596821301,53,66
1596823381,53,56
1596825368,63,34
1596827319,93,65
1596829209,66,89
1596831129,65,84
1596833082,83,52
1596834989,76,54
1596836891,58,65
1596838841,86,88
1596840728,83,92
1596842684,90,78
1596845015,121,68
1596847002,66,57
1596848892,75,66
1596850811,89,80
1596852765,89,218
1596854657,63,96
1596856593,79,97
1596858523,108,60
1596860416,106,61
1596862339,156,71
1596864288,143,74
1596866173,66,52
1596868093,80,61
1596870201,74,58
1596872204,73,48
1596874089,86,66
1596876015,85,60
1596877985,79,137
1596879878,80,77
1596882058,99,61
1596883938,71,58
1596885886,88,59
1596887779,66,51
1596889697,88,46
1596891772,101,35
1596893955,92,57
1596895968,100,50
1596897855,58,114
1596899805,86,48
1596901732,67,42
1596903618,82,55
1596905536,55,49
1596907483,69,60
1596909377,73,41
1596911324,92,45
1596913415,70,65
1596915400,89,73
1596917303,78,52
1596919236,92,50
1596921191,91,60
1596923056,68,53
1596924981,89,61
1596926929,79,70
1596928816,76,76
1596930749,65,90
1596932684,81,46
1596934587,96,57
1596936499,84,67
1596938613,71,97
1596940603,71,70
1596942495,77,53
1596944419,55,84
1596946362,81,84
1596948255,82,65
1596950177,65,93
1596952124,76,55
1596954033,85,72
1596955932,91,68
1596957897,60,63
1596959773,61,63
1596961947,89,70
1596963925,77,85
1596965806,65,50
1596967703,67,60
1596969618,65,58
1596971571,76,47
1596973457,67,66
1596975386,79,75
1596977328,89,71
1596979219,59,65
1596981036,48,71
1596982844,43,66
1596984733,56,73
1596986697,73,75
1596988572,82,65
1596990494,71,72
1596993613,140,99
1596995529,280,124
1596997509,1298,74
1596999387,1620,56
1597001290,1218,59
1597003320,72,61
1597005129,99,56
1597006974,47,59
1597009000,109,66
1597010893,38,63
1597012826,109,55
1597014764,57,63
1597016665,61,41
1597018577,52,76
1597020525,68,67
1597022418,49,50
1597024335,65,62
1597026281,24,57
1597028183,361,46
1597030351,1535,38
1597032264,35,44
1597034209,39,38
1597036116,27,35
1597038039,27,34
1597039966,22,42
1597041879,30,22
1597043779,25,26
1597045727,26,34
1597047616,21,23
1597049535,25,41
1597051506,738,44
1597053374,1094,40
1597055292,1281,35
1597057323,1230,41
1597059160,1320,24
1597061061,1446,19
1597063004,1185,20
1597064902,12,22
1597066813,12,16
1597068766,8,11
1597070656,24,13
1597072581,12,26
1597074521,23,25
1597076441,18,26
1597078338,13,24
1597080277,25,26
1597082202,14,24
1597084136,29,29
1597086146,18,42
1597087969,26,37
1597089885,16,23
1597091776,27,36
1597093725,43,25
1597095639,13,34
1597097539,27,47
1597099535,25,32
1597101375,16,40
1597103302,14,35
1597105280,23,31
1597107143,19,24
1597109061,31,21
1597111003,25,20
1597112926,31,17
1597114986,27,489
1597116971,58,924
1597118930,33,48
1597120816,48,28
1597122732,38,27
1597124694,36,20
1597126585,24,22
1597128521,12,25
1597130466,15,36
1597132337,10,495
1597134262,8,1616
1597136219,9,1925
1597138103,7,1321
1597140283,14,1299
1597142185,89,1533
1597144128,104,1458
1597146017,86,1594
1597147941,89,1627
1597149888,56,1006
1597151772,53,62
1597153694,101,60
1597155515,91,47
1597157370,61,57
1597159223,68,40
1597161134,49,53
1597163096,55,53
1597165006,65,61
1597166963,96,57
1597169004,97,56
1597171010,86,58
1597172896,81,66
1597174829,75,56
1597176789,439,73
1597178686,613,66
1597180583,68,45
1597182543,69,59
1597184417,72,67
1597186332,98,73
1597188287,91,56
1597190187,70,60
