DateTime,AddedIPs,RemovedIPs
1596351131,0,1
1596354981,1,4
1596356896,0,1
1596360046,2,3
1596361962,3,5
1596363921,1,3
1596365779,4,3
1596367995,1,3
1596369872,0,1
1596371787,2,2
1596375627,2,0
1596377572,1,0
1596379497,0,7
1596381386,0,2
1596383334,2,2
1596385251,1,0
1596387146,2,2
1596389114,4,0
1596391046,14,0
1596395039,2,3
1596396975,0,3
1596398977,0,6
1596400825,0,2
1596402749,0,3
1596406579,1,2
1596408537,2,2
1596410467,3,1
1596412377,1,0
1596414265,3,0
1596416213,3,3
1596418103,2,1
1596421006,3,1
1596422905,5,3
1596424854,1,0
1596426744,1,0
1596428665,0,1
1596430613,2,7
1596436593,385,0
1596440420,1,1
1596442345,1,0
1596444325,0,2
1596448395,1,2
1596450259,0,1
1596452236,0,4
1596456208,0,1
1596458174,2,2
1596460124,1,0
1596462013,0,1
1596463934,0,1
1596469693,1,2
1596471667,0,1
1596473532,1,2
1596475455,0,4
1596477401,2,13
1596479295,1,0
1596481277,1,2
1596483167,4,0
1596485153,1,0
1596486976,3,0
1596488924,6,0
1596490811,8,0
1596492979,6,1
1596494911,11,2
1596496882,11,3
1596498750,3,1
1596500670,1,3
1596502630,1,3
1596504504,0,2
1596506574,0,3
1596509258,0,4
1596511261,0,2
1596513154,3,1
1596515331,1,0
1596519409,2,0
1596521376,1,0
1596523223,0,390
1596527117,1,1
1596528981,1,1
1596532887,1,0
1596534740,2,1
1596542909,1,0
1596545003,1,2
1596547097,0,1
1596556613,1,1
1596560593,0,1
1596562399,1,1
1596564299,1,1
1596566188,2,1
1596568176,1,1
1596570025,1,4
1596572044,0,1
1596573932,1,7
1596575791,0,3
1596577750,0,9
1596579655,0,5
1596581541,9,11
1596583469,2,10
1596585415,0,3
1596587312,2,1
1596589422,1,1
1596591413,1,0
1596593329,3,0
1596595224,5,0
1596599087,3,3
1596601027,1,0
1596602899,2,1
1596604867,1,0
1596606737,1,3
1596610967,3,0
1596613076,0,1
1596614904,1,1
1596616827,3,0
1596618781,0,1
1596620672,0,2
1596622657,2,0
1596624528,1,0
1596628372,1,1
1596632297,0,1
1596638916,1,0
1596642776,1,1
1596646593,3,0
1596648567,0,1
1596650796,0,1
1596652619,0,2
1596654569,0,1
1596656428,1,1
1596658372,1,0
1596660274,0,1
1596667964,0,9
1596669928,0,2
1596671821,6,0
1596673698,0,2
1596675935,0,1
1596677827,0,1
1596679702,0,3
1596681624,3,5
1596683569,2,0
1596685466,3,3
1596687382,0,1
1596689334,4,2
1596691240,3,1
1596693158,2,1
1596695100,6,0
1596696998,4,3
1596700974,1,1
1596703010,0,3
1596708772,25,2
1596710724,1,1
1596712777,1,0
1596714773,0,1
1596716731,1,0
1596718620,1,0
1596720534,2,0
1596723645,2,0
1596725562,0,1
1596727454,1,0
1596729402,1,1
1596733339,1,3
1596735162,2,0
1596738989,1,0
1596740950,122,0
1596742820,2,1
1596744736,1,1
1596748574,2,0
1596752444,1,0
1596754336,1,0
1596758227,0,6
1596760097,1,0
1596763960,1,0
1596765880,164,0
1596767775,59,3
1596769735,0,2
1596771634,0,2
1596773573,1,0
1596775474,1,4
1596777375,0,2
1596779349,0,3
1596781214,1,4
1596783136,1,6
1596786972,0,1
1596788918,1,0
1596791772,1,0
1596793720,2,0
1596795617,4,25
1596797534,1,1
1596799509,0,1
1596801385,1,0
1596803341,0,2
1596805427,1,0
1596807371,3,3
1596811239,32,1
1596813135,40,1
1596815085,2,0
1596817000,0,1
1596818895,1,0
1596820840,0,1
1596822728,2,2
1596824653,1,0
1596826600,15,4
1596828492,0,2
1596830560,2,2
1596832362,1,1
1596834286,1,1
1596836200,1,1
1596838123,0,1
1596840019,3,1
1596845798,0,1
1596851534,4,87
1596853484,2,125
1596855419,2,6
1596861130,2,2
1596863056,169,0
1596865001,6,0
1596866896,2,1
1596868838,0,1
1596874572,1,1
1596876524,1,1
1596878409,1,0
1596880358,0,3
1596882280,1,3
1596884183,0,1
1596888158,0,1
1596890204,2,1
1596892113,1,0
1596893957,1,3
1596897856,3,2
1596899806,0,1
1596901733,0,2
1596903619,1,0
1596905537,2,1
1596909377,1,2
1596911325,3,1
1596913416,2,1
1596915401,3,1
1596917304,0,1
1596919237,2,2
1596921195,1,0
1596923057,3,1
1596924982,25,0
1596926949,24,3
1596930749,1,0
1596934589,2,0
1596938614,0,3
1596940604,3,3
1596944420,1,0
1596948256,3,2
1596950178,2,23
1596952124,2,0
1596954034,0,2
1596955932,1,0
1596957898,1,0
1596961951,0,1
1596963926,0,1
1596965806,0,1
1596967704,1,1
1596969619,1,0
1596971572,39,0
1596973458,2,0
1596977329,1,3
1596979220,1,0
1596981037,0,1
1596984734,1,3
1596986698,1,0
1596988573,1,0
1596990495,0,1
1596992521,0,2
1596994336,1,1
1596998199,0,5
1597002009,0,3
1597003961,2,0
1597005853,178,2
1597007774,22,1
1597009723,0,3
1597011610,0,3
1597013535,3,3
1597017375,0,1
1597021401,0,2
1597027238,0,3
1597031051,1,1
1597034922,0,3
1597036817,0,2
1597038737,0,2
1597040683,2,0
1597042606,0,1
1597044490,3,1
1597046540,2,0
1597052429,1,0
1597054366,0,1
1597056257,4,1
1597058178,0,101
1597060131,2,1
1597063946,4,2
1597065889,1,0
1597067780,3,0
1597071722,2,1
1597073663,1,1
1597075474,0,1
1597077374,7,0
1597081217,3,1
1597083162,1,0
1597085084,3,0
1597088902,2,0
1597090857,0,47
1597092733,114,2
1597094691,3,1
1597096601,1,0
1597100546,2,3
1597102505,1,0
1597106414,1,0
1597110280,1,0
1597114096,2,0
1597116045,84,1
1597117935,1,0
1597119857,1,0
1597121822,1,0
1597123698,2,0
1597126586,3,1
1597128522,1,1
1597130467,0,4
1597132338,0,3
1597138104,1,0
1597140284,4,1
1597142187,1,4
1597146017,0,2
1597149889,1,3
1597151772,1,2
1597153695,1,3
1597157371,0,2
1597161134,0,1
1597163098,1,1
1597165007,1,6
1597169005,1,4
1597171014,3,2
1597174830,1,2
1597176790,447,0
1597178688,839,9
1597180584,2,3
1597182545,0,1
1597186333,1,2
1597190188,0,1
1597194157,0,1
1597195959,0,1
1597199808,1,2
1597203619,1,87
1597207458,0,1
1597209386,1,2
1597211334,1,3
1597213259,0,1
1597215151,1,1
1597225004,0,4
1597226902,1,1
1597228822,4,1
1597236736,0,1
1597238656,0,1
1597240612,0,1
1597244531,2,0
1597250197,54,2
1597254017,2,1
1597256192,1,1
1597258112,0,2
1597260106,0,1
1597261977,0,6
1597263864,0,440
1597265817,0,570
1597267698,1,1
1597271774,1,0
1597273722,0,1
1597277539,1,0
1597281383,1,0
1597283293,1,0
1597287151,0,1
1597291003,2,1
1597294984,1,0
1597296978,1,2
1597300885,1,1
1597302812,2,0
1597304679,1,0
1597312336,2,0
1597314257,4,5
1597316202,1,0
1597321959,1,0
1597329618,1,1
1597331792,0,1
1597333696,1,0
1597335684,1,82
1597337546,2,81
1597341413,0,2
1597343322,34,1
1597346314,9,0
1597348368,1,0
1597350261,1,0
1597354128,0,1
1597356233,2,0
1597358177,654,1
1597360096,677,0
1597365854,3,0
1597368019,0,1
1597369938,1,1
1597373787,1,0
1597375971,0,2
1597381971,0,2
1597387740,2,1
1597389649,1,4
1597391553,22,0
1597393490,5,0
1597395375,6,0
1597397544,2,1
1597399552,0,3
1597401406,2,4
1597405220,1,0
1597409107,0,1
1597412901,1,0
1597414852,1,0
1597416789,1,1
1597418708,1,1
1597422513,0,2
1597424570,1,1
1597430665,1,2
1597432589,43,0
1597434527,5,1
1597436414,0,1
1597438346,1,0
1597440306,2,0
1597442213,0,1
1597444092,0,5
1597446126,0,79
1597447951,0,8
1597451816,0,3
1597453700,1,0
1597455646,1,1
1597459462,0,1
1597463294,3,0
1597474977,0,2
1597476976,0,1
1597478893,1,6
1597480840,0,244
1597482756,1,1
1597484683,28,2
1597486586,403,0
1597488491,0,2
1597490443,2,0
1597492335,1,1
1597494260,1,0
1597500200,1,1
1597502203,0,2
1597506013,0,1
1597509864,0,1
1597511775,1,0
1597513721,3,0
1597518169,2,1
1597520067,3,66
1597522142,0,24
1597524051,6,1
1597525939,117,1
1597527870,0,1
1597535548,2,0
1597539433,0,1
1597541307,0,1
1597549212,3,2
1597551135,0,1
1597553086,2,0
1597558813,1,0
1597560736,2,0
1597564570,0,1
1597566494,1,0
1597568566,1,1
1597570625,1,64
1597572563,0,88
1597574443,2,0
1597576334,0,2
1597578279,6,1
1597580206,0,1
1597582096,2,0
1597585981,2,1
1597589860,4,0
1597593800,1,0
1597595770,1,0
1597597719,0,1
1597599613,3,3
1597601605,3,0
1597603485,2,1
1597605419,0,2
1597607533,1,2
1597609459,0,69
1597611417,71,1332
1597613299,395,95
1597615419,390,0
1597621222,1,2
1597623227,1,0
1597626973,1,0
1597628917,1,0
1597630816,1,0
1597636612,1,3
1597640586,0,2
1597644491,0,1
1597646446,2,2
1597650274,1,0
1597652183,0,1
1597654138,0,1
1597657931,0,1
