DateTime,AddedIPs,RemovedIPs
1596538608,0,2
1596540534,0,4
1596542909,2,3
1596545004,5,1
1596547097,3,2
1596548933,4,3
1596550862,1,1
1596552776,3,5
1596554682,1,2
1596556614,4,3
1596558526,0,2
1596560593,3,2
1596562400,1,1
1596564300,0,2
1596568176,1,0
1596570025,3,1
1596572045,2,1
1596573932,1,1
1596575792,0,3
1596577751,2,2
1596579656,5,1
1596581541,1,0
1596583469,4,3
1596585416,2,0
1596587314,2,0
1596589424,2,0
1596591416,0,2
1596593330,2,0
1596595225,0,1
1596597136,1,0
1596599088,0,2
1596601028,1,0
1596602899,0,1
1596604868,0,1
1596606737,1,1
1596608662,1,0
1596610968,3,1
1596613077,2,1
1596614905,3,2
1596616827,0,3
1596618782,0,2
1596620673,1,5
1596622657,1,1
1596626500,2,0
1596628372,0,1
1596630262,2,3
1596632297,1,3
1596634131,6,4
1596637012,4,3
1596638916,0,4
1596640822,1,1
1596642776,1,4
1596644682,5,0
1596646593,1,2
1596648568,0,1
1596650796,1,1
1596652619,1,0
1596654570,6,1
1596656428,1,3
1596658372,4,2
1596660274,1,1
1596662183,1,0
1596664132,0,2
1596666022,0,5
1596667965,3,1
1596669928,0,4
1596671822,0,2
1596673698,0,2
1596675937,0,2
1596679703,0,2
1596683569,0,1
1596685466,3,0
1596687382,1,1
1596689334,2,0
1596693158,3,1
1596695100,0,1
1596696998,2,3
1596698898,1,1
1596700975,0,4
1596703010,1,0
1596706852,4,1
1596708772,3,1
1596712777,2,2
1596714774,1,0
1596716732,0,2
1596718621,1,1
1596720534,0,6
1596723645,1,4
1596725562,1,0
1596727454,0,1
1596729402,0,1
1596731294,0,5
1596733354,2,1
1596737050,0,1
1596738989,0,1
1596740951,2,6
1596742820,1,1
1596744736,2,4
1596746682,0,1
1596748574,0,1
1596750500,2,0
1596752444,3,0
1596754337,0,3
1596756278,2,0
1596758227,1,0
1596760097,1,0
1596762138,1,0
1596763960,3,0
1596767775,2,0
1596769735,1,0
1596771634,1,3
1596773573,2,0
1596775474,1,3
1596779350,0,3
1596783137,2,1
1596785082,1,2
1596788918,1,1
1596793720,0,5
1596795617,2,2
1596799509,3,2
1596801386,0,1
1596803341,3,0
1596805429,1,1
1596809324,2,1
1596811239,1,0
1596813135,2,1
1596815085,2,0
1596817001,2,0
1596818895,2,2
1596820840,2,0
1596822728,1,0
1596824654,2,0
1596826600,2,2
1596828492,1,1
1596830560,1,1
1596832362,0,1
1596834295,1,0
1596836200,1,2
1596838123,2,2
1596840019,1,1
1596841977,0,2
1596843865,1,0
1596845798,1,1
1596847728,0,2
1596849614,0,2
1596851535,0,1
1596853484,2,0
1596855419,1,3
1596857298,1,1
1596859332,1,1
1596861403,0,2
1596865263,2,0
1596869077,2,1
1596870977,2,2
1596872923,1,0
1596874808,3,1
1596876730,5,0
1596878682,2,0
1596880569,1,2
1596882491,2,0
1596886332,1,3
1596888159,3,0
1596890204,2,4
1596892114,1,0
1596895969,2,2
1596897856,2,1
1596899806,2,2
1596901733,2,2
1596903619,0,2
1596905537,2,2
1596907484,0,2
1596909378,0,2
1596911325,0,3
1596913416,1,0
1596915401,1,1
1596917311,0,1
1596919237,5,0
1596921195,2,1
1596923057,1,1
1596924982,1,2
1596926949,0,1
1596928817,1,0
1596930749,1,1
1596932685,3,1
1596934590,4,0
1596936500,1,0
1596940604,0,3
1596942497,1,0
1596944420,1,1
1596946363,2,1
1596948256,2,0
1596950178,3,1
1596952125,1,1
1596954034,2,0
1596955933,1,3
1596957898,1,2
1596959773,1,2
1596961952,3,5
1596963926,0,3
1596965807,3,1
1596967704,1,1
1596969619,0,1
1596973458,0,3
1596975387,0,1
1596977329,1,3
1596979220,2,0
1596981037,1,1
1596982845,0,2
1596984734,0,1
1596986698,2,3
1596988573,3,1
1596990495,2,1
1596992537,3,1
1596994601,3,0
1596996494,2,0
1596998417,2,1
1597002254,0,1
1597004173,1,1
1597006128,1,5
1597008011,4,2
1597011883,2,1
1597013779,1,0
1597015691,2,1
1597017755,2,2
1597019797,0,4
1597021701,1,2
1597023647,0,1
1597025568,1,0
1597029377,1,1
1597031336,0,3
1597035134,2,3
1597037159,0,3
1597039003,5,0
1597040893,0,2
1597042973,0,2
1597044997,0,1
1597048815,1,3
1597050761,1,1
1597052651,0,2
1597054573,1,1
1597056520,1,0
1597058407,2,0
1597064170,1,1
1597066107,0,2
1597068213,0,1
1597070212,1,0
1597072095,1,1
1597074018,1,2
1597075960,1,2
1597077880,1,3
1597079783,4,4
1597081696,0,1
1597083637,1,3
1597085581,0,1
1597087454,3,0
1597089402,1,0
1597091294,0,1
1597094441,0,5
1597096346,1,0
1597098261,0,2
1597100202,0,1
1597102098,0,2
1597104087,1,2
1597107870,1,1
1597109786,1,0
1597111721,0,1
1597115540,1,1
1597121301,1,2
1597123240,1,0
1597125139,1,4
1597127080,0,1
1597129010,1,0
1597134762,0,1
1597136677,0,1
1597142413,0,2
1597144337,2,0
1597146286,3,2
1597148173,2,0
1597150091,1,1
1597152041,1,0
1597155886,0,1
1597157773,2,1
1597159692,3,0
1597161792,0,2
1597163798,1,1
1597165697,1,4
1597167614,2,0
1597169561,0,1
1597173372,1,2
1597175352,1,2
1597179131,3,0
1597181081,2,0
1597182976,1,1
1597184899,3,0
1597186952,1,0
1597190891,0,1
1597194764,1,2
1597196652,3,0
1597198575,1,0
1597200518,2,0
1597202412,0,1
1597204341,4,0
1597206282,0,1
1597208175,0,1
1597210115,0,1
1597212141,3,0
1597214197,1,0
1597216101,1,1
1597220016,1,0
1597225933,1,0
1597229773,0,1
1597231696,2,2
1597233779,0,4
1597235654,0,1
1597237493,1,1
1597239373,1,0
1597241323,2,0
1597243214,1,1
1597245133,1,4
1597247083,1,0
1597249049,5,1
1597250939,1,0
1597252844,0,2
1597254780,1,1
1597258623,1,1
1597260496,1,0
1597262604,2,1
1597264572,3,1
1597266524,0,3
1597268414,1,2
1597270577,8,2
1597272496,1,2
1597274440,3,0
1597278265,1,0
1597280205,1,1
1597282120,2,2
1597284201,1,2
1597286175,0,1
1597288122,0,1
1597290019,2,2
1597291930,0,2
1597293880,2,0
1597295778,1,0
1597297693,0,2
1597299648,2,1
1597301536,0,1
1597303457,0,1
1597305417,1,0
1597307294,2,1
1597310175,4,0
1597312096,3,1
1597314069,2,0
1597317885,0,2
1597319832,2,0
1597324655,1,1
1597326511,0,2
1597328444,2,2
1597330340,1,1
1597332262,1,0
1597334209,1,2
1597336104,0,5
1597338199,1,0
1597342124,1,1
1597344016,4,0
1597345918,4,2
1597347856,0,1
1597349801,1,3
