DateTime,AddedIPs,RemovedIPs
1596480283,0,2
1596482174,3,0
1596484092,1,2
1596487932,1,1
1596491805,0,1
1596493692,2,0
1596495804,1,1
1596497773,1,3
1596499725,1,2
1596503533,3,0
1596505553,3,1
1596507382,1,4
1596509259,0,1
1596511262,2,2
1596519410,2,1
1596521377,0,1
1596525150,2,0
1596527118,1,0
1596528982,1,0
1596530920,0,2
1596534741,0,1
1596536662,0,3
1596540534,1,1
1596542910,2,0
1596545004,0,2
1596547097,0,2
1596548933,1,4
1596550863,1,1
1596552776,1,1
1596554682,1,0
1596556614,2,0
1596558527,1,5
1596560593,1,0
1596562400,2,1
1596564300,0,1
1596566189,1,1
1596568177,0,2
1596570026,0,1
1596573933,2,2
1596575792,4,0
1596579656,1,2
1596581541,1,1
1596583469,1,2
1596585416,3,1
1596587316,2,1
1596589426,3,0
1596591418,1,4
1596593330,1,0
1596595225,0,1
1596597136,2,0
1596599088,1,2
1596601028,0,2
1596602900,3,0
1596606737,0,1
1596608663,0,1
1596610968,1,3
1596613077,2,0
1596618783,2,1
1596620673,2,1
1596622658,0,1
1596626500,0,1
1596628372,1,2
1596630262,2,1
1596632297,3,0
1596637012,0,3
1596638916,0,1
1596642776,1,1
1596644683,0,3
1596646594,1,1
1596648568,1,1
1596650796,3,0
1596652620,1,0
1596654570,0,2
1596660275,1,3
1596662184,3,2
1596666022,2,1
1596667965,1,1
1596669929,0,1
1596671822,1,1
1596673699,2,0
1596675938,3,2
1596677828,2,3
1596679703,0,1
1596683569,6,1
1596685467,1,1
1596687382,1,0
1596689334,0,3
1596691241,1,0
1596693158,0,1
1596696999,0,1
1596698898,2,1
1596700975,0,1
1596704921,3,1
1596706852,0,2
1596708773,1,1
1596714774,0,1
1596716732,0,1
1596718621,1,3
1596720534,2,0
1596723645,1,0
1596725562,2,0
1596727455,0,1
1596729402,0,1
1596731294,2,0
1596733363,0,3
1596735369,1,0
1596737338,0,2
1596741133,1,0
1596743083,0,2
1596744976,2,0
1596746895,1,1
1596748840,2,4
1596750731,2,0
1596752655,1,1
1596754604,0,2
1596756492,1,2
1596758444,2,2
1596760360,2,2
1596762255,3,2
1596764169,2,1
1596766128,1,0
1596768015,1,0
1596769931,1,6
1596771890,1,0
1596774024,1,1
1596777890,0,1
1596783805,1,0
1596785800,2,0
1596787708,1,0
1596789618,1,1
1596791573,0,2
1596793455,1,1
1596795414,3,1
1596801132,1,1
1596803059,1,1
1596804977,3,1
1596806937,0,1
1596808967,1,1
1596810773,1,2
1596816530,3,1
1596818423,0,2
1596820340,1,1
1596822289,0,1
1596824214,1,0
1596826101,0,2
1596828072,1,0
1596831861,0,2
1596833807,2,0
1596835695,1,2
1596837751,1,1
1596839567,2,1
1596841518,6,0
1596843403,3,2
1596845317,0,1
1596847215,2,0
1596849172,1,3
1596851054,2,2
1596853010,2,0
1596854927,0,3
1596856836,1,1
1596858735,1,1
1596860689,0,1
1596862572,2,0
1596870502,2,0
1596872418,1,3
1596878175,0,1
1596880129,0,1
1596882058,0,2
1596887780,1,1
1596889697,0,1
1596891773,3,3
1596895970,0,2
1596897856,1,0
1596899806,3,0
1596901733,1,0
1596903619,1,3
1596905537,1,1
1596907485,1,0
1596913417,1,1
1596917311,0,1
1596919238,2,0
1596921195,1,3
1596923057,1,1
1596924983,2,1
1596926949,1,0
1596928817,0,6
1596930750,1,1
1596934591,1,1
1596936501,2,1
1596938617,0,3
1596940604,0,1
1596944420,2,1
1596946363,1,0
1596948256,0,1
1596950179,5,2
1596954035,1,0
1596955933,2,2
1596959774,1,0
1596961952,1,1
1596967704,2,1
1596969620,2,0
1596973459,1,0
1596975387,1,1
1596977330,0,2
1596979220,1,1
1596984734,2,1
1596986698,3,3
1596988573,0,1
1596990496,3,0
1596992548,3,0
1596996494,1,0
1596998418,0,1
1597004174,0,1
1597006129,0,3
1597008011,2,0
1597009934,1,2
1597011883,2,2
1597013779,2,1
1597015691,1,0
1597017765,1,1
1597019798,1,0
1597021702,1,1
1597023647,0,1
1597025568,1,1
1597027457,1,0
1597029378,0,1
1597031336,0,1
1597035134,0,1
1597037159,0,2
1597039003,1,1
1597042974,5,3
1597044997,1,1
1597046891,1,0
1597048816,2,0
1597050761,2,1
1597052651,3,0
1597054573,1,4
1597056520,1,0
1597060326,1,0
1597064171,3,1
1597066107,5,0
1597068215,2,0
1597070213,2,0
1597072095,1,4
1597074018,2,1
1597075960,0,1
1597077881,0,7
1597079784,2,0
1597087454,1,1
1597089402,0,2
1597091294,1,0
1597094441,0,2
1597096346,3,1
1597098262,1,2
1597100202,2,1
1597102098,4,1
1597104092,1,1
1597105961,2,0
1597107870,2,1
1597111721,0,1
1597113621,1,1
1597115541,1,0
1597117486,1,0
1597119380,1,0
1597121301,2,1
1597123240,1,0
1597125140,1,2
1597130894,0,2
1597132937,2,1
1597134762,1,0
1597136677,1,1
1597138591,1,0
1597140554,1,1
1597142413,0,2
1597146287,4,2
1597148174,1,1
1597150091,3,2
1597152041,2,5
1597153936,0,3
1597157773,0,3
1597159692,1,0
1597161795,1,3
1597163798,1,1
1597165697,0,1
1597171455,4,1
1597173372,1,1
1597175352,2,1
1597177212,0,3
1597181081,3,1
1597182976,1,2
1597184899,0,2
1597186964,1,3
1597188996,2,4
1597190892,1,1
1597192860,1,4
1597194764,2,2
1597196652,1,2
1597198576,1,1
1597200518,1,0
1597202413,0,1
1597204341,0,1
1597206283,0,1
1597208176,0,3
1597210115,0,1
1597212149,1,1
1597214197,51,0
1597218017,1,0
1597220031,0,2
1597221858,3,0
1597224026,1,1
1597225933,1,0
1597227888,0,1
1597229773,2,0
1597231696,1,2
1597233788,1,4
1597235655,0,1
1597237499,0,1
1597239373,3,1
1597241323,1,0
1597243214,0,2
1597245134,1,0
1597247084,1,2
1597250939,1,0
1597252844,3,0
1597254780,1,0
1597256661,4,1
1597258624,2,2
1597260497,2,0
1597262605,2,1
1597264573,1,0
1597268414,0,2
1597270578,2,0
1597272497,3,0
1597274440,3,1
1597276340,3,1
1597278265,2,0
1597280205,1,1
1597282120,1,1
1597284202,2,2
1597286176,0,1
1597290019,0,1
1597293880,1,1
1597295779,1,0
1597299648,0,55
1597307294,1,4
1597310176,1,2
1597312096,0,1
1597314069,2,1
1597315959,0,2
1597317885,4,0
1597319832,1,0
1597324656,0,3
1597326512,0,3
1597328445,3,0
1597330340,2,0
1597336105,1,0
1597338199,0,1
1597340178,1,2
1597342124,1,4
1597344017,4,0
1597345918,0,3
1597347857,0,2
1597349801,1,3
1597351691,1,0
1597353701,0,1
1597355563,1,1
1597357456,2,1
1597359776,2,3
1597361580,3,2
1597363464,2,4
1597365410,5,6
1597367378,3,0
1597369235,2,0
1597371163,1,3
1597373095,1,0
1597374984,2,0
1597376925,1,0
1597378817,2,0
1597380736,0,1
1597382685,0,1
1597384604,1,1
1597386497,1,0
1597388604,1,0
1597390599,2,0
1597394432,0,1
1597396364,1,0
1597400170,0,3
1597402131,2,1
1597404015,2,1
1597405967,1,1
1597409802,2,0
1597414853,4,1
1597416789,0,3
1597418709,1,1
1597420607,1,0
1597422514,0,2
1597424570,0,1
1597426612,1,1
1597430665,0,3
1597432589,1,0
1597434528,2,1
1597436414,1,1
1597438347,0,1
1597440307,4,0
1597442214,3,1
1597444093,5,1
1597446127,2,2
1597447952,0,2
1597449861,0,1
1597451817,0,4
1597453701,0,2
1597455647,3,2
1597457540,1,4
1597459463,2,1
1597461401,2,2
1597463295,0,1
1597465219,0,2
1597469059,2,0
1597472922,2,0
1597474979,1,0
1597476977,0,1
1597478893,0,1
1597480841,0,1
1597482757,0,2
1597486587,2,0
1597488491,0,1
1597490443,0,2
1597492335,0,1
1597494261,0,1
1597496222,1,0
1597498092,1,0
1597500231,1,1
1597502203,0,3
1597504094,3,2
1597506013,0,4
1597507966,3,0
1597509864,1,1
1597511775,0,1
1597513722,1,1
1597515616,1,1
1597518170,1,1
1597520068,1,0
1597522143,1,0
1597524051,0,1
1597525939,2,2
1597527870,0,2
1597529808,0,4
1597531703,0,2
1597535548,3,1
1597537470,1,0
1597539434,1,0
1597541308,0,2
1597543371,0,1
1597545388,1,3
1597551135,1,0
1597554987,2,2
1597556919,0,2
1597558813,0,1
1597560736,0,2
1597562684,1,1
1597564570,2,1
1597568566,0,2
1597572565,1,2
1597574445,1,0
1597576334,2,0
1597578280,2,1
1597582097,1,0
1597585981,0,1
1597587871,0,1
1597589860,0,2
1597593804,2,2
1597595770,0,1
1597597720,1,1
1597599614,1,1
1597601605,1,0
1597603486,1,0
1597605420,1,1
1597607534,0,2
1597609459,1,1
1597611417,1,1
1597613299,1,1
1597615421,1,0
1597617433,1,1
1597619292,2,2
1597621222,2,2
1597625064,1,1
1597626973,2,0
1597628917,3,0
1597630817,1,0
1597632735,1,0
1597638495,0,1
1597640596,0,2
1597642600,1,0
1597644492,1,0
1597646448,1,0
1597648362,0,1
1597650274,1,1
1597652183,4,1
1597654138,2,1
1597659885,3,1
