DateTime,AddedIPs,RemovedIPs
1595942355,1,0
1595943480,0,1
1595945175,1,0
1595946868,2,0
1595948547,1,2
1595950462,1,1
1595953113,2,0
1595955992,1,1
1595957670,1,0
1595959708,0,2
1595965823,0,1
1595969412,0,1
1595973115,0,1
1595975668,1,0
1595977618,0,1
1595982864,1,0
1595989337,1,0
1595991734,1,0
1595994583,0,1
1595997267,2,0
1595999316,0,2
1596001829,0,2
1596003038,2,0
1596004466,0,2
1596007360,2,0
1596010461,0,1
1596011669,0,1
1596012943,1,0
1596014420,2,0
1596023439,2,2
1596024942,1,0
1596026067,1,0
1596030019,0,1
1596033264,1,1
1596035453,1,1
1596036868,2,5
1596039925,1,0
1596042686,1,1
1596044073,0,1
1596048541,0,1
1596056333,2,1
1596060347,0,1
1596061531,1,0
1596063034,1,3
1596066918,1,0
1596068726,0,1
1596071595,2,0
1596073816,1,0
1596075802,2,0
1596076467,0,1
1596078830,1,1
1596080067,1,0
1596083671,0,3
1596090329,1,0
1596092916,1,0
1596094470,0,1
1596104725,1,0
1596107655,0,1
1596112466,4,1
1596114527,1,0
1596116256,1,0
1596117859,1,0
1596120304,1,0
1596124228,1,19
1596126323,0,1
1596127826,0,1
1596131427,1,1
1596134065,1,0
1596136619,2,0
1596137667,1,0
1596141273,3,0
1596145826,1,0
1596155278,2,1
1596158303,0,1
1596159266,0,1
1596161835,1,1
1596165560,2,0
1596166465,0,1
1596173665,0,2
1596176628,1,0
1596180872,1,0
1596183471,0,1
1596187250,1,0
1596189753,1,0
1596191668,0,1
1596193476,0,15
1596195270,0,1
1596197957,2,0
1596204827,1,1
1596206352,0,3
1596209666,0,4
1596219794,1,1
1596225408,1,1
1596227131,0,1
1596228984,1,0
1596231263,0,2
1596235829,1,0
1596237835,1,0
1596241548,0,1
1596242879,2,2
1596245667,0,3
1596249265,0,1
1596250405,1,0
1596255467,5,0
1596260064,0,1
1596263125,0,1
1596270322,1,0
1596273796,2,0
1596275428,0,2
1596281666,0,1
1596283693,0,1
1596288326,0,2
1596289715,1,1
1596292467,0,1
1596295531,2,0
1596296860,0,2
1596299666,0,1
1596301377,0,1
1596303263,0,1
1596306327,0,2
1596307829,2,1
1596309256,0,3
1596316468,3,1
1596322230,0,1
1596324868,1,2
1596327479,1,0
1596328464,1,0
1596332066,2,1
1596333842,1,2
1596336634,2,0
1596339272,1,0
1596342873,0,3
1596346466,0,1
1596348645,3,0
1596353123,0,1
1596354627,1,0
1596360501,1,0
1596360867,0,1
1596364462,0,1
1596369026,1,1
1596371663,1,0
1596373602,0,1
1596379041,1,0
1596381923,1,0
1596382464,0,1
1596385038,2,0
1596389125,0,1
1596393813,3,0
1596396326,3,1
1596397824,0,1
1596400466,0,1
1596405026,0,1
1596407667,1,1
1596410728,1,0
1596414867,4,2
1596419435,1,0
1596422066,0,1
1596425127,0,1
1596426630,0,4
1596436465,2,0
1596439528,2,0
1596441029,0,1
1596442166,0,1
1596443669,0,1
1596447268,2,0
1596459804,0,1
1596464733,0,1
1596465268,0,1
1596477163,0,1
1596478387,0,1
1596482233,1,0
1596484943,1,3
1596486328,2,0
1596487542,1,0
1596494067,0,1
1596496623,1,0
1596497667,0,1
1596501268,0,2
1596504226,0,1
1596511531,2,3
1596514727,1,0
