DateTime,AddedIPs,RemovedIPs
1596787372,33,29
1596789279,18,21
1596790492,37,9
1596792300,29,24
1596792874,1,19
1596794067,58,2
1596796470,14,136
1596799002,34,40
1596800074,31,9
1596803672,54,80
1596804865,26,10
1596806732,44,40
1596807271,16,13
1596809699,33,13
1596810870,8,25
1596813079,53,41
1596815127,25,41
1596818071,35,70
1596821132,29,30
1596822364,13,19
1596825271,43,44
1596827760,50,35
1596828872,6,20
1596831296,37,60
1596832474,4,6
1596834181,21,50
1596836071,19,5
1596839675,32,50
1596842176,7,39
1596843785,7,10
1596845109,21,36
1596846338,11,5
1596847460,5,10
1596850475,31,63
1596851963,6,43
1596853532,3,4
1596854076,14,15
1596856534,23,64
1596858508,40,22
1596861276,51,22
1596863631,48,29
1596865756,22,25
1596866988,13,9
1596868472,18,13
1596870404,19,43
1596871527,12,1
1596872984,8,28
1596874754,21,12
1596875672,8,16
1596879268,36,40
1596882870,36,62
1596884690,15,37
1596886470,51,10
1596888300,30,28
1596890071,8,8
1596892261,36,23
1596893673,23,7
1596895158,20,11
1596896420,14,1
1596897687,15,15
1596899556,34,11
1596900868,17,16
1596903456,38,14
1596905339,21,8
1596906947,23,7
1596908367,22,9
1596911131,33,430
1596912630,32,24
1596915272,22,53
1596918123,40,46
1596918878,13,14
1596922474,54,51
1596926074,23,56
1596928244,12,44
1596929671,12,36
1596933271,25,49
1596935197,15,27
1596936341,3,2
1596937832,8,27
1596940472,12,57
1596944094,22,70
1596947674,26,40
1596949465,7,68
1596950736,9,1
1596952235,41,18
1596953555,515,34
1596954886,17,35
1596956506,206,38
1596957927,3,6
1596959435,67,19
1596961010,16,37
1596962068,12,28
1596963562,70,51
1596965131,1,3
1596965671,15,5
1596966803,58,5
1596968728,15,19
1596970234,73,43
1596972871,16,52
1596974034,70,14
1596975806,38,37
1596976472,6,40
1596978983,83,48
1596980074,3,9
1596981271,53,6
1596983135,12,48
1596983674,3,33
1596987270,17,40
1596988530,84,4
1596990873,6,31
1596992118,63,16
1596993928,25,23
1596995776,71,36
1596997529,3,36
1596998069,4,31
1596999823,69,29
1597001670,15,26
1597003005,55,8
1597004737,11,19
1597005277,8,20
1597008871,86,41
1597010246,129,4
1597011417,6,14
1597012473,9,17
1597016070,100,34
1597017480,16,0
1597019135,82,16
1597019670,1,17
1597022336,102,14
1597023274,12,21
1597024754,78,12
1597026333,7,9
1597027837,33,36
1597030479,45,47
1597032003,64,20
1597033536,18,8
1597034072,3,10
1597035384,2,5
1597037140,10,16
1597037688,4,13
1597039344,103,19
1597041270,8,13
1597042375,6,5
1597043826,49,10
1597045838,8,20
1597047936,72,6
1597049138,4,29
1597051416,59,9
1597052070,6,22
1597053856,55,9
1597055669,13,62
1597056817,41,10
1597057916,14,21
1597059531,9,8
1597061135,60,16
1597062338,9,11
1597063836,26,34
1597065046,51,21
1597066665,5,11
1597068378,60,20
1597070070,20,52
1597072907,45,21
1597074037,11,29
1597075578,59,34
1597076730,22,7
1597078131,75,29
1597080871,34,53
1597082350,63,37
1597083698,13,15
1597084472,10,12
1597085612,68,12
1597086874,3,48
1597088071,6,27
1597090060,50,14
1597091884,5,43
1597094726,71,32
1597095273,1,5
1597097323,42,18
1597099007,5,27
1597101189,36,11
1597102471,4,27
1597104560,54,28
1597106075,10,15
1597108651,48,13
1597110640,68,15
1597111812,8,31
1597114243,23,21
1597116872,16,27
1597118746,77,10
1597120474,8,18
1597121760,23,10
1597123225,11,182
1597125039,11,193
1597126291,19,149
1597127675,21,14
1597128808,11,6
1597130393,24,67
1597131278,10,11
1597132938,18,75
1597134873,23,11
1597136778,13,68
1597138476,9,20
1597140763,26,64
1597142073,12,13
1597144019,430,84
1597145134,12,3
1597146350,4,28
1597147958,92,64
1597149273,15,10
1597150798,12,54
1597152332,16,5
1597153837,10,12
1597155200,126,11
1597156476,6,8
1597159537,65,102
1597160798,11,6
1597162459,51,51
1597163672,4,32
1597164869,59,3
1597166735,25,56
1597168230,55,17
1597169694,4,57
1597170869,5,21
1597172072,43,6
1597173335,4,71
1597174474,16,24
1597176401,59,54
1597178077,6,27
1597181674,74,116
1597183002,48,6
1597184152,14,87
1597185276,4,13
1597186676,47,8
1597188336,5,28
