DateTime,AddedIPs,RemovedIPs
1596733831,4,1
1596735265,1,3
1596737038,3,1
1596738865,2,1
1596742464,3,4
1596745047,1,1
1596746066,3,0
1596748523,1,1
1596750155,0,1
1596752727,1,0
1596753865,0,2
1596755410,0,3
1596759927,8,3
1596761424,4,0
1596764068,3,0
1596765303,0,2
1596767004,2,0
1596767666,1,1
1596769703,1,0
1596771804,1,1
1596773613,3,3
1596774867,3,0
1596777765,1,0
1596778471,1,0
1596781364,3,1
1596782068,0,1
1596783462,2,0
1596785125,0,2
1596785672,0,1
1596787355,2,1
1596789271,5,0
1596790484,1,1
1596792293,4,0
1596792869,0,1
1596794062,2,0
1596796463,1,5
1596798993,6,2
1596800069,2,0
1596803665,6,1
1596804858,1,1
1596806727,1,1
1596807265,0,3
1596809694,2,0
1596810865,1,0
1596813069,0,2
1596815113,5,0
1596818065,2,2
1596821125,3,2
1596822357,1,0
1596825265,3,2
1596827751,5,3
1596828866,0,54
1596831288,2,103
1596832467,0,2
1596834174,6,1
1596836065,6,0
1596839669,3,1
1596842166,2,2
1596843778,2,1
1596845098,1,1
1596846331,2,0
1596847445,2,2
1596850470,6,4
1596851957,1,0
1596854068,0,2
1596856521,2,0
1596858497,4,1
1596861271,6,2
1596863625,6,0
1596865750,2,4
1596866983,2,1
1596868467,3,2
1596870396,3,2
1596872978,0,21
1596874747,1,0
1596875667,2,2
1596879263,6,2
1596882864,1,2
1596884685,3,2
1596886465,6,1
1596888294,4,2
1596890066,2,0
1596892255,1,2
1596893666,1,2
1596895153,0,1
1596896413,2,0
1596897675,2,4
1596899551,4,0
1596900863,1,2
1596903451,2,2
1596905335,1,1
1596906938,0,1
1596908361,2,1
1596911126,1,1
1596912623,3,1
1596915267,2,2
1596918107,8,0
1596918871,0,1
1596922468,3,2
1596926067,5,2
1596928238,6,0
1596929666,0,5
1596933264,4,5
1596935190,11,3
1596936333,2,0
1596937826,2,1
1596940466,1,0
1596944083,2,3
1596947667,2,3
1596949459,2,3
1596950730,1,0
1596952228,1,1
1596953549,0,9
1596954873,1,0
1596956496,1,2
1596957921,2,0
1596959428,3,5
1596961000,13,1
1596962063,14,2
1596963553,5,2
1596965125,10,0
1596966798,1,1
1596968723,9,1
1596970228,1,12
1596972865,2,1
1596974029,1,0
1596975801,2,1
1596978965,5,1
1596980068,3,2
1596981266,2,1
1596983130,1,2
1596983669,1,3
1596987265,4,1
1596988525,0,1
1596990867,1,3
1596992113,1,1
1596995765,4,4
1596998062,0,1
1596999817,1,2
1597002999,0,2
1597004729,0,3
1597005271,1,4
1597008865,5,4
1597011406,3,2
1597012466,0,3
1597016064,3,8
1597017474,3,1
1597019129,8,3
1597019665,0,1
1597022328,7,4
1597023268,2,0
1597024743,0,2
1597026326,2,0
