DateTime,AddedIPs,RemovedIPs
1596798977,62,38
1596800052,30,34
1596803655,66,90
1596804846,18,20
1596806715,39,39
1596807255,13,35
1596809684,30,36
1596810854,29,33
1596813057,33,31
1596815100,31,35
1596816055,10,37
1596817513,31,7
1596818054,12,41
1596821113,59,47
1596822347,23,30
1596825256,46,67
1596827734,40,36
1596828854,24,68
1596831278,46,315
1596832457,26,242
1596834145,27,49
1596836053,32,31
1596839658,54,92
1596842153,59,55
1596843769,22,48
1596845091,20,44
1596846318,23,7
1596847428,16,33
1596850454,43,68
1596851941,22,33
1596853516,36,6
1596854055,9,33
1596856503,33,43
1596858481,33,62
1596861256,52,69
1596863617,33,40
1596865737,32,43
1596866971,26,28
1596868459,24,33
1596870381,25,38
1596871515,15,8
1596872972,27,63
1596874737,28,26
1596875657,18,31
1596879255,62,80
1596882855,73,117
1596884678,37,31
1596886456,37,37
1596888287,40,32
1596890056,53,24
1596892248,60,37
1596893654,35,46
1596895140,27,38
1596896401,28,18
1596897664,32,45
1596899543,39,36
1596900853,17,47
1596903444,53,56
1596905327,28,55
1596906930,35,83
1596908346,37,53
1596911114,69,67
1596912613,22,73
1596915256,58,68
1596918089,73,47
1596918858,85,33
1596922457,169,91
1596926054,66,75
1596928230,43,49
1596929654,23,38
1596933255,63,88
1596935176,41,37
1596936317,16,3
1596937815,34,58
1596940455,52,56
1596944068,56,94
1596947655,79,102
1596949445,44,53
1596950716,17,18
1596952216,21,50
1596953531,23,39
1596954855,23,50
1596956461,34,57
1596957913,33,12
1596959416,45,73
1596960991,24,51
1596962054,19,35
1596963539,28,47
1596965114,33,21
1596965656,7,33
1596966788,21,27
1596968714,43,42
1596970218,26,71
1596972855,33,80
1596974021,22,23
1596975784,24,27
1596976455,6,32
1596978955,50,49
1596980055,22,38
1596981254,16,15
1596983114,64,29
1596983655,20,36
1596986719,92,52
1596987256,19,23
1596988516,32,14
1596990855,60,65
1596992102,39,14
1596993913,49,26
1596995754,46,43
1596997514,41,33
1596998055,13,37
1596999808,46,62
1597001655,62,33
1597002992,23,16
1597004717,43,16
1597005259,17,31
1597008853,81,67
1597010226,32,16
1597011377,33,26
1597012456,31,37
1597016053,75,49
1597017464,38,11
1597019118,43,30
1597019654,18,26
1597022319,56,45
1597023255,28,34
1597024729,29,33
1597026316,31,14
1597027817,33,41
1597030456,70,65
1597031977,35,27
1597033518,41,5
1597034057,15,26
1597035356,26,16
1597037121,31,34
