DateTime,AddedIPs,RemovedIPs
1596038608,1,0
1596041429,1,0
1596042688,1,1
1596044075,0,2
1596046103,0,1
1596047216,1,0
1596050039,0,2
1596051497,0,1
1596054330,1,1
1596054874,0,1
1596056336,0,2
1596058468,0,1
1596060351,1,1
1596063037,1,1
1596064259,1,1
1596065567,0,1
1596068729,1,0
1596069265,0,1
1596073820,0,2
1596075804,0,1
1596076469,0,2
1596078832,0,1
1596081858,1,2
1596083673,0,2
1596085174,1,1
1596087841,0,1
1596099028,0,3
1596101612,1,0
1596103365,1,1
1596106163,1,0
1596108869,1,0
1596112468,2,1
1596114529,1,3
1596116258,1,1
1596117863,0,2
1596120307,0,1
1596121630,0,2
1596124229,1,1
1596126325,0,3
1596127828,1,5
1596129350,3,0
1596134067,1,0
1596136621,2,0
1596137668,1,0
1596141276,1,2
1596142396,2,0
1596143856,2,0
1596145827,1,0
1596148466,1,1
1596152080,0,1
1596154136,0,3
1596156629,0,1
1596159268,0,2
1596161836,1,0
1596165564,1,1
1596166467,1,0
1596169231,1,0
1596172407,0,1
1596173668,1,0
1596177271,0,1
1596184468,1,1
1596185950,1,0
1596191670,1,0
1596193478,1,4
1596195272,1,1
1596197960,2,1
1596200720,0,1
1596202470,1,0
1596204829,0,1
1596208931,1,0
1596211785,1,0
1596219796,0,1
1596233725,0,1
1596235832,0,1
1596237837,0,1
1596241550,0,1
1596245669,1,0
1596249267,0,1
1596252278,0,2
1596255468,4,1
1596260066,0,2
1596263127,1,0
1596267261,1,1
1596269015,0,1
1596271827,0,2
1596275429,1,0
1596278067,1,0
1596281668,2,1
1596283695,1,4
1596285705,2,7
1596288328,0,2
1596298377,0,1
1596299667,0,1
1596303265,0,1
1596307831,0,1
1596316469,0,1
1596320731,1,2
1596322232,0,1
1596324870,0,2
1596336636,0,2
1596339274,2,0
1596342874,0,1
1596353124,1,0
1596356025,0,1
1596360869,0,1
1596362621,0,1
1596371665,0,1
1596376226,0,1
1596377477,0,1
1596382466,0,1
