DateTime,AddedIPs,RemovedIPs
1596612276,39,53
1596614169,56,41
1596616088,26,59
1596618049,35,25
1596619929,60,31
1596622147,52,59
1596624037,40,53
1596627849,34,43
1596631688,32,35
1596633608,44,33
1596635554,39,40
1596637462,14,43
1596639366,24,14
1596642252,24,24
1596646089,21,24
1596648006,54,21
1596649954,48,52
1596651875,33,49
1596653767,47,32
1596655685,20,48
1596657650,45,21
1596659524,41,41
1596661694,53,42
1596663607,45,52
1596665560,48,48
1596667445,32,49
1596669368,41,31
1596671319,28,41
1596673204,50,28
1596675125,44,46
1596677076,28,48
1596678967,47,28
1596680885,22,48
1596682840,45,21
1596684724,34,42
1596686647,45,33
1596688599,31,44
1596690486,55,35
1596694356,41,56
1596696248,32,41
1596698169,47,31
1596700117,32,46
1596702006,36,34
1596703927,29,35
1596705879,36,28
1596707770,36,33
1596709687,29,38
1596711638,38,31
1596713526,34,38
1596717396,35,35
1596719294,37,31
1596721239,44,38
1596723132,11,47
1596725049,25,7
1596726977,55,26
1596728896,24,56
1596730834,71,27
1596732730,62,70
1596736595,65,59
1596738487,28,69
1596740440,57,28
1596744247,43,54
1596746204,50,44
1596748115,56,47
1596750007,46,56
1596751932,48,48
1596753874,34,50
1596755768,47,31
1596757688,44,49
1596759632,49,44
1596761525,52,47
1596765393,55,50
1596767289,34,57
1596771157,58,35
1596773051,61,58
1596774994,67,61
1596776911,66,67
1596778810,62,65
1596780763,55,62
1596782650,53,56
1596784567,47,55
1596788409,37,44
1596790327,34,40
1596792275,29,33
1596794193,56,25
1596796097,41,58
1596798045,47,43
1596799933,40,45
1596802101,22,42
1596804038,59,23
1596805929,60,58
1596807880,51,58
1596809780,53,51
1596811693,57,54
1596813634,69,59
1596815535,68,66
1596817447,59,69
1596819398,57,59
1596821286,55,51
1596823219,66,61
1596825154,58,66
1596827055,65,53
1596828967,65,70
1596830916,64,65
1596832806,57,65
1596834727,61,53
1596836691,53,62
1596838600,58,56
1596842406,66,58
1596844325,64,64
1596846275,61,63
1596848166,64,62
1596850085,59,59
1596852036,71,62
1596853932,68,73
1596855848,63,68
1596859687,59,64
1596861612,64,59
1596863555,64,64
1596865450,57,62
1596867369,60,55
1596869316,48,63
1596871204,57,50
1596873125,57,50
1596875077,39,63
1596876969,44,40
1596878929,49,46
1596880851,57,47
1596882726,50,54
1596884652,60,49
1596886595,57,64
1596888490,62,56
1596890406,63,59
1596892358,62,65
1596894253,55,62
1596896170,34,58
1596898117,44,32
1596900032,50,42
1596901929,59,52
1596903890,48,60
1596905767,69,48
1596907686,43,70
1596909635,62,41
1596911524,47,57
1596913701,46,51
1596915610,47,46
1596919448,48,49
1596921384,37,47
1596923317,36,38
1596925209,49,33
1596930966,39,48
1596933131,52,40
1596935049,48,50
1596936994,53,48
1596938894,43,53
1596940811,51,44
1596942758,41,54
1596944649,40,39
1596946571,64,42
1596948517,55,60
1596950410,49,59
1596952328,49,48
1596954279,38,51
1596956170,45,37
1596958089,37,45
1596960040,46,39
1596961931,59,45
1596965794,46,57
1596967691,44,43
1596969608,46,46
1596971559,28,47
1596973447,32,30
1596975369,40,32
1596977316,30,39
1596979206,50,33
1596981127,53,46
1596983077,27,57
1596984967,62,26
1596986889,65,59
1596988842,56,59
1596990729,59,61
1596992653,60,56
1596994595,62,68
1596996489,58,61
1596998412,47,50
1597002249,59,51
1597004169,55,62
1597006120,55,56
1597008006,48,50
1597009929,52,53
1597013772,57,46
1597015685,62,58
1597017641,62,63
1597019529,61,62
1597021695,62,60
1597023610,52,59
1597025558,50,51
1597027450,62,53
1597029370,58,62
1597031323,57,60
1597033207,62,57
1597035127,67,63
1597037122,51,67
1597038967,66,47
1597040886,45,70
1597042843,58,46
1597044728,53,56
