DateTime,AddedIPs,RemovedIPs
1592245325,4,0
1592256343,2,3
1592267234,5,2
1592278190,1,5
1592289118,2,1
1592300178,2,2
1592310830,2,5
1592321438,1,9
1592332056,1,1
1592342686,4,6
1592353515,2,6
1592364365,0,4
1592375426,0,1
1592385551,7,1
1592394266,1,1
1592405142,1,2
1592415729,2,4
1592426426,4,5
1592437236,1,4
1592448101,2,3
1592457479,2,2
1592468079,0,2
1592479094,2,4
1592489943,2,2
1592500974,4,1
1592511969,5,2
1592523112,4,2
1592539302,2,1
1592549862,0,2
1592560755,0,1
1592571682,2,3
1592582384,2,5
1592592982,1,6
1592603715,1,0
1592614796,2,2
1592626003,0,3
1592636333,2,0
1592647226,3,1
1592657878,1,1
1592668703,1,0
1592679675,3,2
1592690187,3,5
1592700979,3,3
1592711944,1,0
1592722986,3,0
1592733386,2,2
1592743945,0,5
1592754289,2,1
1592765302,3,13
1592776258,6,6
1592787294,1,7
1592798198,1,3
1592808789,1,2
1592819236,0,6
1592830274,3,2
1592841233,2,3
1592852174,1,3
1592863179,4,3
1592874245,1,2
1592884958,1,1
1592895798,2,5
1592906537,0,5
1592917645,2,5
1592928508,2,2
1592939252,1,4
1592949464,5,0
1592960078,0,3
1592971135,0,3
1592982143,3,4
1592993159,4,7
1593003385,2,3
1593013871,2,2
1593024852,2,3
1593035710,3,2
1593046521,6,1
1593057330,2,4
1593067891,0,2
1593078926,3,2
1593089998,3,1
1593101179,2,1
1593112218,1,5
1593122920,3,4
1593133469,2,2
1593144396,1,1
1593155420,2,3
1593164613,2,5
1593175650,3,1
1593186563,1,2
1593197510,3,5
1593207881,3,2
1593218661,4,3
1593229677,3,4
1593240616,3,4
1593251006,6,3
1593261675,4,3
1593272637,2,3
1593283553,0,1
1593294178,6,1
1593305132,2,2
1593315919,6,2
1593326457,1,26
1593337048,2,8
1593347777,4,4
1593358572,1,2
1593369327,8,1
1593380019,1,3
1593390791,5,4
1593401596,3,0
1593412459,0,3
1593423343,6,2
1593434330,5,6
1593445429,2,1
1593456390,1,2
1593467445,5,3
1593478005,4,3
1593489040,3,2
1593500001,3,3
1593510943,2,1
1593521968,3,3
1593533325,7,5
1593544278,8,5
1593555224,1,2
1593566010,7,2
1593576657,5,2
1593587653,5,2
1593598116,6,4
1593609160,2,0
1593619985,4,0
1593630141,4,5
1593641345,5,3
1593652175,0,3
1593663124,4,4
1593674006,9,2
1593684970,4,2
1593695757,1,3
1593706522,6,3
1593717356,2,2
1593727491,2,4
1593736976,2,2
1593747452,0,2
1593758098,2,2
1593768587,4,8
1593779485,2,3
1593790549,2,6
1593801556,1,3
1593812588,4,6
1593823624,5,8
1593834499,2,7
1593845175,3,4
1593856211,1,6
1593867192,4,4
1593878058,4,4
1593889009,3,4
1593899938,3,2
1593910926,2,1
1593922056,1,6
1593932861,2,5
1593943831,3,1
1593954695,4,2
1593965650,2,0
1593975825,3,2
1593987004,3,1
1593997834,1,1
1594008514,4,1
1594019259,1,3
1594030265,2,2
1594041125,5,3
1594051905,3,1
1594062928,4,3
1594073386,3,1
1594084259,2,4
1594095202,3,0
1594106067,2,4
1594116185,2,6
1594127305,0,3
1594138535,0,4
1594149176,2,4
1594159742,3,5
1594170720,4,1
1594180728,1,2
1594191730,2,2
1594202905,2,4
1594213282,3,1
1594224111,2,2
1594235274,0,3
1594246077,1,4
1594256092,1,3
1594267170,3,4
1594277739,3,1
1594288495,3,3
1594299235,3,3
1594310017,3,4
1594320880,2,0
1594331640,1,5
1594342423,1,1
1594352889,2,0
1594363788,1,0
1594374486,5,1
1594384964,1,3
1594396025,0,2
1594406929,2,1
1594417543,1,3
1594439304,2,2
1594450227,3,2
1594461632,3,2
1594472467,3,2
1594483426,1,0
1594494063,4,7
1594504763,1,1
1594515602,3,3
1594526248,3,1
1594537021,3,2
1594547969,2,2
1594558847,2,1
1594569340,5,3
1594580145,3,4
1594591064,2,3
1594601839,1,1
1594612607,3,1
1594623186,3,1
1594633938,9,0
1594644514,1,1
1594655416,1,4
1594666580,1,1
1594676863,1,4
1594687760,3,3
1594698704,1,2
1594708869,3,1
1594719758,2,0
1594730524,5,2
1594740884,19,2
1594751971,7,2
