DateTime,AddedIPs,RemovedIPs
1593405842,882,138
1593417362,296,306
1593428882,82,86
1593444483,62,60
1593452162,57,62
1593456002,62,57
1593463682,75,79
1593467522,66,65
1593475202,43,38
1593483122,873,887
1593498482,607,593
1593506162,317,321
1593517682,260,261
1593521523,261,260
1593525363,260,261
1593529443,191,205
1593540962,150,132
1593552482,476,486
1593564002,189,192
1593571682,834,866
1593583202,704,671
1593598562,334,344
1593610082,251,253
1593621602,185,182
1593625683,182,185
1593629522,300,299
1593637210,136,137
1593649201,397,380
1593656882,898,873
1593668403,626,657
1593679922,313,311
1593695282,264,258
1593702962,153,155
1593714482,124,112
1593733682,110,122
1593741362,275,273
1593752882,873,879
1593760562,571,549
1593779762,348,343
1593783602,96,108
1593787443,148,143
1593795122,245,242
1593802810,63,61
1593806642,163,178
1593822002,151,155
1593829683,191,881
1593841202,878,178
1593852722,451,451
1593856562,451,451
1593860402,451,451
1593864242,132,131
1593868082,286,290
1593875762,133,131
1593883442,168,175
1593887522,38,35
1593895202,153,170
1593899043,48,43
1593902882,43,48
1593906722,48,43
1593910563,145,145
1593914402,27,26
1593918481,880,875
1593922322,228,517
1593926162,517,228
1593930004,586,565
1593941522,325,335
1593953042,310,315
1593964562,207,210
1593968409,79,80
1593976083,151,155
1593987602,130,128
1594002962,888,880
1594022163,602,593
1594030322,300,304
1594038002,257,260
1594053362,177,177
1594061042,137,144
1594064882,144,137
1594068722,137,144
1594080243,114,118
1594084322,99,96
1594088162,896,882
1594103522,600,612
1594115042,306,280
1594122722,259,271
1594134483,176,181
1594138562,181,176
1594142402,176,181
1594150082,162,167
1594157762,100,98
1594161602,98,100
1594169282,564,592
1594173122,532,501
1594176963,875,891
1594196162,587,582
1594200002,308,301
1594211522,339,343
1594215362,343,339
1594219203,339,343
1594223042,137,127
1594226882,127,137
1594230722,137,127
1594238402,88,100
1594250162,88,92
1594261682,911,876
1594280883,719,738
1594284722,498,496
1594296482,198,192
1594300322,192,198
1594304162,198,192
1594308242,236,253
1594323602,124,122
1594338962,294,298
1594342802,130,125
1594346642,879,887
1594358162,575,572
1594373522,291,308
1594385042,235,231
1594400407,173,175
1594412162,142,146
1594419842,120,132
1594431362,322,316
1594435202,316,322
1594439042,871,851
1594446722,854,868
1594450563,873,854
1594462082,325,327
1594469762,327,325
1594473603,459,457
1594477442,201,205
1594481282,205,201
1594488962,204,203
1594496642,149,154
1594500482,42,37
1594512012,89,91
1594515842,53,58
1594519682,20,872
1594531204,176,0
1594538882,852,168
1594550642,495,476
1594562162,293,295
1594569842,205,197
1594573682,197,205
1594577522,291,289
1594589042,161,164
1594596722,44,48
1594600563,102,96
1594604402,33,31
1594608242,901,900
1594619762,709,719
1594635122,468,473
1594638962,473,468
1594642802,468,473
1594646643,244,240
1594650482,240,244
1594654322,280,272
1594665842,225,239
1594677363,138,133
1594688882,57,64
1594692723,860,877
1594704963,722,721
1594720562,310,287
1594736162,43,44
1594740002,21,23
1594751522,28,29
1594763042,47,42
1594766883,42,47
1594770963,47,42
1594774803,30,31
1594778883,870,885
1594794483,613,615
1594802162,301,301
1594825202,242,230
1594832882,254,284
1594836722,141,118
1594840562,118,141
1594848242,239,222
1594852322,130,124
1594860002,124,130
1594863842,256,248
1594867682,913,869
1594879213,752,777
1594894802,285,293
1594906322,240,239
1594917843,219,224
1594925522,72,81
1594940882,85,77
1594948562,58,58
1594952402,861,881
1594967762,612,589
1594975442,256,269
1594986963,233,236
1594990803,236,233
1594994882,233,236
1595006403,168,169
1595010242,127,124
1595017922,124,127
1595021762,231,231
1595025602,118,115
1595029442,426,428
1595044812,864,862
1595052484,510,497
1595071682,422,422
1595079362,88,86
1595083202,86,88
1595087042,183,184
1595090882,74,74
1595094722,74,74
1595098563,76,77
1595102402,61,64
1595106242,128,133
1595113923,42,40
1595121603,120,119
1595125443,180,876
1595133122,859,161
1595136962,161,859
