DateTime,AddedIPs,RemovedIPs
1596865450,17,20
1596867369,18,15
1596869316,108,15
1596871204,14,14
1596872702,240,0
1596873125,15,0
1596875077,8,9
1596876302,119,0
1596876969,13,13
1596878929,16,7
1596879901,97,0
1596880851,19,19
1596882726,9,15
1596884652,23,16
1596886595,17,18
1596887101,231,0
1596888490,24,0
1596890406,20,3
1596892358,26,52
1596894253,15,0
1596894301,202,0
1596896170,9,8
1596898117,8,26
1596900032,11,0
1596901929,142,21
1596903368,89,0
1596903890,11,30
1596905767,23,0
1596907686,9,29
1596908702,220,0
1596909635,18,25
1596911524,14,0
1596913701,11,54
1596915610,11,16
1596919448,108,36
1596919502,196,0
1596921384,11,19
1596923317,8,15
1596925209,12,10
1596930007,108,76
1596930966,13,38
1596931202,211,3015
1596933131,17,20
1596935051,517,485
1596936994,16,19
1596938894,100,22
1596940811,65,114
1596941525,40,0
1596942001,87,0
1596942758,15,22
1596944411,500,500
1596944649,9,0
1596945602,82,0
1596946571,17,23
1596948517,18,13
1596949203,80,0
1596949925,11,33
1596950410,15,15
1596952328,19,18
1596952802,113,0
1596954279,12,22
1596956170,18,11
1596958089,11,14
1596960040,17,18
1596961931,283,8
1596965794,10,26
1596967691,214,25
1596969608,17,11
1596971559,8,24
1596973447,7,15
1596974402,195,0
1596975369,15,20
1596977316,13,20
1596979206,16,18
1596981127,17,12
1596981601,182,0
1596983077,8,8
1596984967,23,10
1596986889,21,12
1596988842,20,16
1596990729,235,13
1596992653,23,21
1596994595,18,13
1596996489,116,18
1596998412,123,14
1597002249,19,22
1597004169,112,1
1597006120,13,16
1597007702,168,0
1597008006,14,10
1597009929,18,9
1597011302,84,0
1597013772,19,13
1597014488,45,0
1597015685,17,0
1597017641,18,14
1597018502,166,2579
1597019529,24,0
1597021695,22,35
1597023612,14,14
1597025558,60,15
1597025701,203,0
1597027450,28,21
1597029370,20,14
1597029847,32,63
1597031329,518,506
1597032760,341,356
1597033207,223,15
1597035127,31,17
1597036328,22,22
1597037122,16,11
1597038967,17,18
1597040103,183,0
1597040886,18,10
1597042843,20,22
1597044728,13,13
1597046652,14,16
1597047302,229,0
1597048593,16,17
1597050497,20,0
1597052416,20,11
1597054357,27,12
1597056249,167,15
1597058170,18,6
1597060121,300,5
1597062016,23,17
1597063929,22,9
1597065878,159,12
1597067770,23,12
1597069685,508,7
1597071634,33,20
1597073655,31,14
1597075715,20,16
1597077610,217,15
1597079525,13,24
1597080601,205,0
1597081475,15,19
1597083369,24,17
1597085289,10,12
1597087802,202,0
1597089125,19,19
1597091047,13,10
1597092993,21,13
1597094888,17,13
1597095001,215,0
1597096814,16,16
1597098752,28,0
1597100654,15,20
1597102202,190,0
1597103048,44,85
1597104529,25,28
1597106406,28,17
1597108331,26,21
1597109402,206,2254
1597110272,17,11
1597112164,18,12
1597113847,40,95
1597114084,23,24
1597114565,32,0
1597116035,20,18
1597117926,134,17
1597119849,23,21
1597120807,17,0
1597121791,296,30
1597123690,19,22
1597125635,30,16
1597126123,841,849
1597128487,290,21
1597130434,16,20
1597131902,135,0
1597132327,12,15
1597134248,13,16
1597135502,166,0
1597136193,16,12
1597138091,22,17
1597139102,128,0
1597140069,11,19
1597141958,16,25
1597143851,16,22
1597145771,14,11
1597146302,412,0
1597147718,15,19
1597149606,23,19
1597151529,29,17
1597153474,14,22
1597153502,303,0
1597155366,11,23
1597161124,183,61
1597163079,184,16
1597164966,11,32
1597166925,7,9
1597168896,159,12
1597170733,30,18
1597171502,367,0
1597172656,18,9
1597174592,32,0
1597176491,16,14
1597178413,28,11
1597180354,172,16
1597182246,22,14
1597182301,268,0
1597184165,16,16
1597187767,42,0
1597189925,182,35
1597190402,152,2791
1597191876,14,25
1597193768,11,26
1597194002,128,0
1597195685,17,28
1597197713,150,18
1597198323,38,0
1597199528,9,23
1597201202,92,0
1597203130,29,62
1597203608,13,38
1597204802,95,0
1597205555,15,21
1597207447,13,25
1597208402,111,0
1597209368,41,57
1597211311,28,17
1597212002,115,0
1597213239,20,26
1597215126,18,15
1597215602,142,0
1597217074,8,12
1597217290,681,858
1597219203,230,0
1597220890,10,25
1597222841,10,11
1597224730,129,16
1597226892,126,14
1597228812,20,19
1597230002,123,0
1597230762,18,13
1597233160,20,17
1597235051,14,13
1597236996,15,24
1597237202,341,0
1597238886,19,19
1597240813,28,15
1597242753,5,11
1597244922,220,0
1597246818,165,0
1597249042,15,17
1597250930,5,11
1597252502,289,0
1597252836,13,7
1597254771,19,11
1597256652,12,24
1597258595,16,26
1597259702,260,0
1597260488,23,21
1597262416,21,18
1597264353,17,19
1597266260,19,23
1597266901,247,0
1597268167,19,22
1597270132,23,16
1597272008,19,17
1597273931,14,0
1597274101,222,0
1597275875,17,0
1597276330,37,76
1597277775,17,15
1597279696,15,12
1597281302,183,3243
1597283527,24,29
1597285451,25,20
1597287365,43,83
1597287846,39,0
1597288501,233,0
1597289285,23,11
1597291218,15,12
1597293153,15,16
1597294083,37,0
1597295321,19,10
1597297206,162,22
1597299132,18,23
1597299301,253,0
1597301080,27,16
1597302966,22,19
1597304886,16,11
1597306831,178,0
1597308492,505,705
1597308724,9,12
1597310655,9,9
1597312593,284,12
1597314034,1,0
1597314502,22,10
1597316408,10,21
1597318356,312,13
1597320247,14,19
1597321802,156,0
1597322166,27,9
1597324112,21,18
1597325401,161,0
1597326008,18,19
1597327930,3,25
