DateTime,AddedIPs,RemovedIPs
1596315942,4631,4617
1596317522,139,154
1596322882,1,6
1596325202,108,114
1596326414,35,37
1596327068,4930,4928
1596333849,2,1
1596336722,852,822
1596337441,5432,5610
1596344402,232,240
1596344470,0,1
1596348482,2525,2521
1596355444,2,1
1596356162,360,377
1596359049,1788,1740
1596359220,0,1
1596366335,3,2
1596366353,4,0
1596367922,391,377
1596369841,2066,2034
1596371762,300,312
1596375602,312,300
1596377304,4,3
1596378522,1,0
1596379442,184,177
1596380641,3039,2989
1596382807,83,68
1596385811,256,0
1596388065,3,0
1596391441,3709,3700
1596394802,171,177
1596398898,5,2
1596402482,4484,4456
1596403579,0,9
1596409887,2,2
1596411030,30,50
1596413041,4966,4942
1596414002,540,523
1596420806,2,3
1596421682,845,846
1596423841,5433,5621
1596431372,3,2
1596434641,2415,2384
1596437042,603,558
1596442211,1,2
1596444963,381,373
1596445441,1962,1884
1596445564,2,0
1596446185,252,0
1596452771,5,0
1596453385,2,2
1596456525,2611,2574
1596460322,200,198
1596463488,2,5
1596464162,198,200
1596467041,3448,3417
1596468002,150,157
1596471124,59,67
1596474165,3,5
1596477841,4072,4056
1596479523,99,101
1596485004,2,4
1596488641,4502,4516
1596490005,0,17
1596491043,161,172
1596495636,6,6
1596497421,47,47
1596499441,4859,4874
1596506647,2,1
1596506738,1,0
1596510242,864,864
1596510399,5320,5506
1596517251,0,1
1596521041,1791,1802
1596528064,2,2
1596528391,1,0
1596531841,1587,1570
1596532883,0,4
1596538981,3,3
1596539153,4,0
1596542641,1300,1260
1596546351,1,0
1596549762,3,2
1596553441,2186,2166
1596559479,67,64
1596559902,0,2
1596564241,2872,2845
1596570978,4,1
1596575041,3351,3346
1596578785,0,9
1596581792,4,2
1596583823,54,49
1596585841,3809,3805
1596592718,4,2
1596596641,4391,4517
1596603801,2,2
1596606482,863,830
1596607441,1545,1550
1596612714,1,0
1596614703,3,0
1596618241,1513,1504
1596622082,176,174
1596625512,3,3
1596625574,7,0
1596629041,1340,1295
1596629762,128,139
1596633602,139,128
1596636485,8,4
1596637442,128,139
1596639841,2071,2055
1596641282,146,143
1596647289,34,33
1596649889,5,1
1596650641,2749,2735
1596658017,3,2
1596660483,253,258
1596661441,3478,3464
1596662803,0,4
1596664322,142,154
1596669038,3,1
1596670604,116,62
1596672012,165,160
1596672241,4098,4075
1596675818,1015,1015
1596679924,887,835
1596680127,4,1
1596683041,4709,4832
1596690740,2,2
1596691484,627,655
1596693841,2023,2014
1596701674,2,3
1596702962,325,318
1596704641,1761,1739
1596704775,2,0
1596705371,0,1
1596706803,318,316
1596710645,316,318
1596712141,9,0
1596712573,4,1
1596715441,2099,2043
1596718322,297,290
1596719772,0,506
1596720731,56,57
1596722162,290,297
1596723182,3,2
1596723371,0,508
1596726003,396,392
1596726241,3060,3055
1596733536,1,0
1596734139,2,4
1596737041,3714,3680
1596737522,109,113
1596743137,510,0
1596745190,2,3
1596747841,4192,4182
1596748596,0,9
1596749042,104,110
1596751810,2,0
1596756218,5,2
1596757545,70,44
1596758641,4652,4649
1596760562,74,74
1596762903,1,0
1596767248,3,2
1596768243,855,832
1596769441,5132,5294
1596778274,4,4
1596779762,609,610
1596780241,1861,1855
1596780342,1,0
1596788787,2,0
1596791041,1641,1613
1596791523,287,272
1596799607,5,2
1596799846,0,256
1596801841,1563,1526
1596802547,8,252
1596808594,416,46
1596809730,0,507
1596810722,278,296
1596812021,0,255
1596812641,2365,2343
1596818403,159,168
1596821515,4,4
1596822242,168,159
1596823441,2982,2955
1596826082,278,295
1596826602,0,256
1596832230,3,2
1596834241,3658,3619
1596834941,0,10
1596836741,0,255
1596837610,113,124
1596843237,1,2
1596843997,40,39
1596845283,4283,4297
1596854180,1,1
1596855841,4969,5105
1596860642,873,817
1596865199,3,2
1596866641,2124,2111
1596872162,601,618
1596876188,4,4
1596877441,1798,1768
1596877567,1,0
1596878149,0,1
1596883682,325,341
1596884814,5,0
1596886247,0,253
1596887290,3,3
1596888241,1912,1866
1596895202,218,235
1596896675,33,36
1596897984,3,2
1596898803,488,0
1596899041,2728,2703
1596904600,0,509
1596906722,154,155
1596908254,3,2
1596909841,3437,3395
1596918482,123,128
1596919157,2,4
1596920641,3842,3845
1596921338,0,6
1596926162,69,79
1596930186,43,39
1596931441,4219,4203
1596933044,256,0
1596941251,6,2
1596942241,4778,4956
1596945363,862,803
1596947446,243,0
1596949210,744,762
1596952268,3,1
1596953042,255,255
1596953234,1826,1824
1596960723,438,443
1596963323,4,1
1596963841,1723,1687
1596964564,165,173
1596971140,11,0
1596972242,242,226
1596974189,0,2
1596974641,1716,1664
1596979922,106,108
1596981141,253,0
1596983762,128,129
1596984517,42,46
1596985100,2,3
1596985441,2776,2755
1596987603,67,64
1596995281,143,157
1596995970,5,4
1596996241,3545,3509
1597006809,106,123
1597007089,4002,3995
1597007798,0,4
1597014482,102,104
1597016863,39,39
1597018052,4467,4488
1597019451,504,0
1597026002,828,794
1597028641,5029,5181
1597029089,1,2
1597039441,2038,1938
1597040151,3,3
1597041362,549,571
1597047350,1,0
1597050241,1821,1677
1597051153,1,3
1597052882,290,259
1597057236,1,1
1597057957,4,0
1597060563,289,291
1597061041,2108,2065
1597062177,2,4
1597071841,3091,3086
1597072571,35,34
1597072760,3,2
1597076162,139,160
1597082641,3838,3813
1597083749,2,1
1597091522,125,158
1597093441,4274,4353
1597093904,0,8
1597094620,5,0
1597095362,88,114
1597103191,49,39
1597104241,4636,4600
1597105591,0,3
1597110721,106,105
1597114563,805,732
1597115041,5058,5266
1597116558,1,2
1597125841,1932,1914
1597127488,4,1
1597133762,572,575
1597136641,1754,1721
1597137603,265,288
1597138282,3,1
1597143945,12,0
1597145282,237,264
1597147253,0,241
1597147441,2035,1974
1597149122,263,235
1597150120,5,0
1597152962,234,263
1597154432,0,512
1597156802,149,141
1597158241,2876,2871
1597159495,2,3
1597160411,50,42
1597160642,140,147
1597164482,147,140
1597168322,127,134
1597169041,3504,3475
1597170705,4,6
1597172162,136,122
1597176941,4,0
1597180082,4202,4219
1597180542,0,4
1597181443,3,1
1597189714,39,34
1597190641,4540,4495
1597191602,74,89
1597194381,239,0
1597199282,848,738
1597201441,4916,5104
1597202369,3,3
1597212241,2039,2033
1597212979,2,1
1597214642,591,588
1597216026,1,0
1597222322,293,295
1597223041,1721,1678
1597223648,0,6
1597234082,2391,2339
1597235451,3,255
1597244403,255,0
1597244641,3022,2976
1597245319,2,2
1597248519,63,66
1597249442,171,179
1597255441,3737,3747
1597256404,5,2
1597260963,134,142
1597263128,1,0
1597266406,4184,4152
1597266938,0,7
1597267912,5,2
1597270538,247,0
1597273545,1,0
1597276322,244,268
1597277041,4592,4567
1597277771,2,4
1597280163,81,72
1597284076,831,776
1597287841,4991,5178
1597288779,6,2
1597298641,1928,1897
1597299602,586,615
1597299675,5,1
1597309441,1812,1784
1597309573,1,0
1597310599,6,3
1597314962,262,288
1597316747,8,0
1597318802,284,263
1597320241,2057,2045
1597321686,4,39
1597331041,2960,2912
1597332168,3,79
1597334162,149,158
1597336353,36,33
1597341841,3580,3566
1597342552,5,1
1597345682,141,138
1597353362,4097,4110
1597353806,6,13
1597357202,30,27
1597358184,255,0
1597362334,34,46
1597363441,4403,4386
1597364882,66,114
1597368722,20,22
1597372562,831,780
1597374385,4801,4954
1597375907,9,51
1597386912,3,42
1597387922,551,573
1597390329,2258,2241
1597396883,0,2
1597397780,5,40
1597399443,282,267
1597400177,1587,1566
1597406679,1,1
1597406794,6,0
1597407123,247,247
1597408763,3,71
1597410241,2047,1995
1597419771,5,116
1597421041,2829,2813
1597422482,159,168
1597424170,51,66
1597426323,133,144
1597430162,144,133
1597430322,8,3
1597431841,3376,3376
1597434002,131,145
1597437036,1,0
1597437843,77,80
1597439736,0,9
1597441340,2,1
1597441682,80,77
1597442641,3882,3868
1597445522,76,80
1597448487,55,44
1597451496,245,0
1597452428,3,0
1597453205,29,29
1597453691,4526,4649
1597459626,251,0
1597460882,852,797
1597463474,4,1
1597464241,2119,2120
1597468562,511,509
1597472402,800,819
1597474345,4,5
1597475041,1678,1658
1597480082,434,422
1597483922,422,434
1597485324,5,3
1597485841,1457,1436
1597487762,3,10
1597489548,6,0
1597495442,346,359
1597496402,6,4
1597496753,1764,1733
1597503993,1,0
1597506963,206,197
1597507441,2574,2543
1597512273,46,39
1597518027,2,2
1597518100,255,0
1597518482,3311,3305
1597525552,0,2
1597529047,3,2
1597529143,3550,3539
1597530242,123,130
1597535193,62,106
1597537923,82,95
1597540096,4148,4282
1597549442,861,801
1597549650,250,0
1597550641,1770,1743
1597551105,2,3
1597553282,426,464
1597557122,464,426
1597560963,426,464
1597561441,1440,1412
1597562144,4,4
1597564802,767,738
1597569343,0,3
1597572241,1402,1376
1597572996,3,2
1597575997,4,0
1597576802,178,182
1597583041,1331,1296
1597583147,1,0
1597583795,2,3
1597584482,425,437
1597585448,43,37
1597588322,195,188
1597592402,188,195
1597593137,256,0
1597593841,2107,2097
1597594624,3,8
1597595429,0,254
1597596243,195,188
1597604162,0,1
1597604641,2640,2615
1597605609,1,2
1597608002,185,187
1597612535,0,11
1597615682,3267,3316
1597617038,5,5
1597619523,31,31
1597621728,55,61
1597626241,3956,4051
1597626387,7,3
1597627203,111,114
1597631043,862,817
1597637041,1709,1708
1597637542,3,6
1597642562,604,613
1597647841,1358,1348
1597648542,1,6
1597657922,307,310
1597658641,1305,1173
1597659380,5,1
