DateTime,AddedIPs,RemovedIPs
1597165321,2,0
1597166521,2,0
1597167121,3,0
1597168921,9,0
1597170121,5,0
1597170722,2,0
1597172521,1,0
1597173121,3,0
1597174381,3,0
1597174922,1,0
1597175521,2,0
1597176121,4,0
1597177321,1,1
1597177921,2,0
1597178521,4,0
1597179721,2,0
1597180921,1,0
1597182121,3,0
1597182721,3,0
1597183321,5,0
1597184521,1,0
1597185121,1,0
1597185182,3,0
1597185721,1,0
1597186922,3,1
1597188121,2,0
1597188721,4,0
1597188781,1,0
1597190522,4,0
1597191722,2,0
1597194722,1,0
1597195322,3,0
1597195981,1,0
1597196521,3,0
1597198921,2,0
1597200122,2,0
1597202521,2,0
1597203122,1,0
1597203181,1,0
1597204321,3,0
1597206121,1,1
1597207321,3,0
1597208522,3,0
1597209122,3,0
1597209721,1,0
1597210381,1,0
1597210921,5,1
1597211521,2,0
1597212121,2,0
1597213321,6,0
1597213981,1,0
1597215121,3,0
1597215721,1,1
1597218121,2,0
1597218721,3,0
1597219322,4,0
1597220522,1,0
1597221181,1,0
1597221721,3,1
1597222921,2,2
1597223521,1,0
1597224721,2,0
1597224781,1,0
1597225321,4,0
1597226521,3,0
1597227121,6,0
1597228921,1,0
1597229521,1,0
1597230122,1,0
1597231321,3,0
1597231921,2,0
1597233722,4,0
1597234321,4,0
1597234921,1,0
1597235521,1,0
1597236121,1,0
1597237322,1,0
1597237921,1,0
1597238522,3,0
1597239721,2,0
1597240321,4,0
1597240921,3,0
1597241521,4,0
1597242121,7,0
1597242781,1,0
1597243321,3,0
1597243921,1,0
1597244521,1,0
1597245121,0,1
1597245722,3,0
1597246921,2,0
1597247522,2,0
1597248121,4,0
1597248722,5,0
1597249321,2,0
1597250521,2,0
1597251721,1,0
1597252922,1,0
1597253581,1,0
1597254122,3,0
1597255321,2,0
1597255921,3,0
1597256521,3,0
1597257121,6,0
1597257182,1,0
1597257721,3,0
1597258321,1,0
1597258921,0,1
1597260121,5,0
1597261321,1,0
1597261921,1,0
1597262521,5,0
1597263721,2,0
1597264921,2,1
1597266121,1,0
1597267321,1,0
1597267981,2,0
1597269121,2,0
1597269722,1,0
1597270921,1,0
1597271582,1,0
1597272122,3,0
1597273322,2,0
1597273921,2,0
1597275181,1,0
1597275721,26,0
1597276321,3,0
1597276921,2,0
1597278122,1,2
1597279321,2,1
1597280521,1,0
1597282381,1,0
1597282922,2,0
1597284121,3,0
1597285321,5,0
1597286521,6,0
1597287121,1,0
