DateTime,AddedIPs,RemovedIPs
1596697695,64,79
1596699609,70,65
1596701554,62,71
1596703448,50,62
1596705372,57,83
1596707315,62,60
1596709204,69,3700
1596711124,106,69
1596713075,1509,0
1596714964,109,85
1596716884,90,65
1596718835,118,78
1596720729,74,71
1596722673,56,64
1596724564,93,61
1596726521,48,56
1596728404,51,52
1596730326,62,80
1596732281,67,61
1596734167,78,81
1596736088,65,66
1596738034,61,55
1596739924,58,45
1596741844,70,49
1596743792,122,83
1596745682,59,53
1596747849,78,45
1596749762,39,70
1596751713,54,67
1596753609,104,60
1596755528,1292,0
1596757478,31,58
1596759370,36,66
1596761289,55,50
1596763234,54,62
1596765128,53,50
1596767048,47,49
1596768993,51,53
1596770886,48,47
1596772819,73,70
1596774729,53,48
1596776911,65,64
1596778810,56,71
1596780764,55,44
1596782651,44,40
1596784567,85,55
1596786513,67,55
1596788408,77,74
1596790326,62,32
1596792274,66,48
1596794193,55,78
1596796096,56,3651
1596798044,1668,0
1596799932,121,93
1596802100,101,83
1596804037,89,90
1596805928,77,84
1596807879,72,61
1596809779,96,66
1596811691,77,69
1596813633,89,74
1596815534,63,56
1596817446,82,68
1596819397,84,72
1596821284,87,80
1596823218,89,77
1596825153,96,64
1596827054,96,70
1596828965,102,71
1596830914,88,68
1596832805,83,47
1596834725,112,68
1596836689,83,60
1596838598,101,83
1596840489,98,78
1596842405,1436,0
1596844325,86,86
1596846274,64,63
1596848165,72,67
1596850084,80,54
1596852036,76,53
1596853932,80,60
1596855848,69,56
1596857793,80,55
1596859686,40,51
1596861611,71,57
1596863554,61,66
1596865449,63,58
1596867368,78,63
1596869315,71,61
1596871203,56,52
1596873123,70,80
1596875076,186,49
1596876967,199,60
1596878928,82,47
1596880850,82,3163
1596882725,115,61
1596884650,1416,0
1596886593,148,46
1596888488,119,44
1596890404,90,47
1596892356,102,63
1596894251,80,54
1596896169,127,49
1596898116,95,51
1596900030,82,49
1596901927,67,70
1596903888,85,45
1596905765,85,75
1596907684,71,59
1596909633,95,59
1596911522,81,46
1596913699,100,84
1596915608,104,69
1596917554,87,69
1596919446,66,65
1596921382,123,74
1596923315,81,53
1596925206,72,58
1596927129,91,87
1596929078,1186,0
1596930966,72,33
1596933130,125,38
1596935049,73,38
1596936993,171,39
1596938894,74,36
1596940811,72,48
1596942757,59,30
1596944649,48,54
1596946570,61,44
1596948516,55,51
1596950409,65,53
1596952328,58,44
1596954278,42,39
1596956169,58,62
1596958088,49,68
1596960039,53,68
1596961930,66,61
1596963849,50,56
1596965793,69,65
1596967690,52,3758
1596969607,45,144
1596971557,1831,0
1596973445,66,75
1596975368,104,79
1596977314,120,61
1596979204,88,71
1596981125,82,80
1596983075,95,88
1596984965,96,75
1596986887,74,79
1596988840,109,65
1596990727,96,58
1596992651,123,59
1596994592,66,75
1596996487,66,66
1596998410,101,91
1597000356,71,60
1597002247,153,55
1597004167,101,71
1597006117,80,66
1597008004,88,82
1597009926,106,86
1597011873,73,132
1597013773,168,151
1597015686,1461,0
1597017641,63,61
1597019529,45,38
1597021695,53,50
1597023610,61,52
1597025559,48,55
1597027450,35,49
1597029370,30,75
1597031322,45,43
1597033207,43,40
1597035127,57,50
1597037122,36,55
1597038968,35,47
1597040886,35,73
1597042842,54,58
1597044727,45,47
1597046651,42,44
1597048593,43,70
1597050496,34,80
1597052415,47,72
1597054356,33,3994
1597056248,61,57
1597058169,1566,0
1597060120,80,54
1597062015,108,125
1597063928,63,87
1597065876,89,78
1597067769,85,87
1597069684,58,74
1597071633,60,70
1597073653,64,47
1597075713,68,65
1597077609,82,74
1597079524,60,64
1597081474,69,53
1597083368,71,60
1597085288,58,52
1597087234,60,60
1597089123,84,55
1597091045,73,51
1597092991,85,67
1597094887,87,56
1597096813,90,67
1597098751,57,57
1597100654,1343,0
1597102471,49,55
1597104529,63,68
1597106405,52,94
1597108330,63,77
1597110272,62,55
1597112163,64,72
1597114084,46,48
1597116034,82,50
1597117925,61,37
1597119849,64,53
1597121790,88,70
1597123689,50,50
1597125634,76,60
1597127656,43,42
1597129714,22,51
1597131605,19,49
1597133524,23,64
1597135470,13,55
1597137361,20,60
1597139524,29,62
1597141451,58,3458
1597143394,179,79
1597145284,1220,0
1597147215,130,78
1597149155,90,47
1597151045,70,52
1597152965,88,61
1597154910,124,52
1597156805,84,43
1597158750,121,29
1597160646,70,46
1597162563,84,43
1597164514,72,59
1597166400,94,32
1597168325,102,46
1597170274,78,40
1597172165,105,50
1597174083,71,39
1597176042,125,57
1597177928,105,44
1597180090,142,40
1597182007,74,40
1597183956,80,42
1597185846,97,56
1597187768,953,0
1597189714,50,58
1597191607,81,34
1597193524,72,40
1597195473,92,35
1597197364,112,53
1597199285,72,32
1597201236,92,31
1597203134,89,32
1597205047,72,37
1597206997,98,45
1597208884,82,33
1597210808,85,33
1597212751,65,35
1597214655,48,29
1597216562,60,48
1597218513,66,39
1597220401,75,39
1597222327,77,39
1597224271,76,36
1597226166,53,34
1597228083,52,2956
1597230035,1272,0
1597231928,87,53
1597234119,103,63
1597236010,89,68
1597237930,75,62
1597239871,87,69
1597241765,115,69
1597243682,112,54
1597245631,77,76
1597247523,93,62
1597249477,81,65
1597251362,155,87
1597253285,70,51
1597255206,93,71
1597257153,92,60
1597259052,61,17
1597260965,110,23
1597262914,75,24
1597264806,90,10
1597266723,90,26
1597268671,87,14
1597270566,80,68
1597272487,144,105
1597274429,1031,0
1597276331,80,47
1597278249,55,32
1597280193,125,53
1597282083,67,44
1597284084,83,54
1597285949,57,36
1597287849,39,48
1597289763,69,48
1597291715,37,43
1597293606,76,54
1597295769,55,66
1597297683,33,49
1597299636,40,76
1597301526,40,15
1597303449,32,24
1597305390,58,17
1597307284,60,16
1597309214,43,18
1597311151,49,17
1597313046,40,4022
1597314967,51,80
1597316913,1744,0
1597318808,86,56
1597320727,72,85
1597322674,76,61
1597324641,81,105
1597326483,70,96
1597328427,83,107
1597330325,68,74
1597332244,45,89
1597334191,95,89
1597336088,69,83
1597338016,87,94
1597339948,60,70
1597341848,64,75
1597343766,90,56
1597345712,86,47
1597347632,96,78
1597349526,73,76
1597351444,78,54
1597353405,69,80
1597355283,76,63
1597357232,83,61
1597359128,77,70
1597361080,1469,0
1597362967,51,46
1597364889,51,55
1597366849,58,67
1597368729,53,74
1597370648,49,83
1597372596,55,74
1597374497,46,58
1597376413,51,77
1597378353,44,69
1597380252,47,68
1597382166,75,77
1597384114,37,58
1597386040,42,65
1597387928,44,28
1597389878,46,59
1597391769,53,73
1597393688,60,65
1597395648,63,70
1597397532,62,65
1597399452,46,3616
1597401392,80,51
1597403299,1438,0
1597405206,81,116
1597407134,106,74
1597409079,75,107
1597410967,88,73
1597412885,77,87
1597414834,75,71
1597416727,86,44
1597418682,54,44
1597420567,74,69
1597422495,67,65
1597424444,85,74
1597426330,75,29
1597428248,68,46
1597430195,67,49
1597432090,55,41
1597434008,89,54
1597435955,69,65
1597437848,87,48
1597439765,90,44
1597441715,65,60
1597443608,83,45
1597445533,90,51
1597447478,1190,0
1597449371,73,88
1597451290,53,55
1597453242,52,79
1597455199,49,64
1597457078,35,46
1597458970,43,50
1597460892,30,25
1597462838,40,61
1597464733,32,31
1597466650,26,73
1597468595,40,36
1597470485,23,28
1597472440,33,43
1597474355,37,45
1597476255,35,33
1597478175,49,60
1597480122,51,55
1597482014,47,43
1597483972,40,50
1597485848,52,3061
1597487770,83,77
1597489713,1327,0
1597491614,101,64
1597493528,68,52
1597495478,79,45
1597497367,95,61
1597499313,77,51
1597501230,81,65
1597503127,70,39
1597505077,93,48
1597506997,55,57
1597508884,87,37
1597510836,104,71
1597512729,67,54
1597514651,65,42
1597516891,93,49
1597518965,80,60
1597520892,84,38
1597522872,86,68
1597524749,60,64
1597526647,90,61
1597528562,103,68
1597530508,81,52
1597532421,1056,0
1597534352,44,36
1597536262,62,35
1597538165,121,35
1597540172,134,43
1597542006,41,31
1597543929,41,47
1597545874,41,36
1597547763,42,48
1597549929,67,39
1597551847,35,29
1597553790,56,50
1597555684,34,45
1597557693,55,36
1597559646,77,29
1597561447,40,47
1597563389,24,37
1597565286,20,47
1597567205,22,56
1597569151,177,60
1597571043,148,45
1597573003,58,2902
1597574888,63,82
1597576807,1115,0
1597578750,136,91
1597580650,296,64
1597582566,187,63
1597584511,49,58
1597586413,77,41
1597588355,59,44
1597590248,94,39
1597592408,252,49
1597594569,94,42
1597596484,65,38
1597598430,62,40
1597600332,71,20
1597602249,198,30
1597604192,189,44
1597606085,66,31
1597608196,85,52
1597610165,84,47
1597612119,141,44
1597614003,210,40
1597615950,111,73
1597617851,68,65
1597619764,918,0
1597621712,44,56
1597623604,141,43
1597625525,142,46
1597627472,55,40
1597629374,58,36
1597631283,48,27
1597633236,73,38
1597635130,107,27
1597637048,61,37
1597638990,42,32
1597640897,35,29
1597642805,50,30
1597644755,88,24
1597646648,77,27
1597648568,60,42
1597650509,39,34
1597652406,39,39
1597654326,71,41
1597656277,107,37
1597658165,78,50
1597660089,47,3405
