DateTime,AddedIPs,RemovedIPs
1597185121,16,0
1597185721,5,16
1597186922,5,6
1597188121,6,0
1597188721,1,2
1597189321,1,10
1597190522,31,4
1597191122,5,17
1597192321,13,0
1597193522,3,3
1597194121,3,6
1597194721,1,0
1597195322,1,0
1597196521,9,6
1597197122,1,6
1597198921,19,10
1597200122,16,8
1597200721,6,4
1597202521,17,0
1597203122,12,9
1597203721,12,8
1597204321,1,4
1597205521,3,0
1597206121,12,0
1597207321,5,17
1597207921,2,0
1597209122,9,3
1597209721,3,0
1597210921,17,17
1597211521,5,0
1597212121,1,0
1597213321,9,10
1597214521,6,4
1597215721,14,13
1597216921,18,0
1597217522,1,1
1597218721,11,8
1597219321,4,0
1597219921,1,5
1597221122,5,5
1597222921,4,2
1597224721,0,10
1597225321,2,0
1597226521,4,13
1597227121,14,0
1597227721,1,0
1597228321,1,6
1597228921,2,0
1597229521,1,2
1597230122,2,4
1597231321,5,0
1597231921,7,0
1597232521,1,2
1597233722,2,3
1597234321,3,0
1597234921,1,2
1597235521,1,3
1597237322,5,12
1597238522,1,2
1597239121,3,0
1597239721,0,1
1597240921,3,3
1597241521,3,0
1597242721,3,15
1597244521,2,26
1597245722,8,7
1597246921,0,34
1597247522,3,10
1597248722,4,0
1597249321,2,15
1597249921,0,7
1597250521,4,10
1597252321,0,1
1597253521,19,19
1597255321,5,17
1597255921,2,0
1597256521,9,0
1597257121,8,4
1597257721,2,11
1597258321,19,12
1597258921,3,0
1597260121,17,16
1597261321,16,7
1597262521,0,29
1597263121,1,0
1597264321,26,13
1597264921,13,28
1597266121,15,23
1597267321,28,6
1597268521,23,10
1597269121,13,6
1597269722,3,23
1597270321,3,0
1597270921,7,11
1597272122,23,31
1597273322,9,0
1597274521,3,13
1597275121,7,2
1597275721,77,2
1597276321,2,28
1597278122,7,28
1597279321,6,9
1597280521,3,9
1597281121,4,4
1597281721,2,0
1597282922,12,6
1597284121,6,0
1597285321,8,16
1597286521,17,9
1597287722,12,0
1597288922,6,37
1597290121,2,8
1597291322,23,2
1597291921,3,31
1597293121,8,5
1597294321,20,2
1597294921,5,11
1597296121,12,10
1597296721,10,0
1597297321,1,0
1597297921,2,22
1597299121,10,0
1597299721,3,0
1597300921,6,19
1597302121,4,0
1597303321,24,15
1597304521,11,0
1597305122,5,15
1597306921,23,5
1597308121,0,9
1597309321,15,5
1597309921,7,2
1597311121,7,0
1597311721,3,8
1597312321,1,4
1597313521,1,9
1597314121,6,0
1597315321,0,2
1597315922,2,3
1597316521,3,2
1597317721,5,12
1597318322,7,3
1597318921,2,3
1597320122,1,1
1597320721,1,2
1597321921,12,4
1597322521,15,6
1597324321,2,4
1597325521,1,3
1597326121,8,0
1597327321,5,0
1597327921,3,1
1597329121,1,0
1597329721,0,3
1597330921,6,0
1597331522,3,3
1597332721,4,0
1597333921,2,1
1597335121,4,7
1597336321,3,1
1597336921,0,1
1597337521,1,2
1597338121,10,0
1597338722,6,20
1597339922,5,3
1597340521,2,0
1597341122,7,6
1597342322,9,8
1597342921,7,0
1597344121,4,19
1597345321,17,6
1597345921,2,17
1597346521,1,0
1597347121,2,15
1597347721,13,0
1597348921,5,8
1597349522,1,7
1597350721,19,13
1597351322,3,11
1597352521,24,19
1597353121,1,17
1597353721,2,26
1597354921,11,0
1597356121,12,27
1597356721,4,13
1597357321,5,16
1597358521,9,0
1597359121,9,19
1597360321,25,6
1597360921,34,18
1597361521,2,19
1597362721,3,2
1597363921,14,36
1597364521,10,0
1597365721,7,36
1597366921,14,0
1597367521,7,0
1597368121,0,9
1597369321,8,0
1597370521,3,1
1597371721,9,8
1597372321,3,11
1597373521,6,8
1597374121,2,9
1597375321,11,8
1597376521,12,0
1597377721,10,14
1597378922,9,0
1597379521,12,12
1597380121,3,16
1597381321,29,5
1597381921,3,14
1597383121,20,13
1597383721,4,0
1597384921,13,10
1597386121,3,2
1597387321,1,12
1597388522,10,22
1597389722,6,7
1597390921,5,0
1597391522,0,8
1597392721,12,17
1597393321,8,0
1597394521,4,16
1597395121,7,7
1597396322,12,0
1597396921,9,8
1597398122,5,5
1597399321,4,9
1597399921,5,0
1597401121,5,5
1597401721,5,2
1597402921,12,4
1597404721,1,13
1597405322,5,0
1597405922,1,4
1597407121,5,8
1597407721,5,0
1597408922,2,14
1597409521,4,0
1597410121,12,0
1597411321,2,3
1597411921,25,0
1597412521,8,8
1597413721,6,3
1597414321,4,0
1597414922,5,2
1597416121,15,2
1597416721,5,0
1597417321,5,0
1597418521,10,3
1597419121,8,0
1597419721,2,2
1597420321,2,0
1597420921,3,5
1597422721,1,5
1597424521,6,0
1597425121,1,15
1597426322,16,0
1597426921,1,1
1597428121,10,3
1597428721,17,9
1597429321,2,2
1597430521,5,12
1597431721,12,2
1597432922,3,2
1597433521,2,0
1597434122,3,5
1597435321,10,1
1597435921,13,1
1597437121,21,7
1597437722,5,1
1597438922,28,13
1597440121,15,5
1597440721,14,6
1597441321,11,0
1597442521,17,5
1597443121,3,0
1597443721,16,0
1597444922,4,10
1597445521,13,9
1597446121,5,0
1597447321,17,13
1597447921,7,0
1597449121,8,25
1597449721,10,9
1597450321,12,0
1597450921,9,6
1597452121,8,2
1597453321,21,7
1597453922,12,4
1597455122,16,3
1597455721,12,0
1597456921,3,3
1597458121,9,0
1597459322,3,2
1597460521,1,4
1597461721,1,13
1597462921,16,12
1597464122,15,0
1597465321,8,2
1597466521,9,25
1597467721,6,0
1597468321,0,7
1597470121,1,25
1597471322,2,10
1597472521,2,10
1597473722,3,0
1597474922,3,7
1597475521,2,3
1597476721,15,4
1597478521,5,1
1597480321,2,8
1597482122,4,7
1597482721,0,11
1597483922,6,6
1597484521,1,4
1597486321,6,1
1597487521,7,5
1597488121,1,0
1597489322,1,4
1597490521,4,3
1597491122,2,0
1597491721,5,3
1597493521,8,6
1597495321,3,0
1597496521,4,13
1597498321,5,23
1597498922,0,8
1597500122,2,0
1597500722,2,5
1597501321,0,7
1597503121,8,10
1597503722,3,0
1597504321,0,6
1597504922,4,0
1597505521,0,9
1597506121,4,4
1597507921,5,1
1597509721,6,0
1597510321,0,5
1597510921,2,5
1597512121,6,0
1597512721,9,14
1597513321,2,8
1597515122,6,6
1597515721,4,0
1597516322,4,8
1597516921,1,11
1597518121,8,0
1597518722,4,4
1597519922,2,5
1597520521,6,0
1597521721,3,7
1597522321,5,10
1597522921,14,0
1597524121,17,17
1597525321,9,0
1597525922,2,36
1597527122,14,7
1597527721,5,0
1597528321,3,19
1597528921,2,0
1597530121,18,17
1597531322,8,9
1597532521,5,13
1597533721,21,0
1597534921,14,17
1597535521,15,0
1597536121,11,9
1597536721,10,36
1597537921,18,0
1597538521,3,0
1597539722,9,11
1597540321,3,11
1597541521,10,21
1597542122,10,16
1597542721,2,0
1597543321,12,0
1597543921,1,23
1597545121,14,0
1597545722,8,5
1597546921,6,5
1597547522,2,0
1597548121,2,3
1597548721,8,10
1597549921,9,0
1597550521,8,0
1597551721,11,23
1597552921,12,8
1597554121,11,1
1597554721,8,1
1597556521,1,2
1597557122,1,0
1597557721,3,6
1597558921,4,3
1597560721,3,0
1597561321,6,0
1597562521,7,3
1597563721,7,12
1597564321,2,7
1597565521,3,7
1597567322,2,3
1597568521,3,0
1597569121,0,5
1597569721,2,0
1597570921,0,2
1597572121,64,10
1597572722,1,6
1597573921,1,0
1597574521,1,0
1597575122,3,3
1597575721,1,0
1597576321,3,10
1597578121,3,6
1597579321,2,8
1597579921,1,0
1597580521,2,5
1597581121,2,0
1597581721,1,0
1597582921,3,8
1597583521,6,0
1597584121,0,2
1597585321,3,3
1597585921,3,1
1597586522,2,4
1597587721,4,0
1597588921,5,8
1597590121,6,0
1597590721,1,4
1597591921,2,1
1597592521,3,1
1597593721,3,8
1597594321,1,3
1597596121,0,4
1597596721,2,0
1597597322,0,6
1597599121,5,10
1597600921,4,1
1597602121,0,11
1597602721,1,0
1597603321,7,0
1597603921,5,7
1597605121,4,7
1597605722,1,5
1597606921,14,16
1597608121,6,0
1597608721,16,13
1597609921,17,14
1597610521,64,0
1597611121,4,16
1597612321,14,0
1597612922,8,0
1597613521,4,10
1597614121,13,13
1597614721,10,5
1597615321,28,10
1597615921,16,0
1597617121,21,6
1597617721,14,0
1597618922,9,9
1597619521,9,6
1597620121,6,0
1597620721,22,18
1597621921,4,25
1597622521,3,0
1597623721,10,11
1597624921,8,35
1597626122,2,0
1597626721,0,11
1597627321,9,0
1597628521,4,14
1597629721,1,24
1597630921,1,12
1597632122,4,15
1597633321,1,14
1597634521,4,16
1597635721,6,0
1597636921,2,20
1597638121,1,14
1597639321,1,18
1597640522,3,18
1597641121,1,0
1597641721,10,11
1597642921,3,0
1597644121,10,12
1597645321,2,11
1597646522,1,15
1597647721,3,4
1597648921,2,33
1597650121,11,0
1597651322,7,10
1597652521,21,3
1597653721,2,2
1597654321,15,0
1597655522,8,4
1597656121,3,1
1597657321,1,11
1597658521,9,0
1597659121,0,46
