DateTime,AddedIPs,RemovedIPs
1597216921,67,67
1597217522,13,13
1597218721,52,52
1597219321,23,23
1597219921,10,10
1597221122,21,21
1597221721,24,24
1597222921,19,19
1597223521,5,5
1597224721,13,13
1597225321,19,19
1597225921,8,8
1597226521,18,18
1597227121,41,41
1597227721,6,6
1597228321,10,10
1597228921,18,18
1597229521,10,10
1597230122,12,12
1597231321,35,35
1597231921,18,18
1597232521,16,16
1597233722,13,13
1597234321,17,17
1597234921,10,10
1597235521,11,11
1597236121,12,12
1597237322,23,23
1597238522,16,16
1597239121,15,15
1597239721,4,4
1597240921,14,14
1597241521,10,10
1597242721,13,13
1597243321,7,7
1597244521,9,9
1597245722,35,35
1597246921,8,8
1597247522,9,9
1597248722,22,22
1597249321,16,16
1597249921,3,3
1597250521,17,17
1597251721,15,15
1597252321,5,5
1597253521,78,78
1597254122,10,10
1597255321,31,31
1597255921,10,10
1597256521,37,37
1597257121,26,26
1597257721,15,15
1597258321,63,63
1597258921,28,28
1597260121,43,43
1597261321,44,44
1597261921,6,6
1597262521,15,15
1597263121,14,14
1597264321,51,51
1597264921,50,50
1597266121,41,41
1597267321,48,48
1597268521,56,56
1597269121,35,35
1597269722,28,28
1597270321,12,12
1597270921,18,18
1597272122,64,64
1597273322,39,39
1597274521,12,12
1597275121,44,44
1597275721,97,97
1597276321,2,2
1597276921,1,1
1597278122,44,44
1597279321,31,31
1597280521,25,25
1597281121,12,12
1597281721,5,5
1597282922,27,27
1597284121,19,19
1597285321,28,28
1597286521,46,46
1597287722,50,50
1597288922,59,59
1597290121,39,39
1597291322,81,81
1597291921,21,21
1597293121,31,31
1597294321,77,77
1597294921,18,18
1597296121,41,41
1597296721,47,47
1597297321,6,6
1597297921,12,12
1597299121,27,27
1597299721,21,21
1597300921,27,27
1597302121,27,27
1597303321,73,73
1597304521,41,41
1597305122,29,29
1597306921,66,66
1597308121,10,10
1597309321,57,57
1597309921,24,24
1597311121,36,36
1597311721,22,22
1597312321,11,11
1597313521,23,23
1597314121,22,22
1597315321,10,10
1597315922,10,10
1597316521,14,14
1597317121,2,2
1597317721,14,14
1597318322,27,27
1597318921,12,12
1597320122,17,17
1597320721,8,8
1597321921,37,37
1597322521,44,44
1597323721,8,8
1597324321,11,11
1597325521,12,12
1597326121,37,37
1597327321,22,22
1597327921,9,9
1597329121,8,8
1597329721,6,6
1597330921,20,20
1597331522,11,11
1597332721,22,22
1597333322,6,6
1597333921,11,11
1597335121,28,28
1597336321,29,29
1597336921,3,3
1597337521,7,7
1597338121,35,35
1597338722,19,19
1597339922,18,18
1597340521,8,8
1597341122,23,23
1597342322,39,39
1597342921,29,29
1597344121,22,22
1597345321,63,63
1597345921,10,10
1597346521,9,9
1597347121,9,9
1597347721,44,44
1597348921,29,29
1597349522,7,7
1597350721,66,66
1597351322,20,20
1597352521,83,83
1597353121,12,12
1597353721,17,17
1597354921,48,48
1597356121,45,45
1597356721,17,17
1597357321,19,19
1597358521,25,25
1597359121,35,35
1597360321,77,77
1597360921,60,60
1597361521,34,34
1597362721,33,33
1597363921,62,62
1597364521,35,35
