DateTime,AddedIPs,RemovedIPs
1595358002,109,0
1595362502,143,0
1595366102,113,0
1595369703,103,0
1595373302,99,0
1595380502,918,4413
1595384102,124,0
1595391302,355,0
1595394902,119,0
1595398502,212,0
1595402102,138,0
1595405702,161,0
1595409302,175,0
1595412903,105,0
1595416502,131,0
1595423702,273,0
1595427302,143,0
1595434502,249,0
1595438102,125,0
1595442601,117,0
1595449803,197,0
1595457002,197,0
1595464201,192,3568
1595467801,110,0
1595471402,93,0
1595475001,97,0
1595478602,116,0
1595482202,110,0
1595485802,1033,0
1595489401,147,0
1595493002,126,2
1595496602,110,0
1595500202,112,0
1595503802,148,0
1595508302,158,0
1595511902,125,0
1595519101,283,0
1595526302,254,0
1595533502,186,0
1595537102,117,0
1595540702,103,0
1595544302,91,0
1595551501,897,3685
1595555102,204,0
1595562303,273,0
1595566802,136,0
1595570401,105,0
1595574002,136,0
1595577602,186,0
1595581202,181,0
1595584802,127,0
1595588402,109,0
1595592002,138,0
1595595602,141,0
1595599202,131,0
1595606402,261,0
1595613602,203,0
1595620801,175,0
1595628002,239,0
1595631603,107,0
1595635202,92,3907
1595639702,107,0
1595643301,1321,0
1595646902,3144,0
1595650502,168,0
1595657702,243,0
1595664902,259,0
1595668502,137,0
1595672102,114,0
1595675702,137,0
1595679301,113,0
1595682902,97,0
1595690102,242,0
1595693702,116,0
1595697301,108,0
1595700902,99,0
1595709002,219,0
1595712602,106,0
1595716202,85,1
1595719801,98,0
1595723402,660,2989
1595727002,109,0
1595730602,97,0
1595734202,118,0
1595737802,81,0
1595745002,229,0
1595748602,106,0
1595755802,239,0
1595760302,100,0
1595763902,102,0
1595767501,115,0
1595771102,111,0
1595774702,122,0
1595781902,201,0
1595789102,160,0
1595792702,74,0
1595796302,78,0
1595799903,83,0
1595807102,169,0
1595811602,138,8482
1595815202,95,0
1595818802,131,0
1595822402,104,0
1595826002,131,0
1595829602,113,0
1595833202,147,0
1595840402,282,0
1595847602,231,0
1595851202,158,0
1595854802,142,0
1595858402,131,0
1595865603,259,0
1595869202,142,0
1595873701,153,0
1595877302,115,0
1595884502,234,0
1595888102,122,0
1595891702,109,0
1595895302,87,2336
1595898902,110,0
1595906102,245,0
1595909702,110,0
1595916902,233,0
1595920502,131,0
1595928601,304,0
1595932202,145,0
1595935801,135,1
1595943002,259,0
1595946602,158,0
1595953802,299,0
1595957402,138,0
1595961001,132,0
1595964601,85,0
1595968202,82,0
1595971802,130,0
1595975402,105,0
1595979002,98,0
1595986202,235,2743
1595990702,165,0
1595994302,118,0
1595997902,108,0
1596001501,114,0
1596005102,124,0
1596012302,270,0
1596015902,165,0
1596019502,131,0
1596023102,125,0
1596026701,332,0
1596030302,320,0
1596037501,257,0
1596041101,110,1
1596049202,250,0
1596052802,101,0
1596056402,129,0
1596060002,132,0
1596063602,88,0
1596067202,93,2902
1596070802,121,0
1596078003,228,0
1596081602,132,0
1596088802,229,0
1596092401,127,0
1596096002,152,0
1596099602,126,0
1596103202,139,0
1596106802,120,0
1596110402,186,0
1596114002,115,0
1596118502,215,0
1596122102,127,0
1596125702,117,0
1596129302,121,0
1596136502,262,0
1596143702,271,0
1596150902,200,0
1596154501,86,3386
1596158102,101,0
1596165302,260,0
1596168902,114,0
1596176102,271,0
1596179702,132,0
1596186902,300,0
1596190502,138,0
1596195002,178,0
1596198602,149,0
1596202202,164,0
1596205802,171,0
1596209402,119,0
1596216602,264,0
1596223802,226,0
1596227401,101,0
1596231002,102,0
1596234601,78,0
1596238202,80,0
1596241801,96,2995
1596245402,104,0
1596249002,105,0
1596252602,101,0
1596256201,107,0
1596263403,253,0
1596267902,147,1
1596271502,165,0
1596278702,215,0
1596285902,286,0
1596289501,108,0
1596293102,94,0
1596296703,106,0
1596300302,76,0
1596303902,92,0
1596311102,246,0
1596314702,131,0
1596322802,197,0
1596326402,78,3109
1596330001,110,0
1596333603,100,0
1596337202,129,0
1596340802,93,0
1596344402,97,0
1596348002,97,0
1596355203,196,0
1596358802,120,0
