DateTime,Entries,UniqueIPs
1595358002,8937,8937
1595362502,9080,9080
1595366102,9193,9193
1595369703,9296,9296
1595373302,9395,9395
1595380502,5900,5900
1595384102,6024,6024
1595391302,6379,6379
1595394902,6498,6498
1595398502,6710,6710
1595402102,6848,6848
1595405702,7009,7009
1595409302,7184,7184
1595412903,7289,7289
1595416502,7420,7420
1595423702,7693,7693
1595427302,7836,7836
1595434502,8085,8085
1595438102,8210,8210
1595442601,8327,8327
1595449803,8524,8524
1595457002,8721,8721
1595464201,5345,5345
1595467801,5455,5455
1595471402,5548,5548
1595475001,5645,5645
1595478602,5761,5761
1595482202,5871,5871
1595485802,6904,6904
1595489401,7051,7051
1595493002,7175,7175
1595496602,7285,7285
1595500202,7397,7397
1595503802,7545,7545
1595508302,7703,7703
1595511902,7828,7828
1595519101,8111,8111
1595526302,8365,8365
1595533502,8551,8551
1595537102,8668,8668
1595540702,8771,8771
1595544302,8862,8862
1595551501,6074,6074
1595555102,6278,6278
1595562303,6551,6551
1595566802,6687,6687
1595570401,6792,6792
1595574002,6928,6928
1595577602,7114,7114
1595581202,7295,7295
1595584802,7422,7422
1595588402,7531,7531
1595592002,7669,7669
1595595602,7810,7810
1595599202,7941,7941
1595606402,8202,8202
1595613602,8405,8405
1595620801,8580,8580
1595628002,8819,8819
1595631603,8926,8926
1595635202,5111,5111
1595639702,5218,5218
1595643301,6539,6539
1595646902,9683,9683
1595650502,9851,9851
1595657702,10094,10094
1595664902,10353,10353
1595668502,10490,10490
1595672102,10604,10604
1595675702,10741,10741
1595679301,10854,10854
1595682902,10951,10951
1595690102,11193,11193
1595693702,11309,11309
1595697301,11417,11417
1595700902,11516,11516
1595709002,11735,11735
1595712602,11841,11841
1595716202,11925,11925
1595719801,12023,12023
1595723402,9694,9694
1595727002,9803,9803
1595730602,9900,9900
1595734202,10018,10018
1595737802,10099,10099
1595745002,10328,10328
1595748602,10434,10434
1595755802,10673,10673
1595760302,10773,10773
1595763902,10875,10875
1595767501,10990,10990
1595771102,11101,11101
1595774702,11223,11223
1595781902,11424,11424
1595789102,11584,11584
1595792702,11658,11658
1595796302,11736,11736
1595799903,11819,11819
1595807102,11988,11988
1595811602,3644,3644
1595815202,3739,3739
1595818802,3870,3870
1595822402,3974,3974
1595826002,4105,4105
1595829602,4218,4218
1595833202,4365,4365
1595840402,4647,4647
1595847602,4878,4878
1595851202,5036,5036
1595854802,5178,5178
1595858402,5309,5309
1595865603,5568,5568
1595869202,5710,5710
1595873701,5863,5863
1595877302,5978,5978
1595884502,6212,6212
1595888102,6334,6334
1595891702,6443,6443
1595895302,4194,4194
1595898902,4304,4304
1595906102,4549,4549
1595909702,4659,4659
1595916902,4892,4892
1595920502,5023,5023
1595928601,5327,5327
1595932202,5472,5472
1595935801,5606,5606
1595943002,5865,5865
1595946602,6023,6023
1595953802,6322,6322
1595957402,6460,6460
1595961001,6592,6592
1595964601,6677,6677
1595968202,6759,6759
1595971802,6889,6889
1595975402,6994,6994
1595979002,7092,7092
1595986202,4584,4584
1595990702,4749,4749
1595994302,4867,4867
1595997902,4975,4975
1596001501,5089,5089
1596005102,5213,5213
1596012302,5483,5483
1596015902,5648,5648
1596019502,5779,5779
1596023102,5904,5904
1596026701,6236,6236
1596030302,6556,6556
1596037501,6813,6813
1596041101,6922,6922
1596049202,7172,7172
1596052802,7273,7273
1596056402,7402,7402
1596060002,7534,7534
1596063602,7622,7622
1596067202,4813,4813
1596070802,4934,4934
1596078003,5162,5162
1596081602,5294,5294
1596088802,5523,5523
1596092401,5650,5650
1596096002,5802,5802
1596099602,5928,5928
1596103202,6067,6067
1596106802,6187,6187
1596110402,6373,6373
1596114002,6488,6488
1596118502,6703,6703
1596122102,6830,6830
1596125702,6947,6947
1596129302,7068,7068
1596136502,7330,7330
1596143702,7601,7601
1596150902,7801,7801
1596154501,4501,4501
1596158102,4602,4602
1596165302,4862,4862
1596168902,4976,4976
1596176102,5247,5247
1596179702,5379,5379
1596186902,5679,5679
1596190502,5817,5817
1596195002,5995,5995
1596198602,6144,6144
1596202202,6308,6308
1596205802,6479,6479
1596209402,6598,6598
1596216602,6862,6862
1596223802,7088,7088
1596227401,7189,7189
1596231002,7291,7291
1596234601,7369,7369
1596238202,7449,7449
1596241801,4550,4550
1596245402,4654,4654
1596249002,4759,4759
1596252602,4860,4860
1596256201,4967,4967
1596263403,5220,5220
1596267902,5366,5366
1596271502,5531,5531
1596278702,5746,5746
1596285902,6032,6032
1596289501,6140,6140
1596293102,6234,6234
1596296703,6340,6340
1596300302,6416,6416
1596303902,6508,6508
1596311102,6754,6754
1596314702,6885,6885
1596322802,7082,7082
1596326402,4051,4051
1596330001,4161,4161
1596333603,4261,4261
1596337202,4390,4390
1596340802,4483,4483
1596344402,4580,4580
1596348002,4677,4677
1596355203,4873,4873
1596358802,4993,4993
1596366002,5202,5202
1596369603,5315,5315
1596373203,5421,5421
1596376802,5516,5516
1596380401,5631,5631
1596384002,5726,5726
1596391203,5965,5965
1596395701,6105,6105
1596402902,6334,6334
1596410102,6504,6504
1596417302,4021,4021
1596420902,4286,4286
1596424502,4400,4400
1596428102,4503,4503
1596431702,4608,4608
1596435302,4729,4729
1596442501,4986,4986
1596446102,5151,5151
1596453302,5457,5457
1596456902,5562,5562
1596460502,5687,5687
1596465002,5837,5837
1596468602,6042,6042
1596472202,6202,6202
1596479402,6446,6446
1596486603,6663,6663
1596490202,6781,6781
1596493802,6895,6895
1596497402,7006,7006
1596501001,4606,4606
1596508202,4827,4827
1596511802,4946,4946
1596516301,5125,5125
1596519901,5235,5235
1596523501,5359,5359
1596527101,5657,5657
1596530702,5774,5774
1596534302,5910,5910
1596537902,6049,6049
1596545102,6329,6329
1596548702,6447,6447
1596552302,6611,6611
1596555902,6752,6752
1596559502,6865,6865
1596563102,6967,6967
1596570302,7231,7231
1596573902,7337,7337
1596581101,7554,7554
1596585602,4584,4584
1596589203,4720,4720
1596592802,4874,4874
1596596402,5038,5038
1596600001,5183,5183
1596603602,5287,5287
1596607202,5428,5428
1596610802,5555,5555
1596614402,5691,5691
1596621602,5970,5970
1596628803,6217,6217
1596632402,6368,6368
1596636002,6538,6538
1596639602,6680,6680
1596643203,6816,6816
1596650402,7071,7071
1596657602,7302,7302
1596662102,7432,7432
1596669302,7604,7604
1596676502,4753,4753
1596683702,4973,4973
1596686402,5064,5064
1596690002,5165,5165
1596693602,5281,5281
1596697202,5388,5388
1596700802,5586,5586
1596704402,5720,5720
1596711602,6042,6042
1596718802,6411,6411
1596722402,6573,6573
1596726002,6745,6745
1596729602,6926,6926
1596733202,7032,7032
1596736802,7171,7171
1596741302,7338,7338
1596748502,7546,7546
1596755702,7742,7742
1596762002,4835,4835
1596767401,5009,5009
1596773702,5220,5220
1596777302,5338,5338
1596780902,5458,5458
1596784502,5581,5581
1596791702,5907,5907
1596795301,6038,6038
1596802502,6319,6319
1596807001,6500,6500
1596810602,6642,6642
1596814202,6791,6791
1596817802,6920,6920
1596825002,7196,7196
1596832202,7392,7392
1596835801,7538,7538
1596839402,7651,7651
1596843002,7744,7744
1596850202,4931,4931
1596853802,5051,5051
1596861002,5264,5264
1596864602,5362,5362
1596868202,5465,5465
1596872702,5617,5617
