DateTime,AddedIPs,RemovedIPs
1595471581,1,1
1595478781,1,2
1595482381,1,2
1595485983,2,0
1595489581,2,1
1595496781,0,1
1595500381,3,2
1595503982,7,1
1595507581,3,0
1595511181,1,4
1595514782,2,0
1595518381,3,2
1595521981,3,3
1595525581,1,2
1595532781,1,1
1595536382,10,2
1595539981,2,0
1595543582,1,0
1595547182,3,2
1595550782,1,1
1595557982,1,2
1595561581,1,0
1595565182,1,1
1595572381,2,0
1595575982,1,0
1595579581,6,2
1595583181,1,1
1595586781,1,0
1595590381,1,0
1595597581,2,0
1595601182,5,3
1595604781,4,0
1595608381,1,0
1595611981,1,2
1595615582,5,0
1595619182,2,2
1595622781,5,0
1595626381,2,0
1595633582,3,1
1595637182,3,1
1595640782,2,0
1595644381,1,2
1595651582,0,2
1595662383,1,2
1595665982,1,0
1595669581,2,2
1595673182,0,2
1595676781,2,0
1595680381,1,1
1595683982,1,2
1595691181,1,1
1595694781,2,1
1595698382,5,0
1595701981,2,1
1595705582,0,1
1595709181,0,1
1595716382,0,1
1595719981,1,0
1595723581,2,0
1595727181,0,1
1595730781,2,0
1595734381,0,2
1595741581,1,1
1595745181,0,1
1595748781,1,0
1595752381,1,2
1595759581,0,2
1595763182,0,4
1595766782,1,0
1595770381,1,1
1595773981,2,1
1595777581,3,0
1595781181,4,0
1595784782,2,0
1595788382,0,2
1595795582,1,0
1595799181,2,1
1595802781,0,1
1595806382,0,1
1595809981,1,0
1595817182,1,1
1595820782,3,0
1595824381,0,2
1595827981,2,0
1595831581,2,0
1595835181,0,1
1595845982,0,4
1595849582,1,1
1595853181,3,1
1595856781,1,1
1595860381,1,0
1595863982,0,1
1595867581,0,2
1595871181,2,2
1595874782,0,2
1595878382,1,0
1595892781,1,0
1595896381,2,0
1595899981,1,0
1595903582,1,0
1595907182,1,0
1595914381,1,0
1595925181,1,4
1595928781,1,0
1595932382,1,1
1595935982,0,7
1595939582,2,0
1595943182,0,3
1595950382,3,0
1595953981,6,1
1595957581,3,5
1595961182,1,0
1595964781,0,4
1595971981,1,3
1595975581,3,0
1595979182,1,2
1595982782,0,3
1595986381,1,0
1595989982,2,1
1595993581,1,1
1596000782,1,0
1596004381,1,1
1596007981,0,2
1596011581,2,0
1596015181,2,0
1596018782,4,1
1596022382,1,0
1596025981,3,0
1596029581,1,3
1596036781,5,0
1596040381,3,3
1596047582,0,2
1596054781,1,1
1596058381,1,1
1596065582,0,1
1596069181,2,0
1596072782,0,4
1596079981,1,0
1596083581,0,1
1596087181,1,0
1596090781,1,0
1596094382,1,3
1596097981,1,3
1596105181,0,1
1596108781,0,1
1596115981,1,0
1596119581,0,1
1596123181,0,1
1596126782,0,4
1596130381,0,2
1596133981,3,0
1596137582,1,0
1596141182,1,0
1596148381,0,2
1596151981,0,1
1596159181,1,1
1596162781,0,1
1596166381,1,1
1596169981,1,2
1596173581,0,2
1596177181,0,1
1596184381,1,0
1596187981,1,4
1596191581,0,1
1596195181,2,2
1596198781,0,2
1596202381,0,4
1596205981,2,0
1596209581,1,1
1596213181,3,6
1596216781,1,1
1596220381,2,5
1596223981,0,1
1596227582,0,3
1596231181,0,2
1596238381,1,4
1596241981,0,2
1596245582,1,3
1596252781,1,1
1596256382,1,0
1596259981,1,2
1596263582,0,1
1596267182,0,1
1596270781,0,1
1596274381,3,0
1596281581,0,3
1596288782,1,1
1596295981,0,3
1596299581,2,0
1596303182,2,3
1596313982,0,1
1596321182,1,0
1596324781,1,0
1596335582,1,1
1596339181,1,0
1596342782,0,2
1596353581,1,0
1596360781,1,1
1596364382,2,0
1596367982,1,0
1596371581,0,2
1596375182,2,0
1596378781,1,1
1596382381,1,2
1596385981,2,5
1596389581,2,0
1596393182,0,5
1596396782,1,0
1596400382,0,3
1596403981,1,0
1596407581,1,1
1596411181,1,2
1596414782,0,2
1596418381,1,1
1596425582,0,3
1596436381,2,1
1596439981,0,3
1596443582,0,1
1596447181,1,0
1596450781,1,0
1596454381,2,2
1596457982,4,0
1596461581,1,5
1596465181,2,0
1596468781,1,0
1596472381,2,0
1596479582,1,1
1596483181,2,2
1596486781,1,0
1596490381,3,0
1596493981,1,0
1596501181,1,0
1596504781,0,1
1596508832,0,1
1596516032,0,1
1596519631,1,0
1596526381,0,1
1596529981,2,1
1596533581,1,0
1596537181,0,1
1596540781,2,0
1596544381,2,2
1596547981,1,0
1596551581,1,1
1596555181,0,1
1596558781,2,0
1596562381,1,8
1596569582,0,3
1596573181,0,3
1596576781,0,1
1596580381,1,0
1596583981,0,1
1596594781,1,0
1596598381,1,1
1596601982,1,1
1596605581,3,1
1596609181,1,0
1596612781,1,0
1596616381,2,1
1596619982,4,0
1596623581,0,5
1596627182,0,4
1596630781,4,2
1596634381,1,2
1596637981,1,0
1596641581,0,3
1596645181,2,0
1596648781,1,3
1596652381,1,0
1596655981,2,0
1596666781,0,2
1596673982,0,1
1596677581,2,0
1596681181,0,2
1596684781,0,4
1596688381,1,2
1596695582,1,1
1596699181,1,2
1596702782,1,0
1596706382,1,1
1596709982,2,1
1596713581,1,0
1596717182,4,0
1596720781,0,2
1596724381,2,0
1596731581,3,0
1596738781,0,3
1596742381,2,0
1596745982,1,1
1596749581,2,0
1596753182,1,1
1596771181,0,1
1596774781,2,0
1596778381,3,2
1596785581,1,0
1596789181,1,2
1596792781,1,2
1596796381,2,4
1596799981,3,0
1596803581,2,2
1596810782,3,0
1596814381,1,2
1596821581,3,2
1596825181,1,1
1596828781,1,0
1596832381,2,0
1596835981,2,0
1596843181,0,3
1596850382,0,1
1596853982,3,0
1596857581,1,2
1596864782,2,0
1596871983,2,1
1596875581,3,0
1596879181,1,1
1596882781,1,0
1596886381,1,1
1596889981,1,0
1596897182,1,0
1596904381,2,2
1596907981,1,0
1596911581,1,0
1596915181,1,0
1596918781,2,2
1596922381,2,0
1596925982,1,0
1596929581,2,1
1596933181,0,1
