DateTime,AddedIPs,RemovedIPs
1595853181,19,20
1595856781,21,21
1595860381,16,18
1595863982,28,23
1595867581,8,9
1595871181,16,18
1595874782,18,19
1595878382,19,19
1595881981,20,18
1595885582,5,5
1595889181,20,19
1595892781,18,18
1595896381,20,23
1595899981,13,11
1595903582,20,21
1595907182,22,19
1595910782,16,19
1595914381,22,19
1595917982,24,23
1595921581,6,8
1595925181,19,20
1595928781,14,16
1595932382,21,19
1595935982,18,21
1595939582,21,19
1595943182,21,22
1595946781,23,19
1595950382,17,20
1595953981,19,19
1595957581,24,26
1595961182,15,16
1595964781,20,18
1595968382,11,8
1595971981,18,20
1595975581,15,15
1595979182,20,20
1595982782,20,18
1595986381,15,15
1595989982,17,17
1595993581,23,24
1595997181,16,19
1596000782,13,14
1596004381,17,18
1596007981,15,11
1596011581,18,17
1596015181,16,16
1596018782,13,13
1596022382,20,19
1596025981,19,21
1596029581,19,18
1596033181,14,17
1596036781,18,16
1596040381,16,14
1596043981,21,19
1596047582,22,22
1596051182,19,21
1596054781,19,17
1596058381,14,13
1596061981,19,22
1596065582,19,19
1596069181,23,21
1596072782,14,20
1596076381,21,17
1596079981,14,12
1596083581,12,15
1596087181,15,13
1596090781,15,17
1596094382,14,17
1596097981,17,16
1596101581,14,13
1596105181,15,16
1596108781,21,20
1596112382,14,17
1596115981,18,15
1596119581,16,16
1596123181,15,11
1596126782,12,18
1596130381,20,18
1596133981,24,21
1596137582,13,15
1596141182,14,14
1596144782,19,20
1596148381,20,19
1596151981,9,8
1596155581,15,19
1596159181,15,16
1596162781,17,16
1596166381,12,11
1596169981,21,21
1596173581,15,14
1596177181,13,15
1596180782,15,15
1596184381,19,20
1596187981,19,18
1596191581,21,21
1596195181,17,16
1596198781,9,8
1596202381,16,19
1596205981,16,17
1596209581,21,17
1596213181,13,15
1596216781,17,15
1596220381,24,22
1596223981,17,18
1596227582,14,16
1596231181,19,17
1596234781,20,22
1596238381,8,9
1596241981,8,8
1596245582,14,11
1596249182,20,19
1596252781,19,19
1596256382,17,21
1596259981,15,10
1596263582,23,21
1596267182,15,19
1596270781,18,19
1596274381,15,15
1596277981,14,16
1596281581,13,12
1596285181,20,16
1596288782,11,14
1596292381,17,17
1596295981,20,17
1596299581,19,22
1596303182,20,17
1596306781,17,19
1596310381,12,13
1596313982,12,13
1596317581,20,21
1596321182,7,6
1596324781,25,22
1596328381,13,14
1596331982,20,21
1596335582,22,19
1596339181,18,19
1596342782,19,20
1596346382,15,18
1596349982,18,16
1596353581,17,17
1596357181,13,13
1596360781,13,12
1596364382,15,16
1596367982,17,16
1596371581,20,19
1596375182,17,20
1596378781,18,16
1596382381,17,20
1596385981,22,21
1596389581,14,16
1596393182,10,10
1596396782,18,16
1596400382,26,24
1596403981,18,18
1596407581,21,23
1596411181,17,15
1596414782,7,7
1596418381,18,16
1596421981,15,17
1596425582,14,16
1596429181,16,15
1596432781,18,20
1596436381,20,18
1596439981,15,17
1596443582,9,8
1596447181,20,17
1596450781,15,16
1596454381,15,19
1596457982,17,16
1596461581,20,20
1596465181,11,12
1596468781,8,6
1596472381,15,14
1596475981,14,15
1596479582,17,18
1596483181,12,12
1596486781,19,16
1596490381,25,25
1596493981,15,17
1596501181,19,19
1596504781,17,18
1596508832,21,20
1596512430,12,12
1596516032,21,19
1596519631,16,17
1596526381,21,18
1596529981,12,14
1596533581,25,27
1596537181,22,18
1596540781,20,20
1596544381,23,26
1596547981,16,21
1596551581,20,17
1596555181,11,11
